0	Index      	 *	Score 	Summary	Detail	
75	22352 11312	   	189.68	DCR|3VULN|1AART|1ASPD|1DUR	1MLV|2DUR|3LWND|45aVULN|6AART|7ASPD|8RCR|9DUST
76	22352 11322	   	189.68	DCR|3VULN|1AART|1ASPD|1DUR	1MLV|2DUR|3LWND|45aVULN|6AART|7ASPD|8RCR|9ERES
77	22324 68312	   	189.68	DCR|3VULN|1AART|1ASPD|1DUR	1MLV|2DUR|3LWND|4MBVNT|5ASPD|69aVULN|7AART|8RCR
78	61232 31212	   	189.58	DCR|3VULN|1MDPS|1AART|1DMG|1DUR	1MDPS|279VULN|3TLV|4FEWX|5AART|6DMG|8RCR|aDUR
79	61622 31212	   	189.58	DCR|3VULN|1MDPS|1AART|1DMG|1DUR	1MDPS|279VULN|3FEWX|4TLV|5AART|6DMG|8RCR|aDUR
80	32231 23554	 * 	189.58	DCR|1VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR	1LWND|24CDMG|3ZMB|5RPLT|6RCR|7ASPD|8DUR|9AART|aVULN
81	61332 36212	   	189.43	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	1MDPS|29VULN|3CGEN|4FEWX|5AART|67DMG|8RCR|aDUR
82	23243 62421	   	189.40	DCR|2VULN|1MDPS|1AART|1CDMG|2ZMB	19MLV|2DMSP|3CDMG|4AART|5RCVC|6RCR|79ZMB|89VULN|9BPWR|aMDPS
83	61232 36212	   	189.33	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	1MDPS|29VULN|3TLV|4FEWX|5AART|67DMG|8RCR|aDUR
84	61622 36212	   	189.33	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	1MDPS|29VULN|3FEWX|4TLV|5AART|67DMG|8RCR|aDUR
85	23236 21233	   	188.63	DCR|3VULN|3CDMG|1NUKE	1MLV|2DMSP|356CDMG|456VULN|56BPWR|7RPLT|8RCR|9CGEN|aNUKE
86	23236 21235	   	188.63	DCR|3VULN|3CDMG|1DMG	1MLV|2DMSP|356CDMG|456VULN|56BPWR|7RPLT|8RCR|9CGEN|aDMG
87	23236 21262	   	188.63	DCR|3VULN|3CDMG|1DMG	1MLV|2DMSP|356CDMG|456VULN|56BPWR|7RPLT|8RCR|9DMG|aLWND
88	23236 21264	   	188.63	DCR|3VULN|3CDMG|1DMG	1MLV|2DMSP|356CDMG|456VULN|56BPWR|7RPLT|8RCR|9DMG|aCGEN
89	23236 21266	   	188.63	DCR|3VULN|3CDMG|1DMG	1MLV|2DMSP|356CDMG|456VULN|56BPWR|7RPLT|8RCR|9DMG|aBEXP
90	23236 21263	   	188.53	DCR|3VULN|3CDMG|1DMG|1SELL	1MLV|2DMSP|356CDMG|456VULN|56BPWR|7RPLT|8RCR|9DMG|aSELL
91	21166 32125	   	188.51	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1MLV|2BELT|39VULN|4BEXP|5ASPD|6ZMB|7RCR|8CDMG|aDMG
92	21516 32125	   	188.51	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1MLV|2BELT|3FEWX|49VULN|5ASPD|6ZMB|7RCR|8CDMG|aDMG
93	12114 22643	   	188.41	DCR|3VULN|1ASPD|1CDMG|1DUR	1FEWX|2CDMG|3BEXP|48aVULN|5DUR|6ASPD|7RCR|9RMIN
94	32114 22643	   	188.41	DCR|3VULN|1ASPD|1CDMG|1DUR	1LWND|2CDMG|3BEXP|48aVULN|5DUR|6ASPD|7RCR|9RMIN
95	12312 33421	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1FEWX|2CDMG|3ERES|4DMG|5CGEN|6RCR|7ASPD|8DUR|9aVULN
96	32312 33421	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2CDMG|3ERES|4DMG|5CGEN|6RCR|7ASPD|8DUR|9aVULN
