0	Index      	 *	Score 	Summary	Detail	
91	21355 11223	   	172.13	ACR|2DMG|2VULN|1ASPD|1CDMG	1LHND|24VULN|3CDMG|5RCR|6LWND|78DMG|9ASPD|aMDPS
92	21355 11224	   	172.13	ACR|2DMG|2VULN|1ASPD|1CDMG	1LHND|24VULN|3CDMG|5RCR|6LWND|78DMG|9ASPD|aERES
93	53355 31223	   	172.13	ACR|2DMG|2VULN|1ASPD|1CDMG	14VULN|2LWND|3CDMG|5RCR|6DUR|78DMG|9ASPD|aMDPS
94	12125 22625	   	171.69	ACR|1BASARM|1BEXP|1CDMG|1AAC|1VULN	1NUKE|2CDMG|3BEXP|4AME|5RCR|6AAC|7FEWX|8RMIN|9VULN|aBASARM
95	12125 24225	   	171.69	ACR|1BASARM|1BEXP|1CDMG|1AAC|1VULN	1NUKE|2CDMG|3BEXP|4AME|5RCR|6AAC|7ZMB|8LHND|9VULN|aBASARM
96	35512 34117	   	171.68	ACR|2DMG|2VULN|1ASPD|1AAC	1ASPD|27VULN|3BELT|4RCR|5AAC|6MBVNT|8aDMG|9SNITOX
97	12125 21625	   	171.59	ACR|1BASARM|1BEXP|1CDMG|1AAC|1VULN	1NUKE|2CDMG|3BEXP|4AME|5RCR|6AAC|7LEGI|8RMIN|9VULN|aBASARM
98	13162 35223	 * 	171.51	ACR|2ASPD|2AART|1BEXP|1AAC	1NUKE|2AAC|3RPLT|4RCR|5BEXP|6aASPD|78AART|9CGEN
99	13162 65212	 * 	171.51	ACR|2DMG|2AART|1BEXP|1AAC	1NUKE|2AAC|3RPLT|4RCR|5BEXP|6aDMG|78AART|9RCVC
100	35514 34122	   	171.47	ACR|3VULN|1ASPD|1DMG|1BEXP	1ASPD|27aVULN|3BELT|4RCR|5RMIN|6MBVNT|8DMG|9BEXP
101	35516 11122	   	171.47	ACR|3VULN|1ASPD|1DMG|1BEXP	1ASPD|25aVULN|3BELT|4RCR|6ERES|7LHND|8DMG|9BEXP
102	21355 21362	 * 	171.37	ACR|2BEXP|2VULN|1DMG|1CDMG|1AAC	1LHND|24VULN|3CDMG|5RCR|6AAC|7DMSP|89BEXP|aDMG
103	21355 23315	   	171.16	ACR|1BASARM|2VULN|1CDMG|1AAC	1LHND|24VULN|3CDMG|5RCR|6AAC|7FEWX|8ERES|9LWND|aBASARM
104	35516 23112	 * 	171.10	ACR|3ASPD|3VULN	179ASPD|25aVULN|36BELT|4RCR|8LHND
105	35516 33112	   	171.10	ACR|3ASPD|3VULN	179ASPD|25aVULN|3BELT|4RCR|6RCVC|8LHND
106	21355 22336	   	171.06	ACR|1BASARM|2VULN|1CDMG|1AAC	1LHND|24VULN|3CDMG|5RCR|6AAC|7LWND|8ERES|9MBVNT|aBASARM
107	51152 13336	   	171.06	ACR|1BASARM|2VULN|1CDMG|1AAC	12VULN|3LWND|4DUR|5RCR|6ERES|7AAC|8CDMG|9MBVNT|aBASARM
108	52362 13336	   	171.06	ACR|1BASARM|2VULN|1CDMG|1AAC	13VULN|2DUR|4LWND|5RCR|6ERES|7AAC|8CDMG|9MBVNT|aBASARM
109	35516 23312	   	171.00	ACR|3ASPD|3VULN	179ASPD|25aVULN|36BELT|4RCR|8DUST
110	35516 33312	   	171.00	ACR|3ASPD|3VULN	179ASPD|25aVULN|3BELT|4RCR|6RCVC|8DUST
111	21355 33224	 * 	170.92	ACR|4VULN|1ASPD|1CDMG|1AART|1SELL	1LHND|249aVULN|3CDMG|5RCR|6SELL|7ASPD|8AART
112	35516 21312	 * 	170.72	ACR|2ASPD|2VULN|1AART|1CDMG	18ASPD|25VULN|36BELT|4RCR|7ERES|9CDMG|aAART
113	35516 31312	   	170.72	ACR|2ASPD|2VULN|1AART|1CDMG	18ASPD|25VULN|3BELT|4RCR|6RCVC|7ERES|9CDMG|aAART
114	12145 22233	 * 	170.18	ACR|1ASPD|1DMG|1BEXP|1CDMG|1AART|1AAC	1NUKE|2CDMG|3BEXP|4CGEN|5RCR|6AAC|7FEWX|8DMG|9AART|aASPD
115	21355 21352	 * 	170.18	ACR|2VULN|1DMG|1BEXP|1AART|1CDMG|1AAC	1LHND|24VULN|3CDMG|5RCR|6AAC|7DMSP|8BEXP|9AART|aDMG
116	12125 22233	   	170.08	ACR|1ASPD|1DMG|1BEXP|1CDMG|1AART|1AAC	1NUKE|2CDMG|3BEXP|4AME|5RCR|6AAC|7FEWX|8DMG|9AART|aASPD
117	21252 62315	   	170.00	ACR|1BASARM|1ASPD|1CDMG|1VULN	14LHND|2VULN|3DUR|5RCR|6MLV|7ASPD|8CDMG|9LWND|aBASARM
118	23352 62315	   	170.00	ACR|1BASARM|1ASPD|1CDMG|1VULN	14LHND|2DUR|3VULN|5RCR|6MLV|7ASPD|8CDMG|9LWND|aBASARM
119	21252 12315	   	169.90	ACR|1BASARM|1ASPD|1CDMG|1VULN	14LHND|2VULN|3DUR|5RCR|6ERES|7ASPD|8CDMG|9LWND|aBASARM
120	21252 12345	   	169.90	ACR|1BASARM|1ASPD|1CDMG|1VULN	14LHND|2VULN|3DUR|5RCR|6ERES|7ASPD|8CDMG|9FEWX|aBASARM
121	21652 12315	   	169.90	ACR|1BASARM|1ASPD|1CDMG|1VULN	13LHND|2VULN|4DUR|5RCR|6ERES|7ASPD|8CDMG|9LWND|aBASARM
122	23352 12315	   	169.90	ACR|1BASARM|1ASPD|1CDMG|1VULN	14LHND|2DUR|3VULN|5RCR|6ERES|7ASPD|8CDMG|9LWND|aBASARM
123	23352 12345	   	169.90	ACR|1BASARM|1ASPD|1CDMG|1VULN	14LHND|2DUR|3VULN|5RCR|6ERES|7ASPD|8CDMG|9FEWX|aBASARM
124	13162 32323	   	169.86	ACR|2BEXP|1ASPD|1AART|1CDMG|1AAC	1NUKE|2AAC|3RPLT|4RCR|59BEXP|6ASPD|7CDMG|8LSRREG|aAART
125	13162 62323	 * 	169.86	ACR|2BEXP|1DMG|1AART|1CDMG|1AAC	1NUKE|2AAC|3RPLT|4RCR|59BEXP|6DMG|7CDMG|8LSRREG|aAART
126	23525 24323	   	169.85	ACR|2ASPD|2DMG|1AART	1aLHND|2DUR|3AART|4RPLT|5RCR|6aASPD|7DUST|8TLV|9aDMG|aBPWR
127	21252 12365	   	169.80	ACR|1BASARM|1ASPD|1CDMG|1VULN	14LHND|2VULN|3DUR|5RCR|6ERES|7ASPD|8CDMG|9DUST|aBASARM
128	22242 24151	   	169.80	ACR|1BASARM|1DMG|1CDMG|1VULN	1LHND|2MLV|3LEGI|4AME|5RCR|6VULN|7BASARM|8DUR|9CDMG|aDMG
129	22252 24413	   	169.80	ACR|1BASARM|1DMG|1BEXP|1VULN	1LHND|2MLV|3LEGI|4CGEN|5RCR|6VULN|7BASARM|8ERES|9BEXP|aDMG
130	23352 12365	   	169.80	ACR|1BASARM|1ASPD|1CDMG|1VULN	14LHND|2DUR|3VULN|5RCR|6ERES|7ASPD|8CDMG|9DUST|aBASARM
