0	Index      	 *	Score 	Summary	Detail	
57	21218 73473	   	217.74	ACR|2BASARM|2VULN|2BEXP|1CDMG	1MBVNT|2aBEXP|3aVULN|47RCVC|5RCR|6CDMG|8MLV|9aBASARM|aBPWR
58	21218 44436	   	217.54	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2BEXP|3VULN|4RCVC|5RCR|6ASPD|7CDMG|8RMIN|9BASARM|aDMG
59	21218 44736	   	217.54	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2BEXP|3VULN|4RCVC|5RCR|6ASPD|7CDMG|8ZMB|9BASARM|aDMG
60	21218 74436	   	217.54	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2BEXP|3VULN|4RCVC|5RCR|6CDMG|7ASPD|8RMIN|9BASARM|aDMG
61	34335 41121	   	217.30	ACR|3VULN|3DMG|2BEXP	19BEXP|2RCR|37CGEN|469VULN|59aDMG|8RPLT|9BPWR
62	34335 42121	   	217.30	ACR|3VULN|3DMG|2BEXP	19BEXP|2RCR|3CGEN|469VULN|579DMG|8RPLT|9BPWR|aLWND
63	34335 42122	   	217.30	ACR|3VULN|3DMG|2BEXP	19BEXP|2RCR|3CGEN|469VULN|579DMG|8RPLT|9BPWR|aDUR
64	34235 11251	   	217.02	ACR|1BASARM|3BEXP|1VULN|1AART	146BEXP|2RCR|3VULN|5ERES|7LWND|8BASARM|9RCVC|aAART
65	34251 23226	   	216.63	ACR|2BASARM|1VULN|2BEXP|1CDMG	1aBEXP|2RCR|3VULN|48aDUST|5TLV|6CDMG|7BELT|9aBASARM|aBPWR
66	34251 23326	   	216.63	ACR|2BASARM|1VULN|2BEXP|1CDMG	1aBEXP|2RCR|3VULN|4aDUST|58TLV|6CDMG|7BELT|9aBASARM|aBPWR
67	64231 23226	   	216.63	ACR|2BASARM|1VULN|2BEXP|1CDMG	18aDUST|2RCR|3VULN|4aBEXP|5TLV|6CDMG|7BELT|9aBASARM|aBPWR
68	64231 23326	   	216.63	ACR|2BASARM|1VULN|2BEXP|1CDMG	1aDUST|2RCR|3VULN|4aBEXP|58TLV|6CDMG|7BELT|9aBASARM|aBPWR
69	21218 41238	 * 	216.35	ACR|2VULN|3BEXP|1ASPD|1DMG|2CDMG	1MBVNT|28aBEXP|3aVULN|4RCVC|5RCR|6ASPD|7DMG|9aCDMG|aBPWR
70	14321 62323	   	215.77	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG	1DUR|2RCR|3CGEN|4LWND|5CDMG|6BASARM|7AART|8ASPD|9FEWX|aDMG
71	14351 62323	   	215.77	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG	1DUR|2RCR|3CGEN|4LHND|5CDMG|6BASARM|7AART|8ASPD|9FEWX|aDMG
72	64321 62323	   	215.67	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG	1DUST|2RCR|3CGEN|4LWND|5CDMG|6BASARM|7AART|8ASPD|9FEWX|aDMG
73	34334 41121	 * 	215.56	ACR|2VULN|3AART|1DMG|1BEXP	1BEXP|2RCR|3CGEN|45VULN|689AART|7DMSP|aDMG
74	34213 36162	 * 	215.50	ACR|2VULN|2DMG|2BEXP|1ASPD	19BEXP|2RCR|39VULN|4RCVC|5MDPS|6AEFBLL|7ERES|89DMG|9BPWR|aASPD
75	34241 34123	 * 	215.19	ACR|2VULN|2BEXP|2BASICY|1ASPD|1CDMG	18BEXP|2RCR|3aVULN|4ZMB|5CDMG|6aCGEN|7ASPD|9aBASICY|aBPWR
76	21238 41638	   	215.15	ACR|2VULN|3BEXP|1ASPD|1DMG|2CDMG	1MBVNT|24aBEXP|3aVULN|5RCR|6ASPD|7DMG|8RCVC|9aCDMG|aBPWR
77	34133 12451	   	214.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	14BEXP|2RCR|3MULARM|5BELT|6RMIN|7ASPD|8RCVC|9BASARM|aDMG
