0	Index      	 *	Score 	Summary	Detail	
72	41253 26121	   	286.17	DCR|2LIT|2FLTARM|2VULN|1DMG|1SELL	19VULN|29FLTARM|3TLV|4FLTHEA|5RMIN|69LIT|7SELL|8RCR|9BPWR|aDMG
73	42148 25412	   	285.26	DCR|2LIT|2MLV|2VULN|1CDMG|1ASPD	13VULN|2MBVNT|46MLV|59LIT|7CDMG|8RCR|aASPD
74	54336 12343	   	285.07	DCR|2LIT|2MLV|2VULN|1CDMG	1MBVNT|2aFRZARM|38MLV|4aLIT|5ZMB|6CDMG|7RCR|9aVULN|aBPWR
75	22817 24283	   	284.70	DCR|2LIT|2MLV|3VULN	1aBEXP|2MBVNT|36LIT|49aVULN|5aMLV|7DMSP|8RCR|aBPWR
76	52345 45441	   	284.57	DCR|2LIT|2FLTARM|3DMG|1CDMG	1MBVNT|24aDMG|3DMSP|4aBPWR|5aLIT|6DUR|7CDMG|8RCR|9aFLTARM
77	42782 33424	   	284.54	DCR|2LIT|2VULN|1FLTARM|2CDMG|1ASPD	18VULN|2MBVNT|3ASPD|4RPLT|58LIT|6RCR|78CDMG|8BPWR|9LHND|aFLTARM
78	13111 52651	   	284.23	DCR|2LIT|2MLV|2VULN|1DMG	1RPLT|29LIT|39VULN|4DMG|5ERES|69MLV|7RCR|8AART|9BPWR|aRMIN
79	13111 52653	   	284.23	DCR|2LIT|2MLV|2VULN|1DMG	1RPLT|29LIT|39VULN|4DMG|5ERES|69MLV|7RCR|8AART|9BPWR|aLHND
80	42143 35482	   	284.16	DCR|2MLV|3VULN|1LIT|1CDMG|1ASPD	135VULN|2MBVNT|49MLV|6LIT|7CDMG|8RCR|aASPD
81	42214 72434	   	284.13	DCR|2LIT|2MLV|2VULN|1DMG	1aVULN|2MBVNT|3NUKE|4TLV|5aLIT|6LHND|7RCR|8DMG|9aMLV|aBPWR
82	57214 72434	   	284.13	DCR|2LIT|2MLV|2VULN|1DMG	1MBVNT|2aVULN|3NUKE|4TLV|5aLIT|6LHND|7RCR|8DMG|9aMLV|aBPWR
83	13111 52652	   	284.08	DCR|2LIT|2MLV|2VULN|1DMG	1RPLT|29LIT|39VULN|4DMG|5ERES|69MLV|7RCR|8AART|9BPWR|aBLAICY
84	13113 34631	   	283.77	DCR|2LIT|3VULN|1MLV|1DMG	1RPLT|2aLIT|356VULN|4DMG|7FEWX|8RCR|9MLV
