0	Index      	Bounty	 *	Score 	Summary	Detail	
64	33656 11321	9	   	253.66	DCR|3VULN|2DUR|1DMG|1AART	1AART|2LIT|3ERES|45DUR|679VULN|8DMG|aRCR
65	34332 33231	4	   	253.66	DCR|3VULN|2DUR|1DMG|1AART	1AART|29DUR|3LIT|456VULN|7DMG|8ERES|aRCR
66	34334 52331	6	   	253.66	DCR|3VULN|2DUR|1DMG|1AART	1AART|29DUR|3LIT|478VULN|5DMG|6ERES|aRCR
67	34356 11321	9	   	253.66	DCR|3VULN|2DUR|1DMG|1AART	1AART|25DUR|3LIT|4ERES|679VULN|8DMG|aRCR
68	63651 13131	7	   	253.66	DCR|3VULN|2DUR|1DMG|1AART	1ERES|25DUR|3DMG|4LIT|678VULN|9AART|aRCR
69	34336 31321	9	   	253.66	DCR|3VULN|2DUR|1DMG|1AART	1AART|25DUR|3LIT|479VULN|6ERES|8DMG|aRCR
70	33132 42235	2	   	253.58	DCR|3VULN|3DUR|2LIT|1AART	1AART|26LIT|3BEXP|489DUR|567VULN|6BPWR|aRCR
71	34334 23215	6	   	253.57	DCR|2VULN|2DUR|1DMG|2CDMG|2LIT|1AART	1AART|28DUR|38LIT|4aVULN|5DMG|6RCR|78CDMG|8BPWR|9LHND
72	34132 21418	4	   	253.48	DCR|3VULN|3DUR|2LIT|1AART	1AART|258DUR|3MBVNT|49aVULN|6RCR|7aLIT|aBPWR
73	34162 21418	3	   	253.48	DCR|3VULN|3DUR|2LIT|1AART	1AART|258DUR|3MBVNT|49aVULN|6RCR|7aLIT|aBPWR
74	31636 32114	6	   	253.41	DCR|4VULN|2CDMG|1DUR|1AART	1AART|27DUST|3DUR|479aVULN|57CDMG|6RCR|7BPWR|8RMIN
75	31636 32325	6	   	253.41	DCR|4VULN|2CDMG|1DUR|1AART	1AART|27DUST|3DUR|478aVULN|57CDMG|6RCR|7BPWR|9LHND
76	34138 34514	6	   	253.41	DCR|4VULN|1DMG|1DUR|1AART	1AART|2DUR|3MBVNT|469aVULN|5RCVC|7DMG|8RCR
77	31131 14114	4	   	253.31	DCR|4VULN|1DMG|1TLV|1AART	1AART|2DUST|3MBVNT|4789VULN|5TLV|6RCR|aDMG
78	31131 53514	4	   	253.31	DCR|4VULN|1DMG|1TLV|1AART	1AART|2DUST|3MBVNT|4679VULN|5TLV|8RCR|aDMG
79	31136 24114	4	   	253.31	DCR|4VULN|1DMG|1TLV|1AART	1AART|2DUST|3MBVNT|4589VULN|6RCR|7TLV|aDMG
80	31161 14114	3	   	253.31	DCR|4VULN|1DMG|1TLV|1AART	1AART|2DUST|3MBVNT|4789VULN|5TLV|6RCR|aDMG
81	31161 53514	3	   	253.31	DCR|4VULN|1DMG|1TLV|1AART	1AART|2DUST|3MBVNT|4679VULN|5TLV|8RCR|aDMG
82	31166 24114	3	   	253.31	DCR|4VULN|1DMG|1TLV|1AART	1AART|2DUST|3MBVNT|4589VULN|6RCR|7TLV|aDMG
83	34132 74514	4	   	253.13	DCR|3VULN|2DUR|1DMG|2AART	16AART|25DUR|3MBVNT|49aVULN|7DMG|8RCR
84	34136 22544	4	   	253.13	DCR|3VULN|2DUR|1DMG|2AART	19AART|27DUR|3MBVNT|45aVULN|6RCR|8DMG
85	33132 42512	2	   	253.02	DCR|3VULN|1TLV|1DUR|2LIT|1ASPD|1AART	1AART|26LIT|3BEXP|4DUR|567VULN|6BPWR|8ASPD|9RCR|aTLV
