0	Index      	Bounty	 *	Score 	Summary	Detail	
59	63163 11351	4	   	270.57	DCR|5VULN|2DUR|1TLV	13478VULN|2TLV|58CGEN|68DUR|8BPWR|9FEWX|aRCR
60	63163 15231	5	   	270.57	DCR|5VULN|2DUR|1TLV	13479VULN|2TLV|57LHND|67DUR|7BPWR|8RMIN|aRCR
61	35161 25131	6	   	270.57	DCR|5VULN|2DUR|1TLV	1RMIN|23479VULN|57DUR|67LHND|7BPWR|8TLV|aRCR
62	35161 26131	7	   	270.57	DCR|5VULN|2DUR|1TLV	1RMIN|23479VULN|57DUR|67LHND|7BPWR|8TLV|aRCR
63	35161 35131	5	   	270.57	DCR|5VULN|2DUR|1TLV	1RMIN|23479VULN|57DUR|67FEWX|7BPWR|8TLV|aRCR
64	35162 35131	4	   	270.57	DCR|5VULN|2DUR|1TLV	1RMIN|23479VULN|57DUR|67FEWX|7BPWR|8TLV|aRCR
65	63342 35131	1	   	270.57	DCR|5VULN|2DUR|1TLV	12379VULN|27BPWR|4RMIN|57DUR|67FEWX|8TLV|aRCR
66	63326 15131	1	   	270.57	DCR|5VULN|2DUR|1TLV	12379VULN|27BPWR|47LHND|5RMIN|67DUR|8TLV|aRCR
67	63341 15131	1	   	270.57	DCR|5VULN|2DUR|1TLV	12379VULN|27BPWR|4RMIN|57FEWX|67DUR|8TLV|aRCR
68	63161 12622	8	   	270.47	DCR|5VULN|2DUR|1TLV	13468VULN|2TLV|58DUR|78ZMB|8BPWR|9ERES|aRCR
69	63161 12622	9	   	270.47	DCR|5VULN|2DUR|1TLV	13468VULN|2TLV|58DUR|78ZMB|8BPWR|9ERES|aRCR
70	63145 12111	7	   	270.43	DCR|3VULN|2DMG|2TLV|1DUR	136VULN|28TLV|4aDMG|5ASPD|7RCR|9DUR
71	32155 62131	3	   	270.37	DCR|5VULN|2DUR|1TLV	1RMIN|25DUR|35679VULN|4LEGI|5BPWR|8TLV|aRCR
72	63161 31312	6	   	270.37	DCR|5VULN|2DUR|1TLV	13478VULN|2TLV|58DUR|68ERES|8BPWR|9ZMB|aRCR
73	63161 31321	6	   	270.37	DCR|5VULN|2DUR|1TLV	13478VULN|2TLV|58DUR|68ERES|8BPWR|9LHND|aRCR
74	63161 31351	6	   	270.37	DCR|5VULN|2DUR|1TLV	13478VULN|2TLV|58DUR|68ERES|8BPWR|9FEWX|aRCR
75	32164 61121	3	   	270.35	DCR|4VULN|3DUR|2ASPD|2LIT	1RMIN|245DUR|349aVULN|49BPWR|6RCR|79LIT|89ASPD
76	63145 12231	9	   	270.19	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	136VULN|2TLV|4aDMG|59ASPD|7RCR|8DUR
77	63143 63331	6	 * 	269.79	DCR|3VULN|3DMG|2TLV|1SELL	137VULN|27TLV|457DMG|6RMIN|7BPWR|8SELL|9LIT|aRCR
78	62112 16314	7	 * 	269.07	DCR|4VULN|3DUR|2CDMG	1679VULN|2RPLT|3AART|47LHND|579DUR|79BPWR|89CDMG|aRCR
79	32131 16361	6	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1RMIN|2aDUR|34aVULN|5MLV|6TLV|7RCR|8aDMG|9BELT|aBPWR
80	32133 16361	6	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1RMIN|2aDUR|34aVULN|5ERES|6TLV|7RCR|8aDMG|9BELT|aBPWR
81	32135 14222	5	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1RMIN|28DUR|346VULN|56DMG|6BPWR|7BELT|9TLV|aRCR
82	32224 33342	2	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1RMIN|28DUR|3TLV|4RPLT|5TBNT|68aVULN|78DMG|8BPWR|9RCR
83	32225 33342	2	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1RMIN|28DUR|3TLV|4RPLT|58aVULN|6BBNT|78DMG|8BPWR|9RCR
84	63136 27232	10	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	137VULN|2TLV|4MBVNT|57DMG|67ZMB|7BPWR|8aDUR|9RCR
85	35145 12131	7	   	267.90	DCR|5VULN|1TLV|1DMG	1RMIN|2369aVULN|4DMG|5ASPD|7RCR|8TLV
86	66143 12131	7	   	267.90	DCR|5VULN|1TLV|1DMG	1369aVULN|2ASPD|4DMG|5MLV|7RCR|8TLV
87	66162 32131	7	   	267.90	DCR|5VULN|1TLV|1DMG	1349aVULN|2ASPD|5CGEN|6DMG|7RCR|8TLV
88	63252 35331	7	 * 	267.87	DCR|5VULN|2TLV|3LIT	15679VULN|27TLV|37FEWX|456LIT|567BPWR|8RMIN|aRCR
89	63312 11434	1	   	267.84	DCR|4VULN|2DUR|1DMG|1CDMG	1239VULN|2BPWR|4ASPD|56DUR|7DMG|8RCR|aCDMG
90	63136 41533	6	   	267.80	DCR|5VULN|1TLV|1DMG	13679VULN|2TLV|4MBVNT|5DMG|8RCR|aLIT
91	63136 31544	6	   	267.59	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	137VULN|2TLV|4MBVNT|56DMG|8RCR|9CDMG|aDUR
92	63136 11531	6	   	267.57	DCR|5VULN|2TLV|1DMG	1379aVULN|26TLV|4MBVNT|5DMG|8RCR
93	63145 12233	10	   	267.19	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	136VULN|2TLV|4DMG|59ASPD|7RCR|8aDUR
