0	Index      	 *	Score 	Summary	Detail	
61	42121 45222	   	214.12	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP	1BASARM|2CGEN|3LHND|4RCR|5NUKE|6DMG|79AART|8ASPD|aBEXP
62	42123 63321	   	214.08	ACR|2BASARM|2DMG|1BEXP|1CDMG	17BASARM|278CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|9CDMG|aRCVC
63	42123 63322	   	214.08	ACR|2BASARM|2DMG|1BEXP|1CDMG	17BASARM|278CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|9CDMG|aFEWX
64	42123 63323	   	214.08	ACR|2BASARM|2DMG|1BEXP|1CDMG	17BASARM|278CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|9CDMG|aRPLT
65	42123 63623	   	214.08	ACR|2BASARM|2DMG|1CDMG|1BEXP	17BASARM|27CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|8FEWX|9DMSP|aCDMG
66	42123 63633	   	214.08	ACR|2BASARM|2DMG|1BEXP|1CDMG	17BASARM|27CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|89FEWX|aCDMG
67	41422 42331	   	214.03	ACR|1BASARM|2DMG|2BEXP|1CDMG	1BASARM|2DUST|36DMG|4RCR|5MLV|7BELT|8CDMG|9aBEXP
68	41422 43223	   	214.03	ACR|1BASARM|2DMG|2BEXP|1CDMG	1BASARM|2DUST|36DMG|4RCR|5MLV|7LIT|8CDMG|9aBEXP
69	44123 35222	   	214.03	ACR|1BASARM|2ASPD|2BEXP|1AART	1BASARM|2LWND|3ZMB|4RCR|56BEXP|7AART|89ASPD|aERES
70	41426 23232	   	214.02	ACR|1BASARM|2AART|1ASPD|1DMG|1BEXP	1BASARM|27DUST|3DMG|4RCR|59AART|6DUR|8ASPD|aBEXP
71	42123 63126	   	213.98	ACR|2BASARM|2DMG|1BEXP|1AART	17BASARM|27CGEN|3LHND|4RCR|5BEXP|67DMG|7BPWR|8DUST|9DMSP|aAART
