0	Index      	 *	Score 	Summary	Detail	
67	14312 51333	   	178.35	ACR|2AART|2VULN|1DMG|2ZMB	1DUST|2RCR|3aAART|4ERES|59ZMB|6DMG|78VULN
68	11242 14215	 * 	177.74	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	168DUST|2AART|39DUR|49DMG|5RCR|79CDMG|9BPWR|aVULN
69	14351 13353	   	177.54	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2RCR|3AART|4DUR|5RCVC|68aVULN|7DMG|9CGEN
70	14351 13363	   	177.54	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2RCR|3AART|4DUR|5RCVC|68aVULN|7DMG|9LHND
71	63113 13366	 * 	177.52	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1SELL|2NUKE|39CGEN|4LWND|59DMG|6RCR|79VULN|8AART|9BPWR|aCDMG
72	11242 63311	   	177.14	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUST|2AART|3DUR|4aDMG|5RCR|6ZMB|7CGEN|8VULN|9CDMG
73	11242 63313	   	177.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUST|2AART|3DUR|4DMG|5RCR|6ZMB|7CGEN|8aVULN|9CDMG
74	11242 64331	   	177.14	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUST|2AART|3DUR|4aDMG|5RCR|6ZMB|7CDMG|8VULN|9RMIN
75	11242 64333	   	177.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUST|2AART|3DUR|4DMG|5RCR|6ZMB|7CDMG|8aVULN|9RMIN
76	11242 62311	   	177.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUST|2AART|3DUR|4aDMG|5RCR|6ZMB|7ERES|8VULN|9CDMG
77	11242 62313	   	177.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUST|2AART|3DUR|4DMG|5RCR|6ZMB|7ERES|8aVULN|9CDMG
78	11413 16133	   	176.82	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1DUST|24AART|3DMG|5ERES|6ASPD|7RCR|8aVULN|9ZMB
79	14342 13314	   	176.80	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1DUST|2RCR|3AART|4DMG|5RMIN|68VULN|7CGEN|9FLTHEA|aZMB
80	11452 41111	   	176.78	ACR|2VULN|2DMG|1AART|1CDMG	1DUST|2AART|3aDMG|4BEXP|5RCR|6LHND|78VULN|9CDMG
81	11452 51111	   	176.78	ACR|2VULN|2DMG|1AART|1CDMG	1DUST|2AART|3aDMG|4BEXP|5RCR|6FEWX|78VULN|9CDMG
82	11462 41111	   	176.78	ACR|2VULN|2DMG|1AART|1CDMG	1DUST|2AART|3aDMG|4LWND|5RCR|6LHND|78VULN|9CDMG
83	11462 51111	   	176.78	ACR|2VULN|2DMG|1AART|1CDMG	1DUST|2AART|3aDMG|4LWND|5RCR|6BEXP|78VULN|9CDMG
84	11542 41111	   	176.78	ACR|2VULN|2DMG|1AART|1CDMG	1DUST|2AART|3BEXP|4aDMG|5RCR|6LHND|78VULN|9CDMG
85	11542 51111	   	176.78	ACR|2VULN|2DMG|1AART|1CDMG	1DUST|2AART|3BEXP|4aDMG|5RCR|6FEWX|78VULN|9CDMG
86	14312 11326	   	176.70	ACR|2AART|2VULN|1DMG|1ZMB	1DUST|2RCR|39AART|4ERES|5ZMB|6aVULN|7RCVC|8DMG
87	14312 13111	   	176.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2RCR|3AART|4ERES|5ZMB|6VULN|7LHND|8aDMG|9CDMG
88	14312 13113	   	176.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2RCR|3AART|4ERES|5ZMB|6aVULN|7LHND|8DMG|9CDMG
89	14312 16111	   	176.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2RCR|3AART|4ERES|5ZMB|6VULN|7LWND|8aDMG|9CDMG
90	14312 51123	   	176.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2RCR|3AART|4ERES|5ZMB|6DMG|7aVULN|8CDMG|9LIT
91	14312 51161	   	176.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2RCR|3AART|4ERES|5ZMB|6aDMG|7VULN|8CDMG|9FEWX
92	14312 51163	   	176.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2RCR|3AART|4ERES|5ZMB|6DMG|7aVULN|8CDMG|9FEWX
93	14312 51313	   	176.70	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1DUST|2RCR|3AART|4ERES|5ZMB|6DMG|78VULN|9FLTHEA|aLHND
94	14312 51316	   	176.70	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1DUST|2RCR|3AART|4ERES|5ZMB|6DMG|78VULN|9FLTHEA|aBEXP
95	14312 53311	   	176.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2RCR|3AART|4ERES|5ZMB|6aDMG|7LHND|8VULN|9CDMG
96	14312 53313	   	176.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2RCR|3AART|4ERES|5ZMB|6DMG|7LHND|8aVULN|9CDMG
97	14342 12314	   	176.70	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1DUST|2RCR|3AART|4DMG|5RMIN|68VULN|7ERES|9FLTHEA|aZMB
98	14343 13511	   	176.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2RCR|3AART|4aDMG|5ERES|6VULN|7LHND|8ZMB|9CDMG
99	14343 13513	   	176.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2RCR|3AART|4DMG|5ERES|6aVULN|7LHND|8ZMB|9CDMG
100	14341 13316	   	176.67	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2RCR|3AART|48DMG|57CGEN|6aVULN|9ASPD
101	14341 13333	   	176.67	ACR|2VULN|2DMG|1AART|1DUR	1DUST|2RCR|3AART|48DMG|57CGEN|6aVULN|9DUR
102	14342 15123	   	176.67	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2RCR|3AART|48DMG|5RMIN|6aVULN|7LHND|9ASPD
103	14342 16123	   	176.67	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2RCR|3AART|48DMG|5RMIN|6aVULN|7LWND|9ASPD
104	14312 51315	   	176.60	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1DUST|2RCR|3AART|4ERES|5ZMB|6DMG|78VULN|9FLTHEA|aDLOT
105	14343 12316	   	176.47	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2RCR|3AART|48DMG|57ERES|6aVULN|9ASPD
106	14343 12333	   	176.47	ACR|2VULN|2DMG|1AART|1DUR	1DUST|2RCR|3AART|48DMG|57ERES|6aVULN|9DUR
