0	Index      	 *	Score 	Summary	Detail	
56	24611 24323	   	164.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|89VULN|aLEGI
57	24611 24343	   	164.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5aDMG|6RCR|7AART|8VULN|9LEGI
58	24611 24723	   	164.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1FEWX|2ZMB|3MBVNT|4DUR|5aDMG|6RCR|7AART|8DUST|9VULN
59	34611 22223	   	164.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5aDMG|6RCR|7AART|8BEXP|9VULN
60	34611 22321	   	164.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|89VULN|aDMSP
61	34611 22324	   	164.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|89VULN|aLWND
62	34611 22325	   	164.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|89VULN|aRCVC
63	34611 22326	   	164.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|89VULN|aLIT
64	34611 22327	   	164.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5DMG|6RCR|7AART|89VULN|aBEXP
65	34611 22523	   	164.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5aDMG|6RCR|7AART|8LHND|9VULN
66	34611 22823	   	164.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2ZMB|3MBVNT|4DUR|5aDMG|6RCR|7AART|8FEWX|9VULN
67	52121 25361	 * 	164.70	DCR|2DMG|1AART|1CDMG|1FLTHEA|2DUR	18DMG|29DUR|3FEWX|4CDMG|5RPLT|6RCR|7FLTHEA|aAART
