0	Index      	 *	Score 	Summary	Detail	
55	32412 63312	   	171.32	DCR|2AART|2VULN|3CDMG|1ZMB	1aLHND|23AART|468CDMG|56VULN|6BPWR|7ZMB|9RCR
56	32412 63313	   	171.32	DCR|2AART|2VULN|3CDMG|1ZMB	1LHND|23AART|468CDMG|56VULN|6BPWR|7ZMB|9RCR|aBEXP
57	32412 63315	   	171.32	DCR|2AART|2VULN|3CDMG|1ZMB	1LHND|23AART|468CDMG|56VULN|6BPWR|7ZMB|9RCR|aLIT
58	32316 54322	   	171.28	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1LHND|2AART|37DUR|4RCR|5LIT|6ZMB|89VULN|aDMG
59	22154 12233	 * 	170.84	ACR|2AART|2DMG|1VULN|1CDMG	1LWND|2aAART|36LIT|46DMG|5RCR|6BPWR|7VULN|8BELT|9CDMG
60	22155 33142	 * 	170.81	DCR|3DMG|1AART|1VULN|2DUR	17LWND|2AART|3LIT|47aDMG|57DUR|6DLOT|7BPWR|8VULN|9RCR
61	32155 33142	   	170.81	DCR|3DMG|1AART|1VULN|2DUR	17LHND|2AART|3LIT|47aDMG|57DUR|6DLOT|7BPWR|8VULN|9RCR
62	22216 53262	   	170.50	ACR|2AART|2DMG|1VULN|1ZMB	1LWND|29AART|3LHND|4RCR|5LIT|6ZMB|78DMG|aVULN
63	22154 12621	   	170.40	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|7VULN|8ZMB|9FLTHEA|aFEWX
64	22154 12622	   	170.40	ACR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1LWND|2AART|36aLIT|46DMG|5RCR|6BPWR|7VULN|8ZMB|9FLTHEA
65	22154 13326	   	170.40	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|7ZMB|8CDMG|9BEXP|aVULN
66	22154 12311	   	170.27	ACR|2VULN|2DMG|1AART|1DUR	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|78VULN|9CGEN|aDUR
67	22154 12321	   	170.27	ACR|2VULN|2DMG|1AART|1DUR	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|78VULN|9MLV|aDUR
68	22154 12332	   	170.27	ACR|2VULN|2DMG|1AART|1ASPD	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|78VULN|9BELT|aASPD
69	22154 12362	   	170.27	ACR|2VULN|2DMG|1AART|1DUR	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|78VULN|9LHND|aDUR
70	22154 12522	   	170.27	ACR|2VULN|2DMG|1AART|1DUR	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|79VULN|8LHND|aDUR
71	22154 15332	   	170.27	ACR|2VULN|2DMG|1AART|1DUR	1LWND|2AART|36LIT|46DMG|5RCR|6BPWR|7FEWX|89VULN|aDUR
72	32154 11322	   	170.27	ACR|2VULN|2DMG|1AART|1DUR	1LHND|2AART|36LIT|46DMG|5RCR|6BPWR|7LWND|89VULN|aDUR
73	32154 15322	   	170.27	ACR|2VULN|2DMG|1AART|1DUR	1LHND|2AART|36LIT|46DMG|5RCR|6BPWR|7FEWX|89VULN|aDUR
74	32154 16311	   	170.27	ACR|2VULN|2DMG|1AART|1DUR	1LHND|2AART|36LIT|46DMG|5RCR|6BPWR|78VULN|9CGEN|aDUR
