0	Index      	 *	Score 	Summary	Detail	
66	31132 12464	   	252.85	DCR|3VULN|2MLV|1DMG|1ASPD	1ASPD|2DMG|3DUR|47MLV|59aVULN|6BEXP|8RCR
67	21521 21432	   	252.64	ACR|DCR|2VULN|2DMG	12DMG|3aVULN|48RCR|5BBNT|67LIT|9LHND
68	21521 21452	   	252.64	ACR|DCR|2VULN|2DMG	12DMG|3aVULN|48RCR|5BBNT|67LIT|9BEXP
69	21521 25421	   	252.64	ACR|DCR|2VULN|2DMG	12DMG|37VULN|48RCR|5BBNT|69LIT|aCGEN
70	21521 25433	   	252.64	ACR|DCR|2VULN|2DMG	12DMG|37VULN|48RCR|5BBNT|6LIT|9LHND|aBELT
71	21525 21432	   	252.64	ACR|DCR|2VULN|2DMG	12DMG|3aVULN|48RCR|5TBNT|67LIT|9LHND
72	21521 25422	   	252.54	ACR|DCR|2VULN|2DMG	12DMG|37VULN|48RCR|5BBNT|69LIT|aMDPS
73	21521 25423	   	252.54	ACR|DCR|2VULN|2DMG	12DMG|37VULN|48RCR|5BBNT|69LIT|aDUST
74	21521 25431	   	252.54	ACR|DCR|2VULN|2DMG|1SELL	12DMG|37VULN|48RCR|5BBNT|6LIT|9LHND|aSELL
75	21521 25411	   	252.44	ACR|DCR|2VULN|2DMG|1SELL|1MSE	12DMG|37VULN|48RCR|5BBNT|6LIT|9MSE|aSELL
76	21521 25412	   	252.44	ACR|DCR|3VULN|2DMG|1MSE	12DMG|37aVULN|48RCR|5BBNT|6LIT|9MSE
77	21521 25413	   	252.44	ACR|DCR|2VULN|2DMG|1MSE	12DMG|37VULN|48RCR|5BBNT|6LIT|9MSE|aRCVC
78	31661 31721	 * 	252.26	DCR|DCR|2MLV|1DMG|1ASPD	1ASPD|2DMG|3aMLV|4MDPS|5MBVNT|69RCR|78LHND
79	31132 24355	   	251.89	DCR|2VULN|2DMG|2ASPD|1MLV|2DUR	19ASPD|29DMG|3aDUR|4MLV|59VULN|6TBNT|7AAC|8RCR|9BPWR
80	21241 35322	   	251.85	DCR|2VULN|3DMG|2MLV|1RPLT	124DMG|3aLWND|5RPLT|6RCR|7TBNT|8aVULN|9aMLV|aBPWR
81	21541 35122	   	251.65	DCR|2VULN|3DMG|2MLV|1RPLT	124DMG|3aVULN|5RPLT|6RCR|7TBNT|8MBVNT|9aMLV|aBPWR
82	21523 14215	   	251.45	ACR|2VULN|3DMG|2MLV|2RPLT|1CDMG|1AART	127DMG|37VULN|4RCR|57MLV|69RPLT|7BPWR|8AART|aCDMG
83	41621 12364	   	251.42	DCR|2VULN|3MLV|1DMG|2DUR|1CDMG	139MLV|2DMG|4BBNT|59VULN|6MBVNT|79DUR|8RCR|9BPWR|aCDMG
84	31265 32382	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1ASPD|2DMG|3FEWX|4VULN|5RCVC|6aRCR|7MDPS|8MBVNT|9BBNT
85	63233 32382	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1LWND|2DMG|3VULN|4ASPD|5RCVC|6aRCR|7MDPS|8MBVNT|9BBNT
86	63233 32513	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1LWND|2DMG|3VULN|4ASPD|5RCVC|6aRCR|7MDPS|8DUST|9FEWX
87	63233 32563	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1LWND|2DMG|3VULN|4ASPD|5RCVC|6aRCR|7MDPS|8DUST|9BEXP
88	63226 53223	   	251.11	DCR|DCR|1VULN|1DMG|1CDMG	1LWND|2DMG|3VULN|4ERES|5SNITOX|6DUST|7aRCR|8TLV|9CDMG
89	21523 14351	   	250.66	ACR|2VULN|3DMG|3MLV|1CDMG|1RPLT	127DMG|37VULN|4RCR|579MLV|6RPLT|7BPWR|8BBNT|aCDMG
90	43113 25223	 * 	250.49	DCR|DCR|2MLV|1VULN|1ZMB	14MLV|2BELT|3VULN|5LWND|6aRCR|7LIT|8MGNSTR|9ZMB
91	63252 62231	 * 	250.11	DCR|4VULN|3DMG|1ZMB	17LWND|267DMG|3457VULN|7BPWR|8AAC|9ZMB|aRCR
92	43121 26115	   	249.98	DCR|DCR|1VULN|1MLV|2DUR	1MLV|2BELT|3VULN|4LHND|5MDPS|6aRCR|78DUR|9BBNT
93	33115 31233	 * 	249.91	DCR|2VULN|2MLV|2ASPD|1DMG|2DUR	1aASPD|2BELT|39VULN|4aMLV|5DMG|6CGEN|7aDUR|8RCR|aBPWR
94	21223 63632	   	249.69	ACR|3VULN|3DMG|3MLV	128DMG|3aLWND|4RCR|58aMLV|69RCVC|78aVULN|8aBPWR
95	31132 63463	 * 	249.69	DCR|3VULN|2ASPD|1DMG|1MLV	1aASPD|2DMG|3DUR|4MLV|569VULN|7FEWX|8RCR
96	21523 53611	   	249.49	ACR|3VULN|3DMG|3MLV	128DMG|378VULN|4RCR|568MLV|8BPWR|9FEWX|aLWND
97	21523 53613	   	249.49	ACR|3VULN|3DMG|3MLV	128DMG|378VULN|4RCR|568MLV|8BPWR|9aFEWX
98	21523 53621	   	249.49	ACR|3VULN|3DMG|3MLV	128DMG|378VULN|4RCR|568MLV|8BPWR|9LHND|aLWND
99	21523 53622	   	249.49	ACR|3VULN|3DMG|3MLV	128DMG|378VULN|4RCR|568MLV|8BPWR|9LHND|aRCVC
100	21523 53623	   	249.39	ACR|3VULN|3DMG|3MLV	128DMG|378VULN|4RCR|568MLV|8BPWR|9LHND|aSNITOX
101	21523 53631	   	249.39	ACR|3VULN|3DMG|3MLV	128DMG|378VULN|4RCR|568MLV|8BPWR|9DUST|aLWND
102	21523 53633	   	249.39	ACR|3VULN|3DMG|3MLV	128DMG|378VULN|4RCR|568MLV|8BPWR|9DUST|aFEWX
103	31623 22616	   	249.10	ACR|DCR|2DMG|2MLV|1ASPD|1SELL	1ASPD|28DMG|35MLV|4aRCR|6AME|7DUR|9SELL
104	25521 12223	   	248.61	ACR|DCR|2VULN|1DMG|1CDMG	1DMG|26RCVC|38VULN|4aRCR|5BBNT|7BASARM|9CDMG
105	25521 52223	   	248.61	ACR|DCR|2VULN|1DMG|1CDMG	1DMG|2RCVC|38VULN|4aRCR|5BBNT|6DMSP|7BASARM|9CDMG
106	25525 12223	   	248.61	ACR|DCR|2VULN|1DMG|1CDMG	1DMG|26RCVC|38VULN|4aRCR|5TBNT|7BASARM|9CDMG
107	26521 12223	   	248.51	ACR|DCR|2VULN|1DMG|1CDMG	1DMG|2AELOIC|38VULN|4aRCR|5BBNT|6RCVC|7BASARM|9CDMG
108	26521 52223	   	248.51	ACR|DCR|2VULN|1DMG|1CDMG	1DMG|2AELOIC|38VULN|4aRCR|5BBNT|6DMSP|7BASARM|9CDMG
109	26525 12223	   	248.51	ACR|DCR|2VULN|1DMG|1CDMG	1DMG|2AELOIC|38VULN|4aRCR|5TBNT|6RCVC|7BASARM|9CDMG
