0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64222 21523	4	 * 	268.10	DCR|4VULN|2DUR|1DMG|1AART	1LHND|2AART|34DUR|5DMG|679aVULN|8RCR
43	64231 21523	4	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1LHND|2AART|3DUR|4DMG|5RCVC|679aVULN|8RCR
44	64231 21523	3	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1LHND|2AART|3DUR|4DMG|5RCVC|679aVULN|8RCR
45	31552 34325	1	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1MLV|249VULN|34DMG|4BPWR|5MBVNT|6CDMG|7DUR|8DMSP|aRCR
46	66137 42431	10	   	252.06	DCR|4VULN|1DMG|1DUR	1LHND|2LIT|378aVULN|4MBVNT|5DUR|6RCR|9DMG
47	66338 42431	10	   	252.06	DCR|4VULN|1DMG|1DUR	1LHND|2LIT|3DUR|4MBVNT|578aVULN|6RCR|9DMG
48	36311 33221	3	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1MLV|28DUR|3DMG|4TLV|5BELT|6RCR|79aVULN
49	36511 33221	2	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1MLV|28DUR|3DMG|4TLV|5BELT|6RCR|79aVULN
50	31625 16322	10	 * 	252.05	DCR|3VULN|3ASPD|2CDMG|1DUR	17MLV|27CDMG|3DUR|48aASPD|579VULN|6RCR|7BPWR
51	31312 61434	6	   	252.02	DCR|4VULN|2DUR|1CDMG	1MLV|2CDMG|3678VULN|45DUR|9RPLT|aRCR
52	31312 61434	5	   	252.02	DCR|4VULN|2DUR|1CDMG	1MLV|2CDMG|3678VULN|45DUR|9RPLT|aRCR
53	11312 61434	5	   	251.92	DCR|4VULN|2DUR|1CDMG	1ERES|2CDMG|3678VULN|45DUR|9RPLT|aRCR
54	11233 16354	10	 * 	251.82	DCR|4VULN|3ASPD|1CDMG	17ERES|2CDMG|378ASPD|479aVULN|5LEGI|6RCR|7BPWR
55	31235 65233	9	   	251.73	DCR|5VULN|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|45678VULN|9RCR|aBEXP
56	31235 65231	9	   	251.63	DCR|5VULN|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|45678VULN|9RCR|aLEGI
57	31235 65232	9	   	251.63	DCR|5VULN|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|45678VULN|9RCR|aBBNT
58	31235 65233	10	   	251.63	DCR|5VULN|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|45678VULN|9RCR|aDUST
59	31625 16311	10	   	250.83	DCR|3VULN|2ASPD|2CDMG|1DUR	17MLV|27CDMG|3DUR|48ASPD|57aVULN|6RCR|7BPWR|9LIT
60	31625 16323	8	   	250.83	DCR|3VULN|2ASPD|2CDMG|1DUR	17MLV|27CDMG|3DUR|48ASPD|579VULN|6RCR|7BPWR|aLIT
61	31625 16323	9	   	250.83	DCR|3VULN|2ASPD|2CDMG|1DUR	17MLV|27CDMG|3DUR|48ASPD|579VULN|6RCR|7BPWR|aLIT
62	11351 11233	1	   	250.69	DCR|3VULN|2DUR|2ASPD|1CDMG	1ERES|25aVULN|3CDMG|4CGEN|6aDUR|7MLV|8aASPD|9RCR|aBPWR
63	11625 16321	10	 * 	250.06	DCR|2VULN|2DUR|2ASPD|2TLV|2CDMG	17aERES|27CDMG|3aDUR|48ASPD|57VULN|6RCR|7aBPWR|9aTLV
64	32542 13323	6	 * 	249.76	DCR|2VULN|3ASPD|2DUR|1TLV|1CDMG	13MLV|23aASPD|3aBPWR|4CDMG|5CGEN|6aDUR|7RCR|8TLV|9aVULN
65	11314 35133	6	   	249.38	DCR|3VULN|1DMG|2CDMG|1DUR	1ERES|28CDMG|379VULN|4DUR|5LIT|6RCR|aDMG
66	31522 74225	1	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1MLV|269VULN|3DMG|4CDMG|5MBVNT|78DUR|aRCR
67	31532 34225	1	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1MLV|249VULN|3DMG|5MBVNT|6CDMG|78DUR|aRCR
68	33326 35153	1	 * 	249.31	DCR|3VULN|3DMG|1ASPD	18MLV|268DMG|3ERES|4ASPD|578VULN|8BPWR|9ZMB|aRCR
69	64331 11823	1	   	249.28	DCR|4VULN|2DUR|1ASPD	1LHND|2ASPD|3MBVNT|489aVULN|56DUR|7RCR
70	11233 16352	9	 * 	249.25	DCR|3VULN|3ASPD|1DMG|1CDMG	17ERES|2CDMG|378ASPD|479VULN|5LEGI|6RCR|7BPWR|aDMG
71	31324 71227	3	   	248.94	DCR|5VULN|1CDMG	1MLV|2CDMG|34679VULN|5MBVNT|8LIT|aRCR
72	31324 71227	1	   	248.94	DCR|5VULN|1CDMG	1MLV|24679VULN|3CDMG|5MBVNT|8LIT|aRCR
73	31536 31214	1	 * 	248.91	DCR|4VULN|2ASPD|1DMG	19MLV|2459VULN|3DMG|6ERES|7RPLT|89ASPD|9BPWR|aRCR
74	11324 71227	1	   	248.84	DCR|5VULN|1CDMG	1ERES|24679VULN|3CDMG|5MBVNT|8LIT|aRCR
75	11324 71227	3	   	248.84	DCR|5VULN|1CDMG	1ERES|2CDMG|34679VULN|5MBVNT|8LIT|aRCR
76	54152 13113	8	   	248.66	DCR|3VULN|2DMG|1DUR|1AART	1aLWND|2AART|38aVULN|4RPLT|5CGEN|6RCR|7DUR|9aDMG|aBPWR
77	36332 51331	8	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1MLV|2DUR|39DMG|4CGEN|58aVULN|6RCR|7AART
78	36332 52421	8	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1MLV|2DUR|37DMG|4CGEN|59aVULN|6RCR|8AART
79	36332 52431	9	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1MLV|2DUR|37DMG|4CGEN|59aVULN|6RCR|8AART
80	54212 21533	4	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	14LWND|2AART|3DUR|59DMG|67aVULN|8RCR
81	54222 21533	3	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1LWND|2AART|3DUR|4RCVC|59DMG|67aVULN|8RCR
82	54231 21533	4	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1LWND|2AART|3DUR|49DMG|5RCVC|67aVULN|8RCR
83	54231 21533	3	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1LWND|2AART|3DUR|49DMG|5RCVC|67aVULN|8RCR
84	64212 21533	3	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	14LHND|2AART|3DUR|59DMG|67aVULN|8RCR
85	64231 21533	5	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	15LHND|2AART|3DUR|49DMG|67aVULN|8RCR
86	64231 21533	4	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1LHND|2AART|3DUR|49DMG|5RCVC|67aVULN|8RCR
87	64231 21533	3	   	248.46	DCR|3VULN|2DMG|1DUR|1AART	1LHND|2AART|3DUR|49DMG|5RCVC|67aVULN|8RCR
88	31321 21436	4	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1MLV|2CDMG|3578VULN|4TLV|6ASPD|9RPLT|aRCR
89	31325 21436	5	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1MLV|2CDMG|3578VULN|4TLV|6ASPD|9RPLT|aRCR
90	31325 61136	8	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1MLV|2CDMG|3568VULN|4TLV|7ASPD|9RPLT|aRCR
91	11321 21436	4	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	1ERES|2CDMG|3578VULN|4TLV|6ASPD|9RPLT|aRCR
92	11325 21436	5	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	1ERES|2CDMG|3578VULN|4TLV|6ASPD|9RPLT|aRCR
93	11325 61136	8	   	248.34	DCR|4VULN|1TLV|1CDMG|1ASPD	1ERES|2CDMG|3568VULN|4TLV|7ASPD|9RPLT|aRCR
94	31324 73225	3	   	248.34	DCR|4VULN|1DUR|1CDMG|1ASPD	1MLV|2CDMG|3469VULN|5MBVNT|7DUR|8ASPD|aRCR
95	31324 73225	1	   	248.34	DCR|4VULN|1DUR|1CDMG|1ASPD	1MLV|2469VULN|3CDMG|5MBVNT|7DUR|8ASPD|aRCR
96	36225 63133	9	   	248.20	DCR|4VULN|1DUR|1CDMG|1ASPD|1SELL	1MLV|2DUR|3SELL|4ASPD|567aVULN|8CDMG|9RCR
97	21462 11523	5	   	247.64	DCR|5VULN|1ASPD|1AART	1DUST|2FEWX|3AART|4579aVULN|6ASPD|8RCR
98	13532 34133	1	 * 	247.61	DCR|2VULN|3DMG|2CDMG|1DUR	1ERES|24aDMG|3CGEN|5DUR|6aVULN|7MLV|8aCDMG|9RCR|aBPWR
99	13532 43523	1	   	247.61	DCR|2VULN|3DMG|2CDMG|1DUR	1ERES|24aDMG|3CGEN|5DUR|6aCDMG|7RCR|8MLV|9aVULN|aBPWR
100	21463 31236	6	   	247.35	DCR|3VULN|2DUR|1CDMG|1AART	1aDUST|2FEWX|3AART|47aVULN|5CDMG|6LIT|8RCR|9aDUR|aBPWR
101	54211 11533	5	   	247.34	DCR|2VULN|2DMG|2DUR|1ASPD|1AART	14aLWND|2AART|3aDUR|57VULN|6ASPD|8RCR|9aDMG|aBPWR
102	54212 21533	5	   	247.34	DCR|2VULN|2DMG|2DUR|1ASPD|1AART	14aLWND|2AART|3aDUR|5ASPD|67VULN|8RCR|9aDMG|aBPWR
103	31625 16222	7	   	246.90	DCR|3VULN|2DUR|2CDMG|1ASPD	17MLV|27CDMG|38DUR|4ASPD|579VULN|6RCR|7BPWR|aCGEN
104	31522 71215	1	 * 	246.85	DCR|2VULN|2DMG|2ASPD|1TLV|1CDMG	19MLV|26VULN|39DMG|4CDMG|5MBVNT|7TLV|89ASPD|9BPWR|aRCR
105	31532 31215	1	   	246.85	DCR|2VULN|2DMG|2ASPD|1TLV|1CDMG	19MLV|24VULN|39DMG|5MBVNT|6CDMG|7TLV|89ASPD|9BPWR|aRCR
106	31625 16232	7	   	246.80	DCR|3VULN|2DUR|2CDMG|1ASPD	17MLV|27CDMG|38DUR|4ASPD|57aVULN|6RCR|7BPWR|9TBNT
107	36112 11115	5	   	246.80	DCR|3VULN|2DUR|2CDMG|1ASPD	1MLV|29DUR|3ERES|4ZMB|579VULN|6ASPD|89CDMG|9BPWR|aRCR
108	36112 21115	6	   	246.80	DCR|3VULN|2DUR|2CDMG|1ASPD	1MLV|29DUR|3ERES|4ZMB|579VULN|6ASPD|89CDMG|9BPWR|aRCR
109	36132 11133	5	   	246.80	DCR|3VULN|2DUR|2CDMG|1ASPD	1MLV|2aDUR|3ERES|4CGEN|57aVULN|6ASPD|8aCDMG|9RCR|aBPWR
110	11625 16232	7	   	246.60	DCR|3VULN|2DUR|2CDMG|1ASPD	17ERES|27CDMG|38DUR|4ASPD|57aVULN|6RCR|7BPWR|9BBNT
111	31553 51133	1	   	246.51	DCR|3VULN|3DMG	17MLV|246VULN|347DMG|47BPWR|57DUST|8TBNT|9RCR|aLIT
112	31352 11243	1	   	246.45	DCR|2VULN|2DUR|2ASPD|2CDMG|1TLV	1MLV|2aVULN|35CDMG|4CGEN|6aDUR|7TLV|8aASPD|9RCR|aBPWR
113	31351 11243	3	   	246.45	DCR|2VULN|2DUR|2ASPD|2CDMG|1TLV	1MLV|2aCDMG|35VULN|4CGEN|6aDUR|7TLV|8aASPD|9RCR|aBPWR
114	31245 16323	10	   	246.34	DCR|3VULN|2ASPD|1DMG|2CDMG	17MLV|27CDMG|38ASPD|4FEWX|579VULN|6RCR|7BPWR|aDMG
115	31231 22352	4	   	245.86	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|45aVULN|6DMG|7BELT|8DUR|9RCR
116	31235 22352	5	   	245.86	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|45aVULN|6DMG|7BELT|8DUR|9RCR
117	31236 62352	3	   	245.86	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1MLV|2CDMG|3ASPD|4DMG|56aVULN|7BELT|8DUR|9RCR
118	31521 22352	1	   	245.86	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1MLV|25aVULN|3DMG|4CDMG|6ASPD|7BELT|8DUR|9RCR
119	25315 13136	1	   	245.76	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1DUST|28aVULN|3CDMG|4DMG|5ASPD|6TLV|7RCR|9MLV
120	31322 11351	10	   	245.73	DCR|3VULN|3ASPD|1TLV|1CDMG	1aMLV|2CDMG|39aVULN|4TLV|5LHND|6RCR|78aASPD|aBPWR
121	31322 11353	9	   	245.73	DCR|3VULN|3ASPD|1TLV|1CDMG	1aMLV|2CDMG|39aVULN|4TLV|5LHND|6RCR|78aASPD|aBPWR
122	31325 61236	6	   	245.63	DCR|3VULN|2DUR|1TLV|1CDMG	1MLV|2CDMG|356VULN|4TLV|7RPLT|89DUR|aRCR
123	31366 31236	4	   	245.63	DCR|3VULN|2DUR|1TLV|1CDMG	1MLV|2CDMG|367VULN|4RPLT|5TLV|89DUR|aRCR
124	31323 31236	4	   	245.63	DCR|3VULN|2DUR|1TLV|1CDMG	1MLV|2CDMG|367VULN|4TLV|5RPLT|89DUR|aRCR
125	31324 11651	10	   	245.63	DCR|3VULN|3ASPD|1TLV|1CDMG	1aMLV|2CDMG|39aVULN|4TLV|5DUST|6RCR|78aASPD|aBPWR
126	31324 11653	9	   	245.63	DCR|3VULN|3ASPD|1TLV|1CDMG	1aMLV|2CDMG|39aVULN|4TLV|5DUST|6RCR|78aASPD|aBPWR
127	31325 21346	8	   	245.63	DCR|3VULN|2DUR|1TLV|1CDMG	1MLV|2CDMG|35aVULN|4TLV|6LWND|78DUR|9RCR
128	11325 61236	6	   	245.53	DCR|3VULN|2DUR|1TLV|1CDMG	1ERES|2CDMG|356VULN|4TLV|7RPLT|89DUR|aRCR
129	11323 31236	4	   	245.53	DCR|3VULN|2DUR|1TLV|1CDMG	1ERES|2CDMG|367VULN|4TLV|5RPLT|89DUR|aRCR
130	23422 43225	9	   	245.53	DCR|3VULN|2DUR|1TLV|1CDMG	1DUST|2ZMB|35DUR|4CDMG|6TLV|789VULN|aRCR
131	11322 11341	10	   	245.53	DCR|3VULN|3ASPD|1TLV|1CDMG	1aERES|2CDMG|39aVULN|4TLV|5BEXP|6RCR|78aASPD|aBPWR
132	36332 51321	9	   	245.46	DCR|3VULN|2DUR|1DMG|1AART	1MLV|29DUR|3DMG|4CGEN|58aVULN|6RCR|7AART
133	11233 16322	9	   	245.43	DCR|3VULN|3ASPD|1DUR|1CDMG	17ERES|2CDMG|378ASPD|47aVULN|5LEGI|6RCR|7BPWR|9DUR
134	11233 16332	8	   	245.43	DCR|3VULN|3ASPD|1DUR|1CDMG	17ERES|2CDMG|378ASPD|47aVULN|5LEGI|6RCR|7BPWR|9DUR
135	11233 16352	10	   	245.43	DCR|3VULN|3ASPD|1DUR|1CDMG	17ERES|2CDMG|378ASPD|479VULN|5LEGI|6RCR|7BPWR|aDUR
136	11233 16353	9	   	245.43	DCR|3VULN|3ASPD|1DUR|1CDMG	17ERES|2CDMG|378ASPD|479VULN|5LEGI|6RCR|7BPWR|aDUR
137	11324 11641	10	   	245.43	DCR|3VULN|3ASPD|1TLV|1CDMG	1aERES|2CDMG|39aVULN|4TLV|5DUST|6RCR|78aASPD|aBPWR
138	11625 11334	10	   	245.43	DCR|3VULN|3ASPD|1DUR|1CDMG	1ERES|2CDMG|3DUR|478ASPD|59aVULN|6RCR
139	64222 21521	4	   	245.36	DCR|3VULN|2DUR|1DMG|1AART	1LHND|2AART|34DUR|5DMG|679VULN|8RCR|aERES
140	64222 21522	4	   	245.36	DCR|3VULN|2DUR|1DMG|1AART	1LHND|2AART|34DUR|5DMG|679VULN|8RCR|aBBNT
141	11312 31445	5	   	245.26	DCR|3VULN|2DUR|2CDMG|1AART	1ERES|26CDMG|378VULN|45DUR|9AART|aRCR
142	36225 16223	7	   	245.21	DCR|3VULN|2DUR|2ASPD|1SELL	17MLV|28DUR|3SELL|47ASPD|579VULN|6RCR|7BPWR|aLIT
143	31533 51324	1	 * 	245.19	DCR|4VULN|2DMG	17MLV|2469VULN|37DMG|57DUST|7BPWR|8RPLT|aRCR
144	31552 44425	1	   	245.19	DCR|4VULN|2DMG	17MLV|2489VULN|34DMG|4BPWR|5MBVNT|6LWND|aRCR
145	31531 16445	1	   	245.09	DCR|4VULN|2DMG	1MLV|2478VULN|39DMG|5BEXP|6MBVNT|aRCR
146	55312 11115	6	 * 	245.09	DCR|3VULN|2TLV|1DMG|2CDMG	1LWND|29TLV|3DMG|4ZMB|579VULN|6CGEN|89CDMG|9BPWR|aRCR
147	65312 11115	6	   	245.09	DCR|3VULN|2TLV|1DMG|2CDMG	1LHND|29TLV|3DMG|4ZMB|579VULN|6CGEN|89CDMG|9BPWR|aRCR
148	31533 16445	1	   	244.99	DCR|4VULN|2DMG	1MLV|2478VULN|39DMG|5DUST|6MBVNT|aRCR
149	55332 31143	6	   	244.99	DCR|3VULN|2CDMG|2TLV|1DMG	1LWND|2aTLV|3DMG|4CGEN|57aVULN|6ERES|8aCDMG|9RCR|aBPWR
150	65332 31143	6	   	244.99	DCR|3VULN|2CDMG|2TLV|1DMG	1LHND|2aTLV|3DMG|4CGEN|57aVULN|6ERES|8aCDMG|9RCR|aBPWR
151	54121 11523	5	   	244.45	DCR|4VULN|1DUR|1ASPD|1AART	1LWND|2AART|379aVULN|4DUR|5RCVC|6ASPD|8RCR
152	54123 11523	4	   	244.45	DCR|4VULN|1DUR|1ASPD|1AART	15LWND|2AART|379aVULN|4DUR|6ASPD|8RCR
153	54211 11523	5	   	244.45	DCR|4VULN|1DUR|1ASPD|1AART	14LWND|2AART|3DUR|579aVULN|6ASPD|8RCR
154	54212 21523	5	   	244.45	DCR|4VULN|1DUR|1ASPD|1AART	14LWND|2AART|3DUR|5ASPD|679aVULN|8RCR
155	64121 11523	5	   	244.45	DCR|4VULN|1DUR|1ASPD|1AART	1LHND|2AART|379aVULN|4DUR|5RCVC|6ASPD|8RCR
156	64123 11523	5	   	244.45	DCR|4VULN|1DUR|1ASPD|1AART	15LHND|2AART|379aVULN|4DUR|6ASPD|8RCR
157	31615 32136	7	   	244.00	DCR|3VULN|2DUR|2CDMG	1MLV|28CDMG|34DUR|5LIT|69aVULN|7RCR
158	32326 35124	2	 * 	243.86	DCR|3VULN|2DMG|2ASPD	18MLV|28ASPD|3ERES|46DMG|578VULN|8BPWR|9FEWX|aRCR
159	36215 32432	8	   	243.86	DCR|3VULN|2DUR|1DMG|1SELL	1MLV|24DUR|3SELL|5LIT|689VULN|7RCR|aDMG
160	31336 11434	6	 * 	243.85	DCR|4VULN|2CDMG|1DUR	14MLV|25CDMG|3578VULN|5BPWR|6DUR|9RPLT|aRCR
161	43326 31323	4	   	243.85	DCR|4VULN|1DMG|1TLV	1BEXP|2ZMB|3DMG|467aVULN|5TLV|8RCR|9RCVC
162	43326 31333	4	   	243.85	DCR|4VULN|1DMG|1TLV	19BEXP|2ZMB|3DMG|467aVULN|5TLV|8RCR
163	31336 33144	9	   	243.85	DCR|4VULN|2CDMG|1DUR	14MLV|25CDMG|3579VULN|5BPWR|6RPLT|8DUR|aRCR
164	11625 16313	10	   	243.78	DCR|2VULN|2ASPD|1DMG|2CDMG|1DUR	17ERES|27CDMG|3DUR|48ASPD|57VULN|6RCR|7BPWR|9LIT|aDMG
165	31314 31434	4	   	243.75	DCR|4VULN|2CDMG|1DUR	1MLV|26CDMG|3578VULN|4DUR|9RPLT|aRCR
166	36331 31826	5	   	243.75	DCR|4VULN|1DMG|1DUR	1MLV|2DUR|3DMG|4CGEN|5MBVNT|689aVULN|7RCR
167	43326 31315	4	   	243.75	DCR|4VULN|1DMG|1TLV	1BEXP|2ZMB|3DMG|467aVULN|5TLV|8RCR|9DUST
168	36224 31324	3	   	243.71	DCR|4VULN|2CDMG|1DUR|1SELL	17MLV|2DUR|3SELL|4579VULN|67CDMG|7BPWR|8RPLT|aRCR
169	54111 11533	5	   	243.41	DCR|3VULN|2DMG|1ASPD|1AART	1aLWND|2AART|37aVULN|4LHND|5RCVC|6ASPD|8RCR|9aDMG|aBPWR
170	54113 11533	5	   	243.41	DCR|3VULN|2DMG|1ASPD|1AART	1aLWND|2AART|37aVULN|45LHND|6ASPD|8RCR|9aDMG|aBPWR
171	54113 11533	4	   	243.41	DCR|3VULN|2DMG|1ASPD|1AART	15aLWND|2AART|37aVULN|4LHND|6ASPD|8RCR|9aDMG|aBPWR
