0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23232 66326	4	 * 	282.65	DCR|4VULN|2DMG|2ASPD|1TLV	16ASPD|2DUST|3TLV|4567VULN|6BPWR|8aDMG|9RCR
71	22231 66412	5	   	258.41	DCR|4VULN|2ASPD|1DUR|1CDMG|1SELL	16ASPD|2SELL|3DUR|4CDMG|5679VULN|6BPWR|8BBNT|aRCR
72	13212 66322	1	   	258.34	DCR|4VULN|2DUR|1DMG	14DUST|2567VULN|36DUR|6BPWR|8DMG|9RCR|aDMSP
73	13212 66322	2	   	258.34	DCR|4VULN|2DUR|1DMG	14DUST|2567VULN|36DUR|6BPWR|8DMG|9RCR|aDMSP
74	13212 66324	1	   	258.34	DCR|4VULN|2DUR|1DMG	14DUST|2567VULN|36DUR|6BPWR|8DMG|9RCR|aFEWX
75	13212 66324	2	   	258.34	DCR|4VULN|2DUR|1DMG	14DUST|2567VULN|36DUR|6BPWR|8DMG|9RCR|aFEWX
76	23532 66323	4	   	258.34	DCR|4VULN|3ASPD|1DMG	16aASPD|2DUST|3MLV|4567VULN|6BPWR|8DMG|9RCR
77	13212 66323	1	   	258.24	DCR|4VULN|2DUR|1DMG	14DUST|2567VULN|36DUR|6BPWR|8DMG|9RCR|aERES
78	13212 66323	2	   	258.24	DCR|4VULN|2DUR|1DMG	14DUST|2567VULN|36DUR|6BPWR|8DMG|9RCR|aERES
79	13212 66325	1	   	258.24	DCR|4VULN|2DUR|1DMG	14DUST|2567VULN|36DUR|6BPWR|8DMG|9RCR|aTBNT
80	13212 66325	2	   	258.24	DCR|4VULN|2DUR|1DMG	14DUST|2567VULN|36DUR|6BPWR|8DMG|9RCR|aTBNT
81	22262 21215	8	   	257.88	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART|1SELL	1ASPD|2SELL|3DUR|478VULN|5TLV|6RCR|9DMG|aAART
82	22262 25115	7	   	257.88	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART|1SELL	1ASPD|2SELL|3DUR|489VULN|5TLV|6RCR|7DMG|aAART
83	52111 63231	7	   	257.78	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	18LIT|2BEXP|38DMG|4aDUR|5TLV|6RCR|78VULN|8BPWR|9RCVC
84	52361 33235	7	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2BEXP|3CDMG|47DUR|569VULN|8DMG|aRCR
85	52111 63222	7	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	18LIT|2BEXP|38DMG|4aDUR|5TLV|6RCR|78VULN|8BPWR|9DUST
86	52111 63242	7	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	18LIT|2BEXP|38DMG|49DUR|5TLV|6RCR|78VULN|8BPWR|aLEGI
87	52111 63243	7	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	18LIT|2BEXP|38DMG|49DUR|5TLV|6RCR|78VULN|8BPWR|aBBNT
88	51361 33235	7	   	257.65	DCR|3VULN|2DUR|1DMG|1CDMG	1LIT|2DUST|3CDMG|47DUR|569VULN|8DMG|aRCR
89	22141 33213	1	   	257.55	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	19ASPD|2RCVC|39VULN|4aDUR|5BEXP|6RCR|79DMG|8AART|9BPWR
90	23441 33213	1	   	257.55	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	19ASPD|29VULN|3RCVC|4aDUR|5BEXP|6RCR|79DMG|8AART|9BPWR
91	23112 63122	1	   	257.45	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	16ASPD|25VULN|38DUR|46DMG|6BPWR|7CGEN|9RCR|aAART
92	23131 33211	1	   	257.45	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	19ASPD|29VULN|35DUR|4DUST|6RCR|79DMG|8AART|9BPWR|aLHND
93	23131 33215	1	   	257.45	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	19ASPD|29VULN|35DUR|4DUST|6RCR|79DMG|8AART|9BPWR|aBEXP
94	23136 33213	1	   	257.45	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	19ASPD|29VULN|3aDUR|4DUST|5RCVC|6RCR|79DMG|8AART|9BPWR
95	12232 66321	4	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	16DUST|2ZMB|3TLV|4567VULN|6BPWR|8DMG|9RCR|aCDMG
96	23131 33216	1	   	257.35	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	19ASPD|29VULN|35DUR|4DUST|6RCR|79DMG|8AART|9BPWR|aBBNT
97	23112 63123	1	   	257.31	DCR|2VULN|2DMG|3ASPD|2DUR	16aASPD|25VULN|38DUR|46DMG|6BPWR|7CGEN|9RCR
98	23114 12662	1	   	257.31	DCR|2VULN|2DMG|3ASPD|2DUR	167ASPD|2aVULN|3aDUR|4aDMG|5BBNT|8RCR|9BELT|aBPWR
99	11463 34313	3	 * 	257.23	DCR|3VULN|3DUR|2TLV	138DUST|237DUR|38BPWR|48aVULN|58TLV|6RCR|9LIT
100	13363 31114	4	   	256.98	DCR|5VULN|1TLV|1CDMG	1DUST|2489aVULN|34FEWX|4BPWR|5TLV|6CDMG|7RCR
101	53213 31262	4	 * 	256.98	DCR|2VULN|3DUR|2ASPD|3LIT|1CDMG	158LIT|2ERES|38VULN|456DUR|58BPWR|78ASPD|9RCR|aCDMG
102	53243 31262	3	   	256.98	DCR|2VULN|3DUR|2ASPD|3LIT|1CDMG	158LIT|2ERES|38VULN|456DUR|58BPWR|78ASPD|9RCR|aCDMG
103	22265 21262	10	   	256.96	DCR|3VULN|2DUR|2ASPD|1DMG|1SELL	1aASPD|2SELL|3aDUR|478VULN|5DMG|6RCR|9aCGEN|aBPWR
104	13323 31114	4	   	256.88	DCR|5VULN|1TLV|1CDMG	1DUST|2489aVULN|3FEWX|5TLV|6CDMG|7RCR
105	13453 31114	2	   	256.88	DCR|5VULN|1TLV|1CDMG	1DUST|2589aVULN|3TLV|4FEWX|6CDMG|7RCR
106	13453 31114	1	   	256.88	DCR|5VULN|1TLV|1CDMG	1DUST|2589aVULN|3TLV|4FEWX|6CDMG|7RCR
107	22265 21232	10	   	256.76	DCR|3VULN|2DUR|2ASPD|1DMG|1SELL	1aASPD|2SELL|3aDUR|478VULN|5DMG|6RCR|9aERES|aBPWR
108	22265 21622	10	   	256.76	DCR|3VULN|2DUR|2ASPD|1DMG|1SELL	1aASPD|2SELL|3aDUR|479VULN|5DMG|6RCR|8aERES|aBPWR
109	22141 33212	1	   	256.61	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG|1AART	19ASPD|2RCVC|39VULN|4DUR|5BEXP|6RCR|79DMG|8AART|9BPWR|aCDMG
110	23441 33212	1	   	256.61	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG|1AART	19ASPD|29VULN|3RCVC|4DUR|5BEXP|6RCR|79DMG|8AART|9BPWR|aCDMG
111	23136 33212	1	   	256.51	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG|1AART	19ASPD|29VULN|3DUR|4DUST|5RCVC|6RCR|79DMG|8AART|9BPWR|aCDMG
112	56231 21124	8	   	256.26	DCR|3VULN|2DMG|3LIT|1CDMG	149LIT|2RCVC|379VULN|59DMG|6BELT|8RCR|9BPWR|aCDMG
113	22211 51311	1	   	256.11	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1AART	18ASPD|2RCVC|3TLV|4TBNT|58VULN|68DUR|7AART|8BPWR|9DMG|aRCR
114	22263 51311	1	   	256.11	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1AART	18ASPD|2RCVC|3TLV|48VULN|5BBNT|68DUR|7AART|8BPWR|9DMG|aRCR
115	23211 66321	5	   	256.07	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG	16ASPD|2DUST|3TLV|4DMSP|567VULN|6BPWR|8DMG|9RCR|aCDMG
116	23232 66321	5	   	256.07	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG	16ASPD|2DUST|3TLV|467VULN|5RCVC|6BPWR|8DMG|9RCR|aCDMG
117	22265 21253	8	   	255.83	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG|1SELL	1aASPD|2SELL|3DUR|478VULN|5DMG|6RCR|9CDMG
118	23232 41311	4	   	255.80	DCR|3VULN|2ASPD|2TLV|1DMG|1AART	18ASPD|2DUST|38TLV|458VULN|6BBNT|7AART|8BPWR|9DMG|aRCR
119	23233 66322	4	   	255.80	DCR|3VULN|2ASPD|2TLV|1DMG|1AART	16ASPD|2DUST|35TLV|467VULN|6BPWR|8DMG|9RCR|aAART
120	23233 66323	4	 * 	255.66	DCR|3VULN|3ASPD|2TLV|1DMG	16aASPD|2DUST|35TLV|467VULN|6BPWR|8DMG|9RCR
121	12132 61411	5	   	255.64	DCR|3VULN|3DMG|2AART	189DUST|2ZMB|3aAART|4MBVNT|589DMG|6RCR|789VULN|89BPWR
122	12134 61411	4	   	255.64	DCR|3VULN|3DMG|2AART	189DUST|2ZMB|3aAART|4MBVNT|589DMG|6RCR|789VULN|89BPWR
123	21152 46212	1	   	255.53	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD|1AART	1ASPD|2AART|3CDMG|4MLV|568VULN|7RCR|9DMG|aTLV
124	21122 36212	1	   	255.43	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD|1AART	1ASPD|2AART|3CDMG|4ERES|568VULN|7RCR|9DMG|aTLV
125	13111 34116	2	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|29aVULN|34DMG|5BEXP|6RCR|7DUR|8TLV
126	13111 34116	1	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|29aVULN|34DMG|5BEXP|6RCR|7DUR|8TLV
127	13233 35116	1	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|29aVULN|3DUR|45DMG|6RCR|7BEXP|8TLV
128	13233 35116	2	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|29aVULN|3DUR|45DMG|6RCR|7BEXP|8TLV
129	22265 21233	7	   	254.86	DCR|3VULN|2DUR|1DMG|1ASPD|1SELL	1ASPD|2SELL|3aDUR|479VULN|5DMG|6RCR|8LIT
130	22265 21243	9	   	254.86	DCR|3VULN|2DUR|1DMG|1ASPD|1SELL	1ASPD|2SELL|3aDUR|478VULN|5DMG|6RCR|9LIT
131	21162 61112	7	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1ASPD|2RPLT|3RMIN|4689VULN|5DMG|7DUR|aRCR
132	63212 41335	3	   	254.85	DCR|4VULN|2DMG|1AART	18CGEN|2DUST|358aVULN|48DMG|6BBNT|7AART|8BPWR|9RCR
133	63222 41335	4	   	254.85	DCR|4VULN|2DMG|1AART	18CGEN|2DUST|358aVULN|48DMG|6BBNT|7AART|8BPWR|9RCR
134	13114 34116	1	   	254.85	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|29aVULN|34DMG|5LEGI|6RCR|7DUR|8TLV
135	13114 34116	2	   	254.85	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|29aVULN|34DMG|5LEGI|6RCR|7DUR|8TLV
136	12232 66323	4	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	16DUST|2ZMB|3TLV|4567VULN|6BPWR|8DMG|9RCR|aASPD
137	53113 63241	7	   	254.66	DCR|2VULN|3DUR|2DMG|2LIT	18LIT|2ERES|38DMG|49aDUR|5BEXP|6RCR|78VULN|8BPWR
138	22265 21114	8	   	254.61	DCR|4VULN|1DMG|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|479aVULN|5DMG|6RCR|8MLV
139	22265 21114	7	   	254.61	DCR|4VULN|1DMG|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|479aVULN|5DMG|6RCR|8CGEN
140	22265 21214	9	   	254.61	DCR|4VULN|1DMG|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|478aVULN|5DMG|6RCR|9RMIN
141	22265 21216	10	   	254.61	DCR|4VULN|1DMG|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|478aVULN|5DMG|6RCR|9RMIN
142	22265 21263	8	   	254.61	DCR|4VULN|1DMG|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|4789VULN|5DMG|6RCR|aMLV
143	22265 22261	8	   	254.61	DCR|4VULN|1DMG|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|489aVULN|5DMG|6RCR|7DMSP
144	22265 21224	8	   	254.51	DCR|4VULN|1DMG|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|478aVULN|5DMG|6RCR|9ERES
145	22265 21234	9	   	254.51	DCR|4VULN|1DMG|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|478aVULN|5DMG|6RCR|9ERES
146	22265 21236	10	   	254.51	DCR|4VULN|1DMG|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|478aVULN|5DMG|6RCR|9ERES
147	22265 21262	8	   	254.51	DCR|4VULN|1DMG|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|4789VULN|5DMG|6RCR|aTBNT
148	22265 21314	7	   	254.51	DCR|4VULN|1DMG|1DUR|1ASPD|1SELL	1ASPD|2SELL|3DUR|479aVULN|5DMG|6RCR|8ERES
149	13133 33326	3	   	254.35	DCR|3VULN|3DMG|1DUR	1DUST|259VULN|3LHND|47aDMG|6RCR|8DUR
150	13233 33536	1	   	254.35	DCR|3VULN|3DMG|1DUR	1DUST|29aVULN|3DUR|457DMG|6RCR|8FEWX
151	13233 33536	2	   	254.35	DCR|3VULN|3DMG|1DUR	1DUST|29aVULN|3DUR|457DMG|6RCR|8FEWX
152	13314 33436	7	   	254.35	DCR|3VULN|3DMG|1TLV	1DUST|26aVULN|3FEWX|4ERES|567DMG|6BPWR|8RCR|9TLV
153	13331 33126	2	   	254.35	DCR|3VULN|3DMG|1DUR	1DUST|239VULN|47aDMG|5BEXP|6RCR|8DUR
154	13331 33126	1	   	254.35	DCR|3VULN|3DMG|1DUR	1DUST|239VULN|47aDMG|5BEXP|6RCR|8DUR
155	23621 13112	1	   	254.28	DCR|4VULN|3ASPD|1DUR|1SELL	134ASPD|2689VULN|5DUR|7SELL|aRCR
156	13334 33326	1	   	254.25	DCR|3VULN|3DMG|1DUR	1DUST|239VULN|47aDMG|5LEGI|6RCR|8DUR
157	13334 33326	2	   	254.25	DCR|3VULN|3DMG|1DUR	1DUST|239VULN|47aDMG|5LEGI|6RCR|8DUR
158	13352 66111	1	 * 	253.65	ACR|5VULN|2DMG|2ASPD	16aDUST|23567VULN|4RCR|6aBPWR|8aASPD|9aDMG
159	13352 66111	2	   	253.65	ACR|5VULN|2DMG|2ASPD	16aDUST|23567VULN|4RCR|6aBPWR|8aASPD|9aDMG
160	21223 11166	1	   	253.62	DCR|3VULN|2DMG|2ASPD|1AART	19ASPD|2AART|3FEWX|49aVULN|56DMSP|79DMG|8RCR|9BPWR
161	21223 41166	1	   	253.62	DCR|3VULN|2DMG|2ASPD|1AART	19ASPD|2AART|3FEWX|49aVULN|5DMSP|6RCVC|79DMG|8RCR|9BPWR
162	53135 12271	3	   	253.55	DCR|3VULN|2DMG|1DUR|2LIT	18LIT|2ERES|38DMG|4MBVNT|5LEGI|6RCR|789VULN|8BPWR|aDUR
163	12232 66322	4	   	253.41	DCR|4VULN|1DMG|1TLV|1AART	16DUST|2ZMB|3TLV|4567VULN|6BPWR|8DMG|9RCR|aAART
164	11411 26326	6	   	253.28	DCR|3VULN|2DMG|2DUR	13DUST|23DUR|3BPWR|4DMSP|567VULN|8aDMG|9RCR
165	11421 26326	6	   	253.28	DCR|3VULN|2DMG|2DUR	13DUST|23DUR|3BPWR|4RCVC|567VULN|8aDMG|9RCR
166	11511 26326	6	   	253.28	DCR|3VULN|2DMG|2DUR	1DUST|23DUR|4DMSP|567VULN|8aDMG|9RCR
167	11521 26326	6	   	253.28	DCR|3VULN|2DMG|2DUR	1DUST|23DUR|4RCVC|567VULN|8aDMG|9RCR
168	13131 33226	3	   	253.28	DCR|3VULN|2DMG|2DUR	1DUST|279VULN|3LHND|4aDMG|58DUR|6RCR
169	13133 34226	3	   	253.28	DCR|3VULN|2DMG|2DUR	1DUST|259VULN|3LHND|4aDMG|6RCR|78DUR
