0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33412 61621	2	 * 	282.63	DCR|4VULN|3DUR|3ASPD	12RMIN|369aVULN|49aDUR|5TBNT|79aASPD|8RCR|9aBPWR
46	42321 21145	5	   	259.93	DCR|3VULN|3DUR|1DMG|1ASPD	1ERES|248VULN|345DUR|4BPWR|6ASPD|7RCR|9DMG|aTBNT
47	42321 51142	6	   	259.93	DCR|3VULN|3DUR|1DMG|1ASPD	1ERES|248VULN|345DUR|4BPWR|6ASPD|7RCR|9DMG|aDUST
48	35522 32114	3	 * 	258.71	DCR|2VULN|3DMG|2TLV|1DUR|1ASPD	1RMIN|27TLV|37VULN|4DUR|5ASPD|679DMG|7BPWR|8BEXP|aRCR
49	35522 32314	3	   	258.71	DCR|2VULN|3DMG|2TLV|1DUR|1ASPD	1RMIN|27TLV|37VULN|4DUR|5ASPD|679DMG|7BPWR|8LHND|aRCR
50	42321 11131	5	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	1ERES|248VULN|345DUR|4BPWR|6DMG|7RCR|9AART|aLWND
51	42321 11135	5	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	1ERES|248VULN|345DUR|4BPWR|6DMG|7RCR|9AART|aRCVC
52	42321 11136	5	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	1ERES|248VULN|345DUR|4BPWR|6DMG|7RCR|9AART|aFEWX
53	35224 32214	4	   	258.61	DCR|2VULN|3DMG|2TLV|1DUR|1ASPD	1RMIN|27TLV|3ASPD|4LEGI|57VULN|679DMG|7BPWR|8DUR|aRCR
54	42321 11132	5	   	258.58	DCR|3VULN|3DUR|1DMG|1AART	1aERES|248VULN|345DUR|4BPWR|6DMG|7RCR|9AART
55	42321 11134	5	   	258.58	DCR|3VULN|3DUR|1DMG|1AART	1ERES|248VULN|345DUR|4BPWR|6DMG|7RCR|9AART|aMBVNT
56	13235 32314	4	   	258.58	DCR|2VULN|3DMG|2DUR|1TLV	17LWND|27DUR|3TLV|45VULN|679DMG|7BPWR|8LHND|aRCR
57	66213 11142	1	 * 	257.88	DCR|2VULN|3DUR|3CDMG|3LIT|1AART	19aLIT|29aDUR|37VULN|4ERES|5AART|6RCR|89aCDMG|9aBPWR
58	42321 32463	9	   	257.33	DCR|3VULN|3DUR|1DMG	1ERES|24aVULN|345DUR|4BPWR|6CGEN|7DMG|8RCR|9LIT
59	42321 11152	5	   	257.33	DCR|3VULN|3DUR|1DMG	1ERES|248VULN|345DUR|4BPWR|6DMG|7RCR|9LIT|aLWND
60	42321 11156	5	   	257.33	DCR|3VULN|3DUR|1DMG	1ERES|248VULN|345DUR|4BPWR|6DMG|7RCR|9LIT|aZMB
61	42321 11123	5	   	257.23	DCR|3VULN|3DUR|1DMG	1ERES|248VULN|345DUR|4BPWR|6DMG|7RCR|9DUST|aLIT
62	42321 11151	5	   	257.23	DCR|3VULN|3DUR|1DMG|1NUKE	1ERES|248VULN|345DUR|4BPWR|6DMG|7RCR|9LIT|aNUKE
63	42321 11153	5	   	257.23	DCR|3VULN|3DUR|1DMG	1aERES|248VULN|345DUR|4BPWR|6DMG|7RCR|9LIT
64	42321 11333	5	   	257.08	DCR|3VULN|3DUR|1DMG|1SELL	1ERES|24aVULN|345DUR|4BPWR|6DMG|7RCR|8SELL|9LIT
65	32235 14261	2	 * 	257.06	ACR|4VULN|3DUR|2DMG	1RMIN|2RCR|356aVULN|47aDUR|8aDMG|9TBNT|aBPWR
66	32234 11261	3	   	257.06	ACR|4VULN|3DUR|2DMG	1RMIN|2RCR|34aDUR|567aVULN|8aDMG|9TBNT|aBPWR
67	32235 14261	4	   	257.06	ACR|4VULN|3DUR|2DMG	1RMIN|2RCR|37aDUR|456aVULN|8aDMG|9TBNT|aBPWR
68	42321 22522	5	   	256.21	DCR|3VULN|3DUR|1TLV|1ASPD	1ERES|247VULN|345DUR|4BPWR|6ASPD|8RPLT|9RCR|aTLV
69	42321 52522	7	   	256.21	DCR|3VULN|3DUR|1TLV|1ASPD	1ERES|247VULN|345DUR|4BPWR|6ASPD|8RPLT|9RCR|aTLV
70	42321 52522	6	   	256.21	DCR|3VULN|3DUR|1TLV|1ASPD	1ERES|247VULN|345DUR|4BPWR|6ASPD|8RPLT|9RCR|aTLV
71	64234 22323	8	   	256.11	DCR|4VULN|1DMG|2LIT|1CDMG	19LIT|2CGEN|347aVULN|5DMG|6CDMG|8RCR
72	42321 62611	4	 * 	255.76	DCR|3VULN|2DUR|2TLV|1DMG	1ERES|248VULN|34DUR|4BPWR|5BEXP|6RCR|7aTLV|9DMG
73	42322 62611	5	   	255.66	DCR|3VULN|2DUR|2TLV|1DMG	1ERES|248VULN|34DUR|4BPWR|5DUST|6RCR|7aTLV|9DMG
74	42321 63123	4	   	255.10	DCR|3VULN|2DUR|1DMG|1ASPD	1ERES|248VULN|34DUR|4BPWR|5BEXP|6RCR|7LIT|9DMG|aASPD
75	33412 12621	2	 * 	255.02	DCR|3VULN|3DUR|3CDMG|1SELL	12RMIN|39aVULN|49aDUR|5TBNT|6SELL|79aCDMG|8RCR|9aBPWR
76	33415 12621	2	 * 	255.02	DCR|3VULN|3DUR|3CDMG|1SELL	12RMIN|39aVULN|49aDUR|5BBNT|6SELL|79aCDMG|8RCR|9aBPWR
77	31221 11237	1	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1RMIN|2MBVNT|367VULN|4TLV|58DMG|9RCR|aDUR
78	42321 31462	10	   	254.92	DCR|3VULN|3DUR|2LIT|1ASPD	1aERES|24aVULN|345DUR|4aBPWR|6CGEN|7ASPD|8RCR|9aLIT
79	13235 14343	4	   	254.62	DCR|4VULN|2DUR|1TLV	1LWND|27DUR|3TLV|4569VULN|8LHND|aRCR
80	13244 11343	3	   	254.62	DCR|4VULN|2DUR|1TLV	1LWND|24DUR|3TLV|5679VULN|8LHND|aRCR
81	23244 11343	3	   	254.62	DCR|4VULN|2DUR|1TLV	1FEWX|24DUR|3TLV|5679VULN|8LWND|aRCR
82	42321 62621	4	   	254.62	DCR|4VULN|2DUR|1TLV	1ERES|2489VULN|34DUR|4BPWR|5BEXP|6RCR|7TLV|aLWND
83	12265 32214	1	   	254.55	DCR|3VULN|3DMG|1DUR	17LWND|2MLV|3LEGI|457VULN|679DMG|7BPWR|8DUR|aRCR
84	13235 14143	4	   	254.52	DCR|4VULN|2DUR|1TLV	1LWND|27DUR|3TLV|4569VULN|8DUST|aRCR
85	13244 11143	3	   	254.52	DCR|4VULN|2DUR|1TLV	1LWND|24DUR|3TLV|5679VULN|8DUST|aRCR
86	42322 62621	5	   	254.52	DCR|4VULN|2DUR|1TLV	1ERES|2489VULN|34DUR|4BPWR|5DUST|6RCR|7TLV|aLWND
87	42321 62622	4	   	254.52	DCR|4VULN|2DUR|1TLV	1aERES|2489VULN|34DUR|4BPWR|5BEXP|6RCR|7TLV
88	42221 62326	5	   	254.42	DCR|4VULN|2DUR|1TLV	1ERES|249aVULN|34DUST|4BPWR|58DUR|6RCR|7TLV
89	42322 62622	5	   	254.42	DCR|4VULN|2DUR|1TLV	1aERES|2489VULN|34DUR|4BPWR|5DUST|6RCR|7TLV
90	63214 16311	10	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1LIT|2RCVC|3ASPD|4CDMG|5DUR|678VULN|9RCR|aDMG
91	64231 22611	10	   	254.17	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1LIT|2CGEN|347VULN|5TLV|6CDMG|8ASPD|9RCR|aDMG
92	64231 22351	8	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1LIT|2CGEN|347VULN|5TLV|6CDMG|8RCR|9aDUR
93	21326 43612	1	   	253.82	DCR|2VULN|2ASPD|1DMG|1TLV|1DUR|1CDMG	1FEWX|26ASPD|3LIT|4TLV|56VULN|6BPWR|7DUR|8CDMG|9DMG|aRCR
94	42321 21164	5	   	253.61	DCR|3VULN|3DUR|1CDMG|1ASPD	1ERES|248VULN|345DUR|4BPWR|6ASPD|7RCR|9CDMG|aMLV
95	13235 64123	4	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1LWND|2DUR|3TLV|4579VULN|6RCR|8ERES|aCDMG
96	41311 21161	3	   	253.51	DCR|3VULN|3DUR|1CDMG|1ASPD	1ERES|234DUR|58aVULN|6ASPD|7RCR|9CDMG
97	41315 11161	3	   	253.51	DCR|3VULN|3DUR|1CDMG|1ASPD	1ERES|234DUR|5ASPD|68aVULN|7RCR|9CDMG
98	42321 21163	5	   	253.51	DCR|3VULN|3DUR|1CDMG|1ASPD	1aERES|248VULN|345DUR|4BPWR|6ASPD|7RCR|9CDMG
99	42321 51163	6	   	253.51	DCR|3VULN|3DUR|1CDMG|1ASPD	1aERES|248VULN|345DUR|4BPWR|6ASPD|7RCR|9CDMG
100	42221 62623	5	   	253.49	DCR|4VULN|1DUR|1TLV|1CDMG	1ERES|2489VULN|34DUST|4BPWR|5DUR|6RCR|7TLV|aCDMG
101	66213 11141	1	 * 	253.47	DCR|2VULN|2DUR|1DMG|2CDMG|2LIT|1AART	19LIT|29DUR|37VULN|4ERES|5AART|6RCR|89CDMG|9BPWR|aDMG
102	42324 24222	4	   	253.41	DCR|3VULN|3DUR|1TLV	1ERES|245VULN|347DUR|4BPWR|6DUST|8LIT|9TLV|aRCR
103	42324 25322	4	   	253.41	DCR|3VULN|3DUR|1TLV	1ERES|245VULN|348DUR|4BPWR|6DUST|7LIT|9TLV|aRCR
104	36511 14231	4	   	253.38	DCR|3VULN|2DMG|2DUR	1RMIN|2ZMB|36aVULN|47DUR|58DMG|9RCR
105	42321 21166	5	   	253.37	DCR|3VULN|3DUR|1CDMG|1ASPD|1SELL	1ERES|248VULN|345DUR|4BPWR|6ASPD|7RCR|9CDMG|aSELL
