0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64326 11332	2	 * 	296.00	DCR|4VULN|2DUR|2ASPD|1DMG|1TLV	179aVULN|27ASPD|3DMG|4TLV|57DUR|6RCR|7BPWR|8TBNT
22	63212 52131	8	   	277.51	DCR|4VULN|3DUR|1TLV	1489VULN|234DUR|4BPWR|5DUST|6RCR|7TLV|aAART
23	13122 63422	2	   	277.07	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1TLV|26LIT|37DMG|4CDMG|569VULN|6BPWR|8RCR|aAART
24	13122 63422	3	   	277.07	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1TLV|26LIT|37DMG|4CDMG|569VULN|6BPWR|8RCR|aAART
25	62214 51311	6	 * 	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	136VULN|2RCVC|4AART|56DMG|6BPWR|7CDMG|89DUR|aRCR
26	63211 64332	4	 * 	276.38	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	14aVULN|234DUR|4BPWR|5TLV|6BELT|7ASPD|8DMG|9RCR
27	63252 53311	10	 * 	276.37	DCR|3VULN|3DUR|2DMG	189VULN|239DUR|4BELT|5AART|6MBVNT|79DMG|9BPWR|aRCR
28	63212 52125	9	   	276.16	DCR|4VULN|3DUR|1TLV	148aVULN|234DUR|4BPWR|5DUST|6RCR|7TLV|9LIT
29	64126 11332	3	   	275.94	DCR|4VULN|2DUR|2ASPD|1TLV	179aVULN|27ASPD|3ZMB|4TLV|57DUR|6RCR|7BPWR|8TBNT
30	64226 11332	2	   	275.94	DCR|4VULN|2DUR|2ASPD|1TLV	179aVULN|27ASPD|3ZMB|4TLV|57DUR|6RCR|7BPWR|8TBNT
31	64326 11221	2	 * 	274.63	DCR|2VULN|3DUR|2ASPD|1DMG|1TLV|2LIT	17VULN|27ASPD|3DMG|4TLV|57aDUR|6RCR|7BPWR|89LIT
32	13234 11335	1	   	274.52	DCR|3VULN|3DMG|2TLV|1DUR	17TLV|279VULN|3ZMB|4DUR|57aDMG|6RCR|7BPWR|8TBNT
33	63314 11335	2	   	274.52	DCR|3VULN|3DMG|2TLV|1DUR	179VULN|2DUR|3RMIN|47TLV|57aDMG|6RCR|7BPWR|8TBNT
34	62424 11212	1	   	273.86	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	157VULN|2BELT|3CDMG|47ASPD|67DMG|7BPWR|8RCR|9TLV|aRCVC
35	62424 11213	1	   	273.86	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	157VULN|2BELT|3CDMG|47ASPD|67DMG|7BPWR|8RCR|9TLV|aBEXP
36	62424 11223	1	   	273.86	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	157VULN|2BELT|3CDMG|47ASPD|67DMG|7BPWR|8RCR|9RCVC|aTLV
37	62424 11231	1	   	273.76	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	157VULN|2BELT|3CDMG|47ASPD|67DMG|7BPWR|8RCR|9ERES|aTLV
38	61322 13323	1	   	273.68	DCR|3VULN|3DUR|1DMG|1CDMG|1ASPD	139VULN|2CDMG|49DUST|5DMG|6ASPD|789DUR|9BPWR|aRCR
39	63213 34361	6	   	273.66	DCR|4VULN|3DUR|1CDMG	1456VULN|234DUR|4BPWR|7LIT|8CDMG|9LHND|aRCR
40	63213 61532	7	   	273.66	DCR|4VULN|3DUR|1CDMG	1459VULN|234DUR|4BPWR|6CGEN|7CDMG|8RCR|aLIT
41	63222 52314	3	   	273.58	DCR|3VULN|3DUR|1DMG|1TLV	178VULN|238DUR|4TLV|5LIT|68ERES|8BPWR|9RCR|aDMG
42	61361 42131	1	   	273.48	DCR|4VULN|1DMG|2CDMG|1DUR	1367VULN|29CDMG|4AART|5DUR|8DMG|aRCR
43	64326 11112	2	   	273.46	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	17aVULN|27ASPD|3DMG|4TLV|57DUR|6RCR|7BPWR|8MLV|9RPLT
44	13326 11635	1	 * 	273.45	DCR|3VULN|2DMG|2DUR|2TLV	17TLV|279VULN|3aDMG|4MLV|57DUR|6RCR|7BPWR|8TBNT
45	13346 11335	1	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	17TLV|279VULN|3aDMG|4ZMB|57DUR|6RCR|7BPWR|8TBNT
46	64326 11312	2	   	273.36	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	17aVULN|27ASPD|3DMG|4TLV|57DUR|6RCR|7BPWR|8TBNT|9BEXP
47	64326 11331	2	   	273.36	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	179VULN|27ASPD|3DMG|4TLV|57DUR|6RCR|7BPWR|8TBNT|aBEXP
48	13634 11332	1	   	273.35	DCR|3VULN|2DMG|2DUR|2TLV|1NUKE	17TLV|29aVULN|3NUKE|47DUR|57DMG|6RCR|7BPWR|8TBNT
49	64326 11333	2	   	273.26	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	179VULN|27ASPD|3DMG|4TLV|57DUR|6RCR|7BPWR|8TBNT|aDUST
50	13151 23521	6	   	273.12	DCR|3VULN|3DMG|2TLV|2LIT	18TLV|24LIT|348DMG|48BPWR|5LEGI|678VULN|9MBVNT|aRCR
51	13151 26521	7	   	273.12	DCR|3VULN|3DMG|2TLV|2LIT	18TLV|24LIT|348DMG|48BPWR|5LEGI|678VULN|9MBVNT|aRCR
52	61614 11332	3	   	272.54	DCR|4VULN|2DMG|1TLV|1ASPD	179aVULN|27FEWX|3ASPD|4TLV|57DMG|6RCR|7BPWR|8TBNT
53	13122 63426	3	 * 	272.41	DCR|3VULN|2DMG|3LIT|1TLV|1CDMG	1TLV|26aLIT|37DMG|4CDMG|569VULN|6BPWR|8RCR
54	13122 63426	2	   	272.41	DCR|3VULN|2DMG|3LIT|1TLV|1CDMG	1TLV|26aLIT|37DMG|4CDMG|569VULN|6BPWR|8RCR
55	61642 31113	5	   	272.05	DCR|4VULN|3DMG|1ASPD	1567VULN|2FEWX|3ASPD|456DMG|56BPWR|8BELT|9BEXP|aRCR
56	61642 31123	5	   	271.95	DCR|4VULN|3DMG|1ASPD	1567VULN|2FEWX|3ASPD|456DMG|56BPWR|8BELT|9DUST|aRCR
57	63213 62124	7	 * 	271.86	DCR|4VULN|3DUR|2TLV	145aVULN|234DUR|4aBPWR|6CGEN|7RCR|8aMLV|9aTLV
58	63213 62324	8	   	271.86	DCR|4VULN|3DUR|2TLV	145aVULN|234DUR|4aBPWR|6CGEN|7RCR|8aMLV|9aTLV
59	63213 32535	6	 * 	271.76	DCR|4VULN|3DUR|1DMG	1456VULN|234DUR|4BPWR|7RCVC|8MLV|9RCR|aDMG
60	63213 35135	8	   	271.76	DCR|4VULN|3DUR|1DMG	1456VULN|234DUR|4BPWR|7RCVC|8MLV|9RCR|aDMG
61	63213 53332	7	   	271.76	DCR|4VULN|3DUR|1DMG	145aVULN|234DUR|4BPWR|6BELT|7LHND|8DMG|9RCR
62	63213 54332	6	   	271.76	DCR|4VULN|3DUR|1DMG	145aVULN|234DUR|4BPWR|6BELT|7LWND|8DMG|9RCR
63	63213 56132	8	   	271.76	DCR|4VULN|3DUR|1DMG	145aVULN|234DUR|4BPWR|6BELT|7DMG|8FEWX|9RCR
64	63213 56232	8	   	271.76	DCR|4VULN|3DUR|1DMG	145aVULN|234DUR|4BPWR|6BELT|7DMG|8BEXP|9RCR
65	63213 56332	6	   	271.76	DCR|4VULN|3DUR|1DMG	145aVULN|234DUR|4BPWR|6BELT|7LHND|8DMG|9RCR
66	63213 32235	6	   	271.66	DCR|4VULN|3DUR|1DMG	1456VULN|234DUR|4BPWR|7RCVC|8ERES|9RCR|aDMG
67	63213 35235	7	   	271.66	DCR|4VULN|3DUR|1DMG	1456VULN|234DUR|4BPWR|7RCVC|8ERES|9RCR|aDMG
68	62611 32532	4	   	271.24	DCR|5VULN|3DUR	1457aVULN|2RCVC|348DUR|4BPWR|6CGEN|9RCR
69	63213 32532	6	   	271.24	DCR|5VULN|3DUR	1456aVULN|234DUR|4BPWR|7RCVC|8MLV|9RCR
70	63213 35132	8	   	271.24	DCR|5VULN|3DUR	1456aVULN|234DUR|4BPWR|7RCVC|8MLV|9RCR
71	63213 35532	7	   	271.24	DCR|5VULN|3DUR	1456aVULN|234DUR|4BPWR|7RCVC|8MLV|9RCR
72	63213 35632	8	   	271.24	DCR|5VULN|3DUR	1456aVULN|234DUR|4BPWR|7RCVC|8CGEN|9RCR
73	63214 53122	7	   	271.24	DCR|5VULN|3DUR|1NUKE	1479aVULN|234DUR|49BPWR|59LWND|6RCR|8NUKE
74	63212 53532	8	   	271.14	DCR|5VULN|3DUR	1479aVULN|234DUR|4BPWR|5DUST|6RCR|8CGEN
75	63212 53532	7	   	271.14	DCR|5VULN|3DUR	1479aVULN|234DUR|4BPWR|5DUST|6RCR|8ZMB
76	63212 56132	8	   	271.14	DCR|5VULN|3DUR	1489aVULN|234DUR|4BPWR|5DUST|6RCR|7RMIN
77	63213 32232	6	   	271.14	DCR|5VULN|3DUR	1456aVULN|234DUR|4BPWR|7RCVC|8ERES|9RCR
78	63213 35232	7	   	271.14	DCR|5VULN|3DUR	1456aVULN|234DUR|4BPWR|7RCVC|8ERES|9RCR
79	63212 53132	7	   	271.04	DCR|5VULN|3DUR|1NUKE	1479aVULN|234DUR|4BPWR|5DUST|6RCR|8NUKE
80	63212 53232	7	   	271.04	DCR|5VULN|3DUR	1479aVULN|234DUR|4BPWR|5DUST|6RCR|8ERES
81	64326 11222	2	 * 	270.93	DCR|2VULN|3ASPD|2DUR|1DMG|1TLV|2LIT	17VULN|27aASPD|3DMG|4TLV|57DUR|6RCR|7BPWR|89LIT
82	13634 11263	1	 * 	270.50	DCR|2VULN|3DMG|2DUR|2TLV|1NUKE	17TLV|2aVULN|3NUKE|47DUR|579DMG|6RCR|7BPWR|8LIT
83	14322 11551	1	   	270.13	ACR|3VULN|3DMG|3DUR|3TLV	145TLV|2RCR|389DMG|689DUR|789VULN|89BPWR|aBBNT
84	63332 24522	10	   	269.87	DCR|3VULN|2DMG|2ASPD|1DUR	16aVULN|2DUR|3RPLT|4AART|5RMIN|7aDMG|8aASPD|9RCR|aBPWR
85	63614 11211	2	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	179VULN|27DUR|3TLV|4MLV|57DMG|6RCR|7BPWR|8BEXP|aRMIN
86	63614 11212	2	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	179VULN|27DUR|3TLV|4MLV|57DMG|6RCR|7BPWR|8BEXP|aDMSP
87	63614 11311	2	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	179VULN|27DUR|3TLV|4MLV|57DMG|6RCR|7BPWR|8LHND|aRMIN
88	63614 11312	2	   	269.83	DCR|3VULN|2DMG|2DUR|1TLV	179VULN|27DUR|3TLV|4MLV|57DMG|6RCR|7BPWR|8LHND|aDMSP
89	63614 11122	2	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	17aVULN|27DUR|3TLV|48MLV|57DMG|6RCR|7BPWR|9BBNT
90	63614 11213	2	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	179VULN|27DUR|3TLV|4MLV|57DMG|6RCR|7BPWR|8BEXP|aERES
91	63614 11222	2	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	17aVULN|27DUR|3TLV|4MLV|57DMG|6RCR|7BPWR|8BEXP|9TBNT
92	63614 11313	2	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	179VULN|27DUR|3TLV|4MLV|57DMG|6RCR|7BPWR|8LHND|aERES
93	63614 11322	2	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	17aVULN|27DUR|3TLV|4MLV|57DMG|6RCR|7BPWR|8LHND|9TBNT
94	61413 35121	10	   	269.12	DCR|5VULN|2DUR|1ASPD	14568VULN|234FEWX|48BPWR|78DUR|9ASPD|aRCR
95	62216 51322	6	   	268.76	DCR|3VULN|2DUR|2ASPD|1CDMG	139VULN|2RCVC|4AART|59DUR|6CDMG|7LIT|89ASPD|9BPWR|aRCR
96	62216 51322	7	   	268.76	DCR|3VULN|2DUR|2ASPD|1CDMG	139VULN|2RCVC|4AART|59DUR|6CDMG|7LIT|89ASPD|9BPWR|aRCR
97	62214 51331	6	   	268.52	DCR|3VULN|2DMG|2CDMG|1DUR	136VULN|2RCVC|4AART|56DMG|6BPWR|79CDMG|8DUR|aRCR
98	64326 11322	2	   	268.41	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	17VULN|27ASPD|3DMG|4TLV|57DUR|6RCR|7BPWR|8TBNT|9CDMG|aLIT
99	13346 11261	1	 * 	268.17	DCR|2VULN|3DUR|2DMG|2TLV	17TLV|27VULN|39DMG|4ZMB|57aDUR|6RCR|7BPWR|8LIT
100	64326 11213	2	   	268.08	DCR|2VULN|3DUR|2ASPD|1DMG|1TLV	17VULN|27ASPD|3DMG|4TLV|57aDUR|6RCR|7BPWR|8LIT|9FEWX
101	64326 11231	2	   	268.08	DCR|2VULN|3DUR|2ASPD|1DMG|1TLV	17VULN|27ASPD|3DMG|4TLV|57aDUR|6RCR|7BPWR|8LIT|9RCVC
102	61212 52132	9	   	267.95	DCR|4VULN|3DUR|1TLV	189aVULN|25FEWX|345DUR|5BPWR|6RCR|7TLV
103	63213 62122	8	   	267.95	DCR|4VULN|3DUR|1TLV	145aVULN|234DUR|4BPWR|6CGEN|7RCR|8ZMB|9TLV
104	63213 62122	7	   	267.95	DCR|4VULN|3DUR|1TLV	145aVULN|234DUR|4BPWR|6CGEN|7RCR|8MLV|9TLV
105	63213 62222	7	   	267.95	DCR|4VULN|3DUR|1TLV	145aVULN|234DUR|4BPWR|6CGEN|7RCR|8ZMB|9TLV
106	63213 62322	8	   	267.95	DCR|4VULN|3DUR|1TLV	145aVULN|234DUR|4BPWR|6CGEN|7RCR|8MLV|9TLV
107	63214 52112	8	   	267.95	DCR|4VULN|3DUR|1TLV	148aVULN|234DUR|4BPWR|5LWND|6RCR|7TLV|9BELT
108	63214 52122	8	   	267.95	DCR|4VULN|3DUR|1TLV	148aVULN|234DUR|4BPWR|59LWND|6RCR|7TLV
109	63214 52132	9	   	267.95	DCR|4VULN|3DUR|1TLV	148aVULN|234DUR|4BPWR|5LWND|6RCR|7TLV|9DMSP
110	63214 53122	8	   	267.95	DCR|4VULN|3DUR|1TLV	147aVULN|234DUR|4BPWR|5LWND|6RCR|8DMSP|9TLV
111	63214 53322	7	   	267.95	DCR|4VULN|3DUR|1TLV	147aVULN|234DUR|4BPWR|58LWND|6RCR|9TLV
112	63222 52132	9	   	267.95	DCR|4VULN|3DUR|1TLV	189aVULN|235DUR|45FEWX|5BPWR|6RCR|7TLV
113	63412 52132	9	   	267.95	DCR|4VULN|3DUR|1TLV	189aVULN|245DUR|35FEWX|5BPWR|6RCR|7TLV
114	63212 52112	8	   	267.85	DCR|4VULN|3DUR|1TLV	148aVULN|234DUR|4BPWR|5DUST|6RCR|7TLV|9RCVC
115	63212 52134	8	   	267.85	DCR|4VULN|3DUR|1TLV	1489VULN|234DUR|4BPWR|5DUST|6RCR|7TLV|aMLV
116	63212 52136	8	   	267.85	DCR|4VULN|3DUR|1TLV	1489VULN|234DUR|4BPWR|5DUST|6RCR|7TLV|aBELT
117	63212 52332	7	   	267.85	DCR|4VULN|3DUR|1TLV	149aVULN|234DUR|4BPWR|5DUST|6RCR|7TLV|8RCVC
118	63212 53622	7	   	267.85	DCR|4VULN|3DUR|1TLV	147aVULN|234DUR|4BPWR|5DUST|6RCR|8RCVC|9TLV
119	63213 62622	7	   	267.85	DCR|4VULN|3DUR|1TLV	145aVULN|234DUR|4BPWR|6CGEN|7RCR|8ERES|9TLV
120	63212 52122	8	   	267.75	DCR|4VULN|3DUR|1TLV	148aVULN|234DUR|4BPWR|59DUST|6RCR|7TLV
121	63212 52136	10	   	267.75	DCR|4VULN|3DUR|1TLV	148aVULN|234DUR|4BPWR|5DUST|6RCR|7TLV|9LEGI
122	63212 52432	8	   	267.75	DCR|4VULN|3DUR|1TLV	149aVULN|234DUR|4BPWR|58DUST|6RCR|7TLV
123	63212 52133	8	   	267.61	DCR|4VULN|3DUR|1TLV|1SELL	1489VULN|234DUR|4BPWR|5DUST|6RCR|7TLV|aSELL
124	13623 42363	5	   	267.51	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1TLV|28LIT|3LWND|4BEXP|589VULN|6CDMG|78DMG|8BPWR|aRCR
125	13633 42363	5	   	267.51	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1TLV|28LIT|3LWND|4FEWX|589VULN|6CDMG|78DMG|8BPWR|aRCR
126	13122 63421	3	   	267.41	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1TLV|26LIT|37DMG|4CDMG|569VULN|6BPWR|8RCR|aLWND
127	13122 63421	2	   	267.41	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1TLV|26LIT|37DMG|4CDMG|569VULN|6BPWR|8RCR|aLWND
128	13122 63423	3	   	267.31	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1TLV|26LIT|37DMG|4CDMG|569VULN|6BPWR|8RCR|aDUST
129	13122 63423	2	   	267.31	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1TLV|26LIT|37DMG|4CDMG|569VULN|6BPWR|8RCR|aDUST
130	13122 63425	2	   	267.31	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1TLV|26LIT|37DMG|4CDMG|569VULN|6BPWR|8RCR|aBBNT
131	13122 63425	3	   	267.31	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1TLV|26LIT|37DMG|4CDMG|569VULN|6BPWR|8RCR|aBBNT
132	13234 11215	1	   	267.27	DCR|3VULN|2DMG|2TLV|1DUR	17TLV|27aVULN|3ZMB|4DUR|57DMG|6RCR|7BPWR|8LIT|9FEWX
133	63314 11215	2	   	267.27	DCR|3VULN|2DMG|2TLV|1DUR	17aVULN|2DUR|3RMIN|47TLV|57DMG|6RCR|7BPWR|8LIT|9FEWX
134	63211 12221	4	   	267.27	DCR|3VULN|3DUR|1TLV|1CDMG	148VULN|234DUR|4BPWR|5TLV|6LIT|7CDMG|9BELT|aRCR
135	63211 12241	4	   	267.27	DCR|3VULN|3DUR|1TLV|1CDMG	148VULN|234DUR|4BPWR|5TLV|6LIT|7CDMG|9RMIN|aRCR
136	13234 11334	1	   	267.17	DCR|3VULN|2DMG|2TLV|1DUR	17TLV|279VULN|3ZMB|4DUR|57DMG|6RCR|7BPWR|8TBNT|aLIT
137	63314 11334	2	   	267.17	DCR|3VULN|2DMG|2TLV|1DUR	179VULN|2DUR|3RMIN|47TLV|57DMG|6RCR|7BPWR|8TBNT|aLIT
138	13264 11263	1	   	266.67	DCR|3VULN|3DMG|2TLV	17TLV|27aVULN|3ZMB|4LWND|579DMG|6RCR|7BPWR|8LIT
139	63213 62228	9	   	266.66	DCR|4VULN|3DUR|2LIT	145aVULN|234DUR|4aBPWR|6aCGEN|7RCR|8MBVNT|9aLIT
140	61321 21616	3	   	266.60	DCR|4VULN|2DMG|2ASPD	179aVULN|2FEWX|37DMG|4LWND|5CGEN|67ASPD|7BPWR|8RCR
141	61321 21616	2	   	266.60	DCR|4VULN|2DMG|2ASPD	179aVULN|2FEWX|37DMG|4LWND|5CGEN|67ASPD|7BPWR|8RCR
142	61331 21616	5	   	266.60	DCR|4VULN|2DMG|2ASPD	179aVULN|2FEWX|37DMG|4CGEN|5LHND|67ASPD|7BPWR|8RCR
143	61332 21616	5	   	266.60	DCR|4VULN|2DMG|2ASPD	179aVULN|2FEWX|37DMG|4CGEN|5LWND|67ASPD|7BPWR|8RCR
144	61333 21616	4	   	266.60	DCR|4VULN|2DMG|2ASPD	179aVULN|2FEWX|37DMG|4CGEN|5LHND|67ASPD|7BPWR|8RCR
145	13214 11263	1	   	266.57	DCR|3VULN|3DMG|2TLV	17TLV|27aVULN|3ZMB|4DUST|579DMG|6RCR|7BPWR|8LIT
146	64234 11332	4	   	266.50	DCR|4VULN|2DMG|2ASPD	179aVULN|27ASPD|3LWND|4CGEN|57DMG|6RCR|7BPWR|8TBNT
147	64334 11332	4	   	266.50	DCR|4VULN|2DMG|2ASPD	179aVULN|27ASPD|3LHND|4CGEN|57DMG|6RCR|7BPWR|8TBNT
148	13152 41151	8	 * 	266.50	DCR|2VULN|2DMG|3ASPD|3LIT|2TLV	18TLV|246LIT|34DMG|48BPWR|58aASPD|78VULN|9RCR
149	64326 11223	2	 * 	266.41	DCR|2VULN|2DUR|2ASPD|3LIT|1DMG|1TLV	17VULN|27ASPD|3DMG|4TLV|57DUR|6RCR|7BPWR|89aLIT
