0	Index      	Bounty	 *	Score 	Summary	Detail	
36	23153 35316	9	   	257.60	DCR|4VULN|1TLV|2CDMG|1DUR	19CDMG|279CGEN|3TLV|4DUR|5689VULN|9BPWR|aRCR
37	41231 11166	1	 * 	257.51	DCR|3VULN|2DMG|1TLV|3LIT|1SELL	139VULN|234LIT|39BPWR|5LEGI|6RCR|79DMG|8SELL|aTLV
38	24126 25122	7	 * 	257.45	DCR|3VULN|3CDMG|1TLV|1DUR|2LIT	178CDMG|28LIT|3TLV|4FEWX|568VULN|8BPWR|9DUR|aRCR
39	24113 56311	9	   	256.61	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1CDMG|2LIT|3TLV|48DUR|5ASPD|6DMG|7RCR|9aVULN
40	24111 56212	4	   	256.38	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	1CDMG|2LIT|3aTLV|48DUR|5DMG|69VULN|7RCR
41	24111 66212	3	   	256.38	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	1CDMG|2LIT|3aTLV|49VULN|5DMG|68DUR|7RCR
42	21134 64211	2	 * 	255.95	ACR|3VULN|3DUR|2TLV|3CDMG|1AART	19aCDMG|269DUR|3ERES|4aTLV|5RCR|7AART|89aVULN|9aBPWR
43	41312 31521	1	   	255.75	DCR|3VULN|3DMG|2LIT|1CDMG	169VULN|24LIT|34ERES|46BPWR|56aDMG|7CDMG|8RCR
44	24113 56112	5	   	254.73	DCR|3VULN|2TLV|1DUR|1CDMG	1CDMG|2LIT|3aTLV|4DUR|5ASPD|689VULN|7RCR
45	41232 31515	1	 * 	254.61	DCR|2VULN|2DUR|1TLV|3LIT|1DMG	13VULN|234LIT|3BPWR|5ASPD|69DUR|7DMG|8RCR|aTLV
46	41253 24313	1	   	254.24	DCR|3VULN|2DUR|1TLV|2LIT	13aVULN|23LIT|3BPWR|49DUR|5CGEN|6ASPD|7TLV|8RCR
47	43336 21343	6	   	254.05	DCR|4VULN|1TLV|1DUR	139aVULN|2CGEN|4TLV|5DUR|6ASPD|7LIT|8RCR
48	41312 32652	1	 * 	253.86	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1AART	16VULN|24LIT|34ERES|46BPWR|56DMG|7DUR|8AART|9TLV|aRCR
49	42213 15332	6	   	252.90	DCR|3VULN|2TLV|2DUR|1CDMG	159VULN|2DUST|39TLV|45LWND|59BPWR|6BEXP|7RCR|89DUR|aCDMG
50	42213 25332	6	   	252.90	DCR|3VULN|2TLV|2DUR|1CDMG	159VULN|2DUST|39TLV|45LWND|59BPWR|6FEWX|7RCR|89DUR|aCDMG
