0	Index      	 *	Score 	Summary	Detail	
89	35116 31153	   	174.98	DCR|1BASARM|1ASPD|1DMG|1CDMG|1AART|1AAC	1DMG|2AME|3ASPD|4AART|5BASARM|6AAC|7BELT|8DUR|9CDMG|aRCR
90	32433 41152	   	174.89	ACR|3VULN|2BEXP|1DMG|1CDMG	1DMG|2ERES|36aVULN|4CDMG|5RCR|7ZMB|89BEXP
91	33433 22135	   	174.88	ACR|3VULN|1ASPD|1DMG|1CDMG|1AAC	1DMG|2CGEN|389VULN|4CDMG|5RCR|6AAC|7LIT|aASPD
92	33433 41332	   	174.88	ACR|3VULN|1ASPD|1DMG|1CDMG|1AAC	1DMG|2CGEN|36aVULN|4CDMG|5RCR|7ZMB|8AAC|9ASPD
93	24316 32324	 * 	174.86	ACR|3ASPD|1DMG|1BEXP|1VULN	1DUR|2BEXP|3LIT|4VULN|5RCR|678ASPD|9LHND|aDMG
94	32433 41332	   	174.78	ACR|3VULN|1ASPD|1DMG|1CDMG|1AAC	1DMG|2ERES|36aVULN|4CDMG|5RCR|7ZMB|8AAC|9ASPD
95	35433 23135	   	174.78	ACR|3VULN|1ASPD|1DMG|1CDMG|1AAC	1DMG|2AME|389VULN|4CDMG|5RCR|6AAC|7LIT|aASPD
96	32433 11563	 * 	174.66	ACR|3ASPD|1DMG|1CDMG|1VULN	1DMG|26ERES|3VULN|4CDMG|5RCR|7ZMB|89aASPD
97	33433 23213	 * 	174.65	ACR|2DMG|1CDMG|1BEXP|1AART|1AAC|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6AAC|7BEXP|8AIRARM|aAART
98	33433 35116	 * 	174.60	ACR|2VULN|1ASPD|1DMG|2CDMG|1BEXP	1DMG|2CGEN|38VULN|47CDMG|5RCR|6LIT|9ASPD|aBEXP
99	32433 32551	   	174.50	ACR|2VULN|1ASPD|1DMG|2CDMG|1BEXP	1DMG|2ERES|3aVULN|47CDMG|5RCR|6DUR|8ASPD|9BEXP
100	24316 33413	   	174.24	ACR|2DMG|2BEXP|1ASPD|1VULN	179DUR|2aBEXP|3aLIT|4VULN|5RCR|6ASPD|8aDMG|aBPWR
101	24316 32131	   	174.12	ACR|2ASPD|2VULN|1CDMG|1BEXP|1AAC	1DUR|2BEXP|3LIT|49VULN|5RCR|67ASPD|8AAC|aCDMG
102	33433 23211	   	174.02	ACR|2DMG|2VULN|1CDMG|1BEXP|1AAC	19DMG|2CGEN|3aVULN|4CDMG|5RCR|6AAC|7BEXP|8AIRARM
103	33433 23434	   	174.02	ACR|2DMG|2VULN|1BEXP|1CDMG|1AAC	1aDMG|2CGEN|38VULN|4CDMG|5RCR|6AAC|7BEXP|9AEFBLL
104	33433 25134	   	174.02	ACR|2DMG|2VULN|1BEXP|1CDMG|1AAC	1aDMG|2CGEN|37VULN|4CDMG|5RCR|6AAC|8BEXP|9AEFBLL
105	35433 21134	   	173.92	ACR|2DMG|2VULN|1BEXP|1CDMG|1AAC	1aDMG|27AME|39VULN|4CDMG|5RCR|6AAC|8BEXP
106	36156 21211	 * 	173.73	ACR|1BASARM|2DMG|1VULN	18DMG|2LIT|3TLV|4MDPS|5RCR|6RPLT|7BASARM|9CGEN|aVULN
107	36156 21221	   	173.73	ACR|1BASARM|2DMG|1VULN	18DMG|2LIT|3TLV|4MDPS|5RCR|6RPLT|7BASARM|9RMIN|aVULN
108	33116 41326	   	173.71	DCR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1VULN	1DMG|27CGEN|3ASPD|4AART|5BASARM|6BEXP|8VULN|9FEWX|aRCR
109	33116 42326	   	173.71	DCR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1VULN	1DMG|2CGEN|3ASPD|4AART|5BASARM|6BEXP|7RCVC|8VULN|9FEWX|aRCR
110	33433 25363	 * 	173.66	ACR|4VULN|1DMG|2AAC|1CDMG	1DMG|2CGEN|379aVULN|4CDMG|5RCR|68AAC
111	32433 21533	 * 	173.61	ACR|3VULN|1DMG|1AART|1BEXP|1CDMG	1DMG|2ERES|379VULN|4CDMG|5RCR|6MDPS|8BEXP|aAART
112	32116 43336	   	173.51	DCR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1VULN	1DMG|27ERES|3ASPD|4AART|5BASARM|6BEXP|8VULN|9LWND|aRCR
113	32116 56223	   	173.51	DCR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1VULN	1DMG|2ERES|3ASPD|4AART|5BASARM|6AIRHEL|7FEWX|8VULN|9BEXP|aRCR
114	33116 51223	   	173.51	DCR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1VULN	1DMG|2CGEN|3ASPD|4AART|5BASARM|6AIRHEL|7LEGI|8VULN|9BEXP|aRCR
115	32116 51223	   	173.41	DCR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1VULN	1DMG|2ERES|3ASPD|4AART|5BASARM|6AIRHEL|7LEGI|8VULN|9BEXP|aRCR
116	35116 51223	   	173.41	DCR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1VULN	1DMG|2AME|3ASPD|4AART|5BASARM|6AIRHEL|7LEGI|8VULN|9BEXP|aRCR
117	33116 25236	 * 	173.08	DCR|1BASARM|2VULN|1ASPD|1DMG|1AART	1DMG|2CGEN|3ASPD|4AART|5BASARM|69VULN|7FEWX|8DUR|aRCR
118	32116 22236	   	172.98	DCR|1BASARM|2VULN|1ASPD|1DMG|1AART	1DMG|2ERES|3ASPD|4AART|5BASARM|69VULN|7FEWX|8DUR|aRCR
119	35116 22236	   	172.98	DCR|1BASARM|2VULN|1ASPD|1DMG|1AART	1DMG|2AME|3ASPD|4AART|5BASARM|69VULN|7FEWX|8DUR|aRCR
120	24316 32411	   	172.85	ACR|2ASPD|1DMG|1CDMG|1BEXP|1VULN	19DUR|2BEXP|3LIT|4VULN|5RCR|67ASPD|8DMG|aCDMG
121	33116 21366	   	172.84	DCR|1BASARM|2VULN|1ASPD|1DMG|1AART|1SELL	1DMG|27CGEN|3ASPD|4AART|5BASARM|68VULN|9SELL|aRCR
122	33433 13531	   	172.75	ACR|2DMG|1ASPD|1BEXP|1CDMG|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6ERES|7BEXP|8ASPD|aLWND
123	33433 53235	   	172.75	ACR|2ASPD|1DMG|1BEXP|1CDMG|1VULN	1DMG|28CGEN|3VULN|4CDMG|5RCR|6MDPS|7aASPD|9BEXP
124	33433 53333	   	172.75	ACR|2ASPD|1DMG|1BEXP|1CDMG|1VULN	1DMG|2CGEN|3VULN|4CDMG|5RCR|6MDPS|7aASPD|8LWND|9BEXP
125	32433 23343	   	172.65	ACR|2ASPD|1DMG|1BEXP|1CDMG|1VULN	1DMG|2ERES|3VULN|4CDMG|5RCR|6MDPS|7aASPD|8BEXP|9LWND
126	33433 13532	   	172.65	ACR|2DMG|1ASPD|1BEXP|1CDMG|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6ERES|7BEXP|8ASPD|aTLV
127	33433 13533	   	172.65	ACR|2DMG|1ASPD|1BEXP|1CDMG|1VULN	19DMG|2CGEN|3VULN|4CDMG|5RCR|6ERES|7BEXP|8ASPD|aLEGI
