0	Index      	 *	Score 	Summary	Detail	
149	36122 26141	   	197.23	DCR|4VULN|2DMG|1NUKE|1DUR	134aVULN|2DUR|5aDUST|6NUKE|7LEGI|8aDMG|9RCR|aBPWR
150	36122 36141	   	197.23	DCR|4VULN|2DMG|1AAC|1DUR	134aVULN|2DUR|5aDUST|6AAC|7LEGI|8aDMG|9RCR|aBPWR
151	34621 32322	   	197.22	DCR|4VULN|1AART|1DMG	1456VULN|2LWND|3FEWX|7CANSTR|8RCR|9DMG|aAART
152	11634 21263	   	197.19	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	1MDPS|2BELT|36VULN|46DMG|5AART|6BPWR|7CGEN|8DUST|9ASPD|aRCR
153	11634 23263	   	197.19	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	1MDPS|2BELT|36VULN|46DMG|5AART|6BPWR|7AME|8DUST|9ASPD|aRCR
154	14242 14223	   	197.19	DCR|2VULN|2DMG|1MDPS|2CDMG|1ASPD	1MDPS|27DMG|3RPLT|47CDMG|5MBVNT|67VULN|7BPWR|8FEWX|9ASPD|aRCR
155	14324 25332	   	197.06	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1CDMG	1MDPS|27DMG|3CDMG|4AART|5VULN|6RPLT|8RCR|9SPLJET|aASPD
156	34113 41243	   	196.99	DCR|3VULN|3ASPD|1CDMG	136VULN|2LWND|4CDMG|569ASPD|6BPWR|78ERES|aRCR
157	14422 36321	   	196.99	DCR|3DMG|2VULN|1MDPS|2DUR|1ZMB	1MDPS|25aDMG|3LIT|4aVULN|6ZMB|7ERES|8RCR|9aDUR|aBPWR
158	14324 25323	   	196.96	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1CDMG	1MDPS|27DMG|3CDMG|4AART|5VULN|6RPLT|8RCR|9ERES|aASPD
159	11663 31263	 * 	196.71	DCR|2VULN|1MDPS|1ASPD|1NUKE|1CDMG|1ZMB|1DUR	1MDPS|2BELT|35VULN|4CDMG|6DUR|7RCR|8ZMB|9ASPD|aNUKE
