0	Index      	 *	Score 	Summary	Detail	
49	14134 22216	 * 	171.39	ACR|2DMG|2VULN|1AART|1ZMB|1SELL	1ERES|28VULN|3SELL|4aDMG|5RCR|6AART|7LEGI|9ZMB
50	14134 22336	 * 	171.39	ACR|2DMG|2VULN|1AART|1ZMB|1SELL	1ERES|29VULN|3SELL|4aDMG|5RCR|6AART|7LEGI|8ZMB
51	14134 23136	 * 	171.39	ACR|2VULN|2DMG|1AART|1ZMB|1SELL	1ERES|29VULN|3SELL|4aDMG|5RCR|6AART|7ZMB|8DUST
52	36621 12431	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2DMG|3DUR|4AART|59VULN|6BEXP|7RCR|8ZMB|aRCVC
53	36621 12432	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2DMG|3DUR|4AART|59VULN|6BEXP|7RCR|8ZMB|aFEWX
54	36621 12433	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2DMG|3DUR|4AART|59VULN|6BEXP|7RCR|8ZMB|aDMSP
55	22134 34433	   	171.17	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	18DUST|2ZMB|3SELL|48DMG|5RMIN|68VULN|7RCR|8BPWR|9BEXP|aAART
56	16221 42143	   	171.08	DCR|2AART|2DMG|1VULN|1ZMB	1ERES|29DMG|3DUST|4aAART|5VULN|6RCR|7ZMB|8LHND
57	16221 42353	   	170.98	DCR|2AART|2DMG|1VULN|1ZMB	1ERES|29DMG|3DUST|4aAART|5VULN|6RCR|7ZMB|8MBVNT
58	22563 23352	 * 	170.94	DCR|3VULN|1AART|1DMG|2ZMB	1DUST|24ZMB|347VULN|4BPWR|5DMSP|6AART|8FEWX|9RCR|aDMG
59	16352 12253	   	170.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2DMG|3LIT|4CDMG|5aVULN|6RCR|7SNIHEL|8AART|9ZMB
60	16321 45332	 * 	170.07	DCR|3DMG|2VULN|1AART	1ERES|267DMG|39LIT|4FEWX|56VULN|6BPWR|8AART|aRCR
61	16331 45332	   	169.97	DCR|3DMG|2VULN|1AART	1ERES|267DMG|39LIT|4DUST|56VULN|6BPWR|8AART|aRCR
62	54321 26212	   	169.40	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR	1DUR|2LHND|3RCVC|4aAART|58VULN|6CDMG|7RCR|9ZMB
63	31321 43436	   	169.21	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2TLV|3BEXP|4AART|59VULN|6RCR|7ERES|8CDMG|aDMG
64	21211 11211	 * 	169.06	DCR|2VULN|2DMG|1AART|1FLTHEA	12DUST|38DMG|4FLTHEA|59VULN|6AART|7RCVC|aRCR
65	31211 14211	 * 	169.06	DCR|2VULN|2DMG|1AART|2ASPD	17ASPD|2TLV|38DMG|4LSRICY|59VULN|6AART|aRCR
66	36111 14251	   	169.06	DCR|2VULN|2DMG|1AART|2ASPD	17ASPD|28DMG|3ERES|4LSRICY|59VULN|6AART|aRCR
67	16352 12632	   	168.91	DCR|3VULN|2DMG|1CDMG	1ERES|2aDMG|3LIT|4CDMG|59aVULN|6RCR|7SNIHEL|8aLWND|aBPWR
