0	Index      	 *	Score 	Summary	Detail	
49	11135 24311	   	175.14	DCR|2ASPD|2DMG|2BEXP|1CDMG|1VULN|1SELL	12DMG|25BPWR|35BEXP|45ASPD|6CDMG|7SELL|8MLV|9VULN|aRCR
50	11135 24151	 * 	174.41	DCR|2ASPD|2DMG|2BEXP|2CDMG|1SELL	12DMG|25BPWR|35BEXP|45ASPD|68CDMG|7SELL|9AEMAG|aRCR
51	66531 11212	 * 	173.69	ACR|2BASARM|2VULN	1aERES|2BELT|3RCR|4MDPS|5RPLT|6aVULN|7MSLFST|8LIT|9aBASARM|aBPWR
52	11151 51315	 * 	173.45	DCR|3DMG|2BEXP|2CDMG|1AART|1VULN	127DMG|27BPWR|34BEXP|57CDMG|67LHND|8AART|9VULN|aRCR
53	14231 22122	 * 	173.37	DCR|2ASPD|2DMG|2VULN|1BEXP|1CDMG	16DMG|2AME|34ASPD|5CDMG|79VULN|8BEXP|aRCR
54	11135 25231	 * 	173.20	1BASARM|2ASPD|2DMG|2BEXP|2CDMG	12DMG|25BPWR|35BEXP|45ASPD|67CDMG|8MDPS|9BASARM|aLWND
55	11135 25233	   	173.20	1BASARM|2ASPD|2DMG|2BEXP|2CDMG	12DMG|25BPWR|35BEXP|45ASPD|67CDMG|8MDPS|9BASARM|aFEWX
56	11135 25234	   	173.20	1BASARM|2ASPD|2DMG|2BEXP|2CDMG	12DMG|25BPWR|35BEXP|45ASPD|67CDMG|8MDPS|9BASARM|aLHND
57	11135 25236	   	173.20	1BASARM|2ASPD|2DMG|2BEXP|2CDMG	12DMG|25BPWR|35BEXP|45ASPD|67CDMG|8MDPS|9BASARM|aDUR
58	11135 25232	   	173.10	1BASARM|2ASPD|2DMG|2BEXP|2CDMG	12DMG|25BPWR|35BEXP|45ASPD|67CDMG|8aMDPS|9BASARM
59	43222 14141	 * 	172.82	DCR|3DMG|2BEXP|2VULN|1ASPD	18CGEN|28VULN|3FLTFST|46BEXP|578DMG|8BPWR|9ASPD|aRCR
60	46532 23323	 * 	171.68	ACR|1ASPD|1DMG|1BASICY|1CDMG|1VULN	18CGEN|2BELT|3RCR|4DMG|5BASICY|6LIT|7VULN|9ASPD|aCDMG
61	11435 21613	 * 	171.26	DCR|3ASPD|3DMG|1CDMG	127DMG|25BPWR|35DUR|458ASPD|6CDMG|9BELT|aRCR
62	11116 25521	 * 	171.11	2BASARM|3DMG|2VULN|1ASPD|1BEXP	129DMG|29BPWR|3BEXP|49VULN|5FEWX|6RMIN|7DUST|89BASARM|aASPD
63	11135 56221	 * 	170.84	DCR|2ASPD|2DMG|2BEXP|2AAC	12DMG|25BPWR|35BEXP|45ASPD|68AAC|7LWND|9AME|aRCR
64	46533 31131	   	170.78	ACR|2AART|1ASPD|1DMG|1CDMG	1CGEN|26BELT|3RCR|4DMG|5LIT|7CDMG|89AART|aASPD
65	46523 33323	   	170.57	ACR|2DMG|1ASPD|1CDMG|1AAC	14CGEN|2BELT|3RCR|5DUR|68DMG|7ASPD|9CDMG|aAAC
66	11135 33123	   	170.44	DCR|3ASPD|2DMG|2BEXP	12DMG|25BPWR|35BEXP|459ASPD|6RMIN|7BELT|8MLV|aRCR
67	11532 35311	   	170.44	DCR|3DMG|2ASPD|2BEXP	128DMG|28BPWR|3LIT|4DLOT|58BEXP|6RMIN|78ASPD|9ZMB|aRCR
68	11135 13411	   	170.34	DCR|3ASPD|2DMG|2BEXP	12DMG|25BPWR|35BEXP|456ASPD|7MULARM|8CGEN|9DUR|aRCR
69	11135 13321	   	170.24	DCR|3ASPD|2DMG|2BEXP	12DMG|25BPWR|35BEXP|456ASPD|7MULARM|8MDPS|9BELT|aRCR
70	11135 13366	   	170.24	DCR|3ASPD|2DMG|2BEXP	12DMG|25BPWR|35BEXP|456ASPD|7MULARM|8MDPS|9CGEN|aRCR
71	11135 52251	   	170.04	DCR|2ASPD|2DMG|2BEXP|1AAC|1VULN	12DMG|25BPWR|35BEXP|45ASPD|6AAC|7RPLT|8LIT|9VULN|aRCR
72	11135 51611	   	169.94	DCR|2ASPD|2DMG|2BEXP|1AAC|1VULN	12DMG|25BPWR|35BEXP|45ASPD|6AAC|7RCVC|8NUKE|9VULN|aRCR
73	14213 22346	 * 	169.11	2BASARM|2ASPD|2VULN|1DMG|1BEXP|1AART	1DMG|2AME|39ASPD|49VULN|5CGEN|69BASARM|7BEXP|8ZMB|9BPWR|aAART
74	14231 25335	   	169.06	DCR|3DMG|2ASPD|1CDMG|1AART	167DMG|2AME|34ASPD|5CDMG|8LHND|9AART|aRCR
75	14212 22346	   	169.01	2BASARM|2ASPD|2VULN|1DMG|1BEXP|1AART	1DMG|2AME|39ASPD|49VULN|5ERES|69BASARM|7BEXP|8ZMB|9BPWR|aAART
76	46532 11211	   	168.88	ACR|2DMG|1ASPD|1BASICY	179CGEN|2BELT|3RCR|49DMG|5BASICY|6FEWX|89ZMB|9BPWR|aASPD
77	46532 32111	   	168.88	ACR|2DMG|1ASPD|1BASICY	19CGEN|2BELT|3RCR|49DMG|5BASICY|67ZMB|89FEWX|9BPWR|aASPD
78	11135 12331	   	168.74	3ASPD|1BASARM|2DMG|2BEXP|1SELL	12DMG|25BPWR|35BEXP|456ASPD|7SELL|8DMSP|9BASARM|aLWND
79	11135 12333	   	168.74	3ASPD|1BASARM|2DMG|2BEXP|1SELL	12DMG|25BPWR|35BEXP|456ASPD|7SELL|8DMSP|9BASARM|aMLV
80	11135 12334	   	168.74	3ASPD|1BASARM|2DMG|2BEXP|1SELL	12DMG|25BPWR|35BEXP|456ASPD|7SELL|8DMSP|9BASARM|aLHND
81	11135 12336	   	168.74	3ASPD|1BASARM|2DMG|2BEXP|1SELL	12DMG|25BPWR|35BEXP|456ASPD|7SELL|8DMSP|9BASARM|aDUR
82	11135 12531	   	168.74	3ASPD|1BASARM|2DMG|2BEXP|1SELL	12DMG|25BPWR|35BEXP|456ASPD|7SELL|8RCVC|9BASARM|aLWND
83	11135 12533	   	168.74	3ASPD|1BASARM|2DMG|2BEXP|1SELL	12DMG|25BPWR|35BEXP|456ASPD|7SELL|8RCVC|9BASARM|aMLV
84	11135 12534	   	168.74	3ASPD|1BASARM|2DMG|2BEXP|1SELL	12DMG|25BPWR|35BEXP|456ASPD|7SELL|8RCVC|9BASARM|aLHND
85	11135 12536	   	168.74	3ASPD|1BASARM|2DMG|2BEXP|1SELL	12DMG|25BPWR|35BEXP|456ASPD|7SELL|8RCVC|9BASARM|aDUR
86	16135 12631	   	168.74	3ASPD|1BASARM|2DMG|2BEXP|1SELL	18DMG|2RCVC|35BEXP|456ASPD|5BPWR|7SELL|9BASARM|aLWND
87	16135 12633	   	168.74	3ASPD|1BASARM|2DMG|2BEXP|1SELL	18DMG|2RCVC|35BEXP|456ASPD|5BPWR|7SELL|9BASARM|aMLV
88	46532 11331	   	168.68	ACR|2DMG|1ASPD|1BASICY	17CGEN|2BELT|3RCR|4aDMG|5BASICY|6FEWX|8LWND|9ASPD
89	11135 12332	   	168.64	3ASPD|1BASARM|2DMG|2BEXP|1SELL	12DMG|25BPWR|35BEXP|456ASPD|7SELL|8DMSP|9BASARM|aMDPS
90	11135 12532	   	168.64	3ASPD|1BASARM|2DMG|2BEXP|1SELL	12DMG|25BPWR|35BEXP|456ASPD|7SELL|8RCVC|9BASARM|aMDPS
91	16135 12632	   	168.64	3ASPD|1BASARM|2DMG|2BEXP|1SELL	18DMG|2RCVC|35BEXP|456ASPD|5BPWR|7SELL|9BASARM|aMDPS
92	46532 23213	 * 	168.48	ACR|2DMG|2VULN|1BASICY	1CGEN|2BELT|3RCR|49DMG|5BASICY|6LIT|7aVULN|8LSRICY
93	46533 11132	   	168.30	ACR|2DMG|2AART|1CDMG	1CGEN|2BELT|3RCR|46DMG|5LIT|7CDMG|89AART|aMLV
94	46533 11133	   	168.30	ACR|2DMG|2AART|1CDMG	1CGEN|2BELT|3RCR|46DMG|5LIT|7CDMG|89AART|aZMB
95	11135 24421	   	168.10	DCR|2ASPD|2DMG|2BEXP|1CDMG|1SELL	12DMG|25BPWR|35BEXP|45ASPD|6CDMG|7SELL|8FEWX|9AME|aRCR
96	11135 24621	   	168.10	DCR|2ASPD|2DMG|2BEXP|1CDMG|1SELL	12DMG|25BPWR|35BEXP|45ASPD|6CDMG|7SELL|8DUR|9AME|aRCR
97	51161 22363	 * 	168.07	ACR|2BEXP|1ASPD|1DMG|1CDMG	1CDMG|23LIT|4RCR|5AME|6DMG|7LWND|8ASPD|9aBEXP
98	51162 22363	   	168.07	ACR|2BEXP|1ASPD|1DMG|1CDMG	1CDMG|23LIT|4RCR|5ERES|6DMG|7LWND|8ASPD|9aBEXP
99	11135 21624	 * 	168.05	3ASPD|3DMG|3BEXP|1CDMG|1VULN	127DMG|25BPWR|35aBEXP|458ASPD|6CDMG|9VULN
100	46532 13211	 * 	168.02	ACR|2BASICY|1ASPD|1DMG|1AAC	19CGEN|2BELT|3RCR|4DMG|59BASICY|69FEWX|7AAC|8DMSP|9BPWR|aASPD
101	46532 13311	   	168.02	ACR|2BASICY|1ASPD|1DMG|1AAC	189CGEN|2BELT|3RCR|4DMG|59BASICY|69FEWX|7AAC|9BPWR|aASPD
102	51165 11233	 * 	167.86	ACR|1BASARM|2CDMG|1BEXP	15CDMG|237LIT|4RCR|6RPLT|8DUST|9BASARM|aBEXP
