0	Index      	 *	Score 	Summary	Detail	
65	31131 12544	   	198.89	ACR|4VULN|1ASPD|1BASICY|2CDMG	19AEMAG|2RCR|3479VULN|5ASPD|6BASICY|89CDMG|9BPWR|aRCVC
66	31131 12545	   	198.89	ACR|4VULN|1ASPD|1BASICY|2CDMG	19AEMAG|2RCR|3479VULN|5ASPD|6BASICY|89CDMG|9BPWR|aDUR
67	31131 12541	   	198.79	ACR|4VULN|1ASPD|1BASICY|2CDMG	19AEMAG|2RCR|3479VULN|5ASPD|6BASICY|89CDMG|9BPWR|aMBVNT
68	31131 12542	   	198.79	ACR|4VULN|1ASPD|1BASICY|2CDMG	19AEMAG|2RCR|3479VULN|5ASPD|6BASICY|89CDMG|9BPWR|aMDPS
69	31532 43423	 * 	198.72	ACR|1BASARM|2AART|1ASPD|1AAC	1AEMAG|2RCR|3FEWX|4AAC|5ASPD|6DUR|79AART|8LWND|aBASARM
70	31532 43623	   	198.72	ACR|1BASARM|2AART|1ASPD|1AAC	1AEMAG|2RCR|3FEWX|4AAC|5ASPD|6DUR|79AART|8LHND|aBASARM
71	31532 63423	   	198.62	ACR|1BASARM|2AART|1ASPD|1AAC	1AEMAG|2RCR|3FEWX|4AAC|5ASPD|6LEGI|79AART|8LWND|aBASARM
72	31532 63623	   	198.62	ACR|1BASARM|2AART|1ASPD|1AAC	1AEMAG|2RCR|3FEWX|4AAC|5ASPD|6LEGI|79AART|8LHND|aBASARM
73	31162 34334	   	198.45	ACR|1BASARM|1ASPD|1BEXP|1AART	1AEMAG|2RCR|3VULN|4BEXP|5RMIN|6DUST|7BASARM|8RPLT|9ASPD|aAART
74	31623 21663	   	198.35	ACR|1BASARM|1ASPD|1BEXP|1AART	1AEMAG|2RCR|3DMSP|4AART|5BEXP|6ERES|7AEFBLL|8VULN|9ASPD|aBASARM
75	31626 51211	   	198.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|79LHND|8DMG|aFEWX
76	31626 51213	   	198.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|79LHND|8DMG|aRMIN
77	31626 52122	   	198.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7MLV|8LWND|9DMG|aLIT
78	31626 52123	   	198.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7MLV|8LWND|9DMG|aRPLT
79	31626 52222	   	198.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7MLV|8DUR|9DMG|aLIT
80	31626 52223	   	198.02	ACR|1BASARM|1ASPD|1DMG|1AART	1AEMAG|2RCR|3DMSP|4AART|5ASPD|6BASARM|7MLV|8DUR|9DMG|aRPLT
