0	Index      	 *	Score 	Summary	Detail	
49	15143 32531	   	212.15	ACR|2ASPD|2DMG|1CDMG|1BEXP|1AART	18TLV|2RCR|3BEXP|48ASPD|5CDMG|6FEWX|78DMG|8BPWR|9AART|aBELT
50	15143 32533	   	212.15	ACR|2ASPD|2DMG|1CDMG|1BEXP|1AART	18TLV|2RCR|3BEXP|48ASPD|5CDMG|6FEWX|78DMG|8BPWR|9AART|aDUR
51	15143 32512	   	212.05	ACR|2ASPD|2DMG|1AART|1BEXP|1CDMG	18TLV|2RCR|3BEXP|48ASPD|5CDMG|6FEWX|78DMG|8BPWR|9ERES|aAART
52	15343 22532	   	212.05	ACR|2ASPD|2DMG|1BEXP|1AART|1CDMG	18TLV|2RCR|3FEWX|48ASPD|5CDMG|6DUST|78DMG|8BPWR|9AART|aBEXP
53	15222 63343	 * 	211.20	ACR|3DMG|1BASARM|1BEXP	1TLV|2RCR|356DMG|48CGEN|7ZMB|9BASARM|aBEXP
54	15131 64484	 * 	210.85	ACR|3ASPD|1BASARM|1BEXP|1SELL	1TLV|2RCR|3BEXP|4LHND|5SELL|6MBVNT|789ASPD|aBASARM
55	15236 24331	   	210.79	ACR|1BASARM|2DMG|1BEXP|1AAC	17TLV|2RCR|37DMG|4ERES|5BEXP|67LHND|7BPWR|8BASARM|9AAC|aVULN
56	15222 11641	   	210.79	ACR|1BASARM|2DMG|1BEXP|1AAC	1TLV|2RCR|35DMG|4CGEN|6DUR|7AAC|8BEXP|9BASARM|aVULN
57	15222 21241	   	210.79	ACR|1BASARM|2DMG|1BEXP|1AAC	1TLV|2RCR|35DMG|4CGEN|6FEWX|7AAC|8BEXP|9BASARM|aVULN
58	45222 21241	   	210.79	ACR|1BASARM|2DMG|1BEXP|1AAC	1AME|2RCR|35DMG|4CGEN|6FEWX|7AAC|8BEXP|9BASARM|aVULN
59	12641 11115	 * 	210.72	ACR|2ASPD|2BEXP|2VULN|1BASICY|1AART	1TLV|26VULN|3RCR|46ASPD|5DMSP|6BPWR|7AART|8BASICY|9aBEXP
60	15232 11641	   	210.69	ACR|1BASARM|2DMG|1BEXP|1AAC	1TLV|2RCR|35DMG|4ERES|6DUR|7AAC|8BEXP|9BASARM|aVULN
61	15232 21241	   	210.69	ACR|1BASARM|2DMG|1BEXP|1AAC	1TLV|2RCR|35DMG|4ERES|6FEWX|7AAC|8BEXP|9BASARM|aVULN
62	45232 21241	   	210.69	ACR|1BASARM|2DMG|1BEXP|1AAC	1AME|2RCR|35DMG|4ERES|6FEWX|7AAC|8BEXP|9BASARM|aVULN
63	15236 24321	   	210.38	ACR|1BASARM|2DMG|2BEXP	17TLV|2RCR|37DMG|4ERES|5aBEXP|67LHND|7BPWR|8BASARM|9FEWX
64	15112 52351	   	210.28	ACR|1BASARM|2DMG|2BEXP	1TLV|2RCR|36BEXP|4FEWX|5CGEN|79DMG|8BASARM|aDUST
65	15332 52351	   	210.28	ACR|1BASARM|2DMG|2BEXP	1TLV|2RCR|3FEWX|46BEXP|5CGEN|79DMG|8BASARM|aDUST
66	15225 61312	 * 	210.06	ACR|1BASARM|3AART|1DMG|1AAC	18TLV|2RCR|3DMG|4CGEN|57aAART|6AAC|9BASARM
67	15235 61312	   	209.96	ACR|1BASARM|3AART|1DMG|1AAC	18TLV|2RCR|3DMG|4ERES|57aAART|6AAC|9BASARM
68	12641 11131	   	209.53	ACR|2ASPD|2VULN|1BASICY|1BEXP|1AART|1CDMG	1TLV|26VULN|3RCR|46ASPD|5DMSP|6BPWR|7AART|8BASICY|9CDMG|aBEXP
69	42641 11131	   	209.53	ACR|2ASPD|2VULN|1BASICY|1BEXP|1AART|1CDMG	1AME|26VULN|3RCR|46ASPD|5DMSP|6BPWR|7AART|8BASICY|9CDMG|aBEXP
