0	Index      	 *	Score 	Summary	Detail	
85	14231 14141	   	226.36	ACR|3ASPD|1BASARM|1DMG|1CDMG	169ASPD|2DMG|3RCR|4TLV|56LIT|6BPWR|7BASARM|8CDMG|aZMB
86	14231 14143	   	226.36	ACR|3ASPD|1BASARM|1DMG|1CDMG	169ASPD|2DMG|3RCR|4TLV|56LIT|6BPWR|7BASARM|8CDMG|aLHND
87	54262 31123	 * 	226.36	ACR|3DMG|1BASARM|2CDMG|1BEXP	1MLV|258DMG|3RCR|45CDMG|5BPWR|6LHND|7DUR|9BEXP|aBASARM
88	14215 31313	   	226.22	ACR|3VULN|2ASPD|1DMG|1AART|1CDMG	18ASPD|2DMG|3RCR|48aVULN|5TLV|6CDMG|78AEMAG|8BPWR|9AART
89	14221 23515	 * 	226.15	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	1ASPD|29DMG|3RCR|4AME|5LIT|69VULN|7DUST|89BEXP|9BPWR|aAART
90	14231 23515	   	226.15	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	1ASPD|29DMG|3RCR|4TLV|5LIT|69VULN|7DUST|89BEXP|9BPWR|aAART
91	14266 33213	   	225.74	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1ASPD|2DMG|3RCR|4CDMG|5LIT|6TLV|7BEXP|8BASARM|9VULN|aRCVC
92	54263 12311	   	225.46	ACR|3VULN|2ASPD|2DMG|1CDMG	18MLV|28DMG|3RCR|4CDMG|56ASPD|78aVULN|8BPWR|9RMIN
93	54263 12322	   	225.46	ACR|3VULN|2ASPD|2DMG|1CDMG	18MLV|28DMG|3RCR|4CDMG|56ASPD|789VULN|8BPWR|aDUR
94	54263 12321	   	225.36	ACR|3VULN|2ASPD|2DMG|1CDMG	18MLV|28DMG|3RCR|4CDMG|56ASPD|789VULN|8BPWR|aAME
95	52213 23351	 * 	225.31	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART	1MLV|2ASPD|3RCR|4VULN|5AART|6FEWX|7BASARM|89BEXP|aLWND
96	52213 23352	   	225.31	ACR|1BASARM|1VULN|2BEXP|1ASPD|1AART	1MLV|2ASPD|3RCR|4VULN|5AART|6FEWX|7BASARM|89BEXP|aRMIN
