0	Index      	 *	Score 	Summary	Detail	
79	13155 32116	   	186.12	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1ERES|2RCR|36DMG|46VULN|5RMIN|6BPWR|7DUR|8CDMG|9TLV|aAART
80	43144 41321	   	186.10	DCR|2AART|2DMG|2VULN|1ASPD	18DMG|27AART|38VULN|4MBVNT|58CGEN|6RCR|8BPWR|9ASPD|aBEXP
81	43144 41322	   	186.10	DCR|2AART|2DMG|2VULN|1ASPD	18DMG|27AART|38VULN|4MBVNT|58CGEN|6RCR|8BPWR|9ASPD|aLWND
82	43144 41324	   	186.10	DCR|2AART|2VULN|2DMG|1ASPD	18DMG|27AART|38VULN|4MBVNT|58CGEN|6RCR|8BPWR|9ASPD|aRMIN
83	43144 41344	   	186.10	DCR|2AART|2DMG|2VULN|1ASPD	18DMG|27AART|38VULN|4MBVNT|589CGEN|6RCR|8BPWR|aASPD
84	43144 42328	   	186.10	DCR|2AART|2DMG|2VULN|1ASPD	18DMG|2aAART|38VULN|4MBVNT|578CGEN|6RCR|8BPWR|9ASPD
85	43144 42384	   	186.10	DCR|2AART|2DMG|2VULN|1ASPD	18DMG|29AART|38VULN|4MBVNT|578CGEN|6RCR|8BPWR|aASPD
86	43122 13116	   	186.05	DCR|3VULN|1AART|1DMG|1FLTHEA|1ASPD	1DMG|2AART|349VULN|5FLTHEA|67RCVC|8RCR|aASPD
87	43144 41481	   	186.03	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1DMG|27AART|3aVULN|4MBVNT|5CGEN|6RCR|8CDMG|9ZMB
88	43144 41323	   	186.00	DCR|2AART|2DMG|2VULN|1ASPD	18DMG|27AART|38VULN|4MBVNT|58CGEN|6RCR|8BPWR|9ASPD|aDUST
89	23422 61362	   	185.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LIT|2RMIN|3AART|478VULN|5DUR|6RCR|9DMG|aCDMG
90	43121 14221	   	185.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2AART|34aVULN|5CDMG|6BEXP|7ZMB|8RCR|9MLV
91	43121 54221	   	185.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2AART|34aVULN|5CDMG|6LHND|7ZMB|8RCR|9MLV
92	43121 14231	   	185.43	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2AART|34aVULN|5CDMG|6BEXP|7ZMB|8RCR|9ERES
93	43121 54231	   	185.43	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2AART|34aVULN|5CDMG|6LHND|7ZMB|8RCR|9ERES
94	43116 63211	   	185.41	DCR|3VULN|2DMG|1AART|1DUR	15DMG|2AART|37aVULN|4CGEN|6DUR|8RCR|9FEWX
95	43122 33462	 * 	185.38	DCR|2VULN|2DMG|1AART|2FLTHEA	1aDMG|2AART|34VULN|5aFLTHEA|6CGEN|7RCR|8LIT|9aMLV|aBPWR
96	43121 25342	   	185.31	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	18DMG|2AART|34VULN|5CDMG|6FLTHEA|7LHND|9FEWX|aRCR
97	13153 22214	   	185.27	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1ERES|2RCR|39DMG|48VULN|5LHND|6DUR|7AART|aZMB
98	13164 22214	   	185.27	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1ERES|2RCR|39DMG|4LHND|58VULN|6DUR|7AART|aZMB
99	43151 31211	   	185.16	DCR|2AART|2VULN|2DMG|1ZMB	19DMG|27AART|3aVULN|4DUST|5BEXP|6ZMB|8RCR
100	43153 51211	   	185.16	DCR|2AART|2VULN|2DMG|1ZMB	19DMG|27AART|3aVULN|4DUST|5FEWX|6ZMB|8RCR
101	13113 44215	 * 	184.99	ACR|3DMG|2VULN|2CDMG|1DUR	1ERES|2RCR|39aDMG|4CANSTR|5BEXP|69VULN|7DUR|89CDMG|9BPWR
102	13114 42215	   	184.99	ACR|3DMG|2VULN|2CDMG|1DUR	1ERES|2RCR|39aDMG|4CANSTR|5DUR|69VULN|7BEXP|89CDMG|9BPWR
103	33331 35221	   	184.76	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|2DUR	14DUR|2AART|34ASPD|4BPWR|5CDMG|6DMG|7aVULN|8RCR|9MLV
104	33331 35243	   	184.76	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|2DUR	14DUR|2AART|34ASPD|4BPWR|5CDMG|6DMG|7aVULN|8RCR|9RPLT
