0	Index      	 *	Score 	Summary	Detail	
58	62222 16611	   	176.80	ACR|5VULN|1AART|1ASPD	1BEXP|2689aVULN|3AART|4RCR|5ASPD|7LEGI
59	62222 52611	   	176.80	ACR|5VULN|1AART|1ASPD	1BEXP|2789aVULN|3AART|4RCR|5ASPD|6DUST
60	62222 11561	 * 	176.75	ACR|3VULN|1AART|2CDMG|2ASPD	1aBEXP|267VULN|3AART|4RCR|5aASPD|8aCDMG|9RMIN|aBPWR
61	62222 31663	 * 	176.71	ACR|3AART|2VULN|1DMG|2ASPD	1BEXP|27VULN|39aAART|4RCR|56ASPD|8DMG
62	62222 11162	   	176.70	ACR|3VULN|3AART|1ZMB|1ASPD	1BEXP|267VULN|39aAART|4RCR|5ASPD|8ZMB
63	62222 11251	   	176.65	ACR|3VULN|1AART|1DMG|2ASPD	1BEXP|267VULN|3AART|4RCR|59ASPD|8RMIN|aDMG
64	62222 11652	   	176.65	ACR|3VULN|1AART|1DMG|2ASPD	1BEXP|267VULN|3AART|4RCR|59ASPD|8DMG|aLWND
65	62222 43611	   	176.31	ACR|4VULN|1AART|2DUR|1ASPD	1BEXP|289aVULN|3AART|4RCR|5ASPD|67DUR
66	62222 11164	 * 	176.28	ACR|3VULN|2AART|2ZMB|1ASPD	1BEXP|267VULN|39AART|4RCR|5ASPD|8aZMB
67	32223 53462	 * 	176.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|29VULN|3AART|4ZMB|5FEWX|6BELT|7DMG|8RCR|aCDMG
68	32221 24614	 * 	176.04	DCR|3VULN|3ZMB|1AART|2DUR	16DUR|289VULN|3AART|457ZMB|aRCR
69	32211 53551	 * 	175.96	DCR|2VULN|2DMG|1AART|3DUR	18aDUR|28VULN|3AART|4BEXP|5LWND|6LEGI|78DMG|8BPWR|9RCR
70	32263 34488	   	175.86	DCR|2VULN|2DMG|1AART|3DUR	18aDUR|2aVULN|3AART|4MBVNT|5TLV|6LHND|7aDMG|9RCR|aBPWR
71	32224 52341	   	175.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|28VULN|3AART|4ZMB|5CGEN|6BELT|79DMG|aRCR
72	32231 52341	   	175.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|28VULN|3AART|4CGEN|5ZMB|6BELT|79DMG|aRCR
73	32226 52341	   	175.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|28VULN|3AART|4ZMB|5NUKE|6BELT|79DMG|aRCR
74	32251 52341	   	175.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|28VULN|3AART|4ERES|5ZMB|6BELT|79DMG|aRCR
75	31264 71644	   	175.21	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	18DUR|2LWND|3AART|4MBVNT|58ASPD|6RCR|78VULN|8BPWR|9ERES|aDMG
76	62222 11314	   	175.08	ACR|4VULN|1AART|1ZMB|1ASPD	1BEXP|2679VULN|3AART|4RCR|5ASPD|8LWND|aZMB
77	62222 11146	   	174.83	ACR|4VULN|1AART|1ZMB|1ASPD|1SELL	1BEXP|267aVULN|3AART|4RCR|5ASPD|8ZMB|9SELL
78	32131 52541	   	174.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|28VULN|3MLV|4AART|5ZMB|6BELT|79DMG|aRCR
79	32262 73632	   	174.72	DCR|3VULN|1AART|3DUR|2ASPD	178DUR|289VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|aLIT
80	32262 73633	   	174.72	DCR|3VULN|1AART|3DUR|2ASPD	178DUR|289VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|aRMIN
81	32262 72824	   	174.65	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1DUR|27VULN|3aAART|4MBVNT|5ASPD|6RCR|8DMG|9RMIN
82	32262 72843	   	174.65	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1DUR|27VULN|39AART|4MBVNT|5ASPD|6RCR|8DMG|aRPLT
83	32262 72844	   	174.65	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1DUR|27VULN|39AART|4MBVNT|5ASPD|6RCR|8DMG|aFEWX
84	32262 73631	   	174.62	DCR|3VULN|1AART|3DUR|2ASPD	178DUR|289VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|aERES
85	32262 72814	   	174.55	DCR|2AART|2VULN|1DMG|1DUR|1ASPD	1DUR|27VULN|3aAART|4MBVNT|5ASPD|6RCR|8DMG|9ERES
86	32262 72842	   	174.55	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1DUR|27VULN|39AART|4MBVNT|5ASPD|6RCR|8DMG|aDUST
87	62223 11113	   	174.53	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1BEXP|267VULN|3AART|4RCR|5TLV|8ZMB|9DUR|aCDMG
88	62224 11113	   	174.53	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1BEXP|267VULN|3AART|4RCR|5ERES|8ZMB|9DUR|aCDMG
89	32263 34738	   	174.45	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|2aVULN|3AART|4MBVNT|5TLV|6LHND|7aDMG|8RCR|9DMSP|aBPWR
90	32263 44738	   	174.45	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|2aVULN|3AART|4MBVNT|5TLV|6LWND|7aDMG|8RCR|9DMSP|aBPWR
91	62223 11121	   	174.00	ACR|3VULN|1AART|1DMG|1ZMB	1BEXP|267VULN|3AART|4RCR|5TLV|8ZMB|9RCVC|aDMG
92	62224 11121	   	174.00	ACR|3VULN|1AART|1DMG|1ZMB	1BEXP|267VULN|3AART|4RCR|5ERES|8ZMB|9RCVC|aDMG
93	32241 62314	 * 	173.96	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|29VULN|3AART|4RPLT|56ASPD|7DMG|8CDMG|aRCR
94	62222 11155	   	173.90	ACR|3VULN|1AART|3ASPD|1ZMB	1BEXP|267VULN|3AART|4RCR|59aASPD|8ZMB
95	62222 31152	   	173.90	ACR|3VULN|1AART|3ASPD|1ZMB	1BEXP|27aVULN|3AART|4RCR|569ASPD|8ZMB
96	32333 11235	 * 	173.67	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2VULN|3LIT|4CDMG|569DMG|7AART|8MLV|aRCR
97	32333 11435	   	173.67	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2VULN|3LIT|4CDMG|569DMG|7AART|8CGEN|aRCR
98	31261 41615	   	173.66	DCR|2VULN|2DMG|1AART|3DUR	158DUR|25LWND|3AART|4MBVNT|58BPWR|68DMG|78VULN|9RPLT|aRCR
99	32333 12135	   	173.07	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2VULN|3LIT|4CDMG|569DMG|7CGEN|8AART|aRCR
100	32333 16135	   	173.07	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2VULN|3LIT|4CDMG|569DMG|7MLV|8AART|aRCR
101	32262 72174	   	172.90	DCR|4VULN|1AART|1ASPD|1DUR	1DUR|279aVULN|3AART|4MBVNT|5ASPD|6RCR|8LIT
102	32262 72712	   	172.90	DCR|4VULN|1AART|1ASPD|1DUR	1DUR|2789VULN|3AART|4MBVNT|5ASPD|6RCR|aCGEN
103	32262 72713	   	172.80	DCR|4VULN|1AART|1DUR|1ASPD	1DUR|2789VULN|3AART|4MBVNT|5ASPD|6RCR|aERES
104	32262 72714	   	172.80	DCR|4VULN|1AART|1ASPD|1DUR	1DUR|2789VULN|3AART|4MBVNT|5ASPD|6RCR|aDUST
105	32262 73614	 * 	172.71	DCR|2VULN|1AART|3DUR|2ASPD|1CDMG	178DUR|28VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|9RPLT|aCDMG
106	32262 73623	   	172.71	DCR|2VULN|1AART|3DUR|2ASPD|1CDMG	178DUR|28VULN|3AART|4MBVNT|58ASPD|6RCR|8BPWR|9MLV|aCDMG
107	32262 72722	   	172.44	DCR|3VULN|1AART|1CDMG|1DUR|1ASPD	1DUR|278VULN|3AART|4MBVNT|5ASPD|6RCR|9MGNSTR|aCDMG
108	62222 21653	   	172.44	ACR|2AART|2VULN|1DMG|2ASPD	1BEXP|27VULN|3aAART|4RCR|59ASPD|6RCVC|8DMG
109	62222 31261	   	172.44	ACR|2AART|2VULN|1DMG|2ASPD	1BEXP|27VULN|39AART|4RCR|56ASPD|8RMIN|aDMG
110	62222 31623	   	172.44	ACR|2AART|2VULN|1DMG|2ASPD	1BEXP|27VULN|3aAART|4RCR|56ASPD|8DMG|9RCVC
111	62222 31662	   	172.44	ACR|2AART|2VULN|1DMG|2ASPD	1BEXP|27VULN|39AART|4RCR|56ASPD|8DMG|aLWND
112	62222 11122	   	172.43	ACR|3VULN|2AART|1ZMB|1ASPD	1BEXP|267VULN|3aAART|4RCR|5ASPD|8ZMB|9RCVC
113	62222 11163	   	172.43	ACR|3VULN|2AART|1ZMB|1ASPD	1BEXP|267VULN|39AART|4RCR|5ASPD|8ZMB|aFEWX
114	62222 11166	   	172.43	ACR|3VULN|2AART|1ZMB|1ASPD	1BEXP|267VULN|39AART|4RCR|5ASPD|8ZMB|aLWND
115	62222 11264	   	172.43	ACR|3VULN|2AART|1ZMB|1ASPD	1BEXP|267VULN|39AART|4RCR|5ASPD|8RMIN|aZMB
116	61223 32425	   	172.43	ACR|3VULN|2AART|1ZMB|1DUR	1BEXP|2LWND|35AART|4RCR|6DUR|78aVULN|9ZMB
117	32211 53552	   	172.15	DCR|2VULN|2DMG|1AART|2DUR	18DUR|28VULN|3AART|4aBEXP|5LWND|6LEGI|78DMG|8BPWR|9RCR
118	32211 53553	   	172.15	DCR|2VULN|2DMG|1AART|2DUR	18DUR|28VULN|3AART|4BEXP|5LWND|6LEGI|78DMG|8BPWR|9RCR|aMLV
119	32263 34388	   	172.05	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|2aVULN|3AART|4MBVNT|5TLV|6LHND|7aDMG|8RCVC|9RCR|aBPWR
120	32263 44188	   	172.05	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|2aVULN|3AART|4MBVNT|5TLV|68LWND|7aDMG|9RCR|aBPWR
121	31612 14622	   	172.04	DCR|3VULN|1AART|1CDMG|2DUR|1ASPD	1aDUR|2LWND|36aVULN|4ASPD|5AART|7CDMG|8RCR|9aLHND|aBPWR
122	62222 21151	   	172.00	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1BEXP|27VULN|3AART|4RCR|59ASPD|6RCVC|8ZMB|aDMG
123	62222 31121	   	172.00	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1BEXP|27VULN|3AART|4RCR|56ASPD|8ZMB|9RCVC|aDMG
124	62222 31624	   	172.00	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1BEXP|27VULN|3AART|4RCR|56ASPD|8DMG|9RCVC|aZMB
125	62222 12134	   	171.97	ACR|2VULN|2DMG|1AART|1ASPD	1BEXP|26VULN|3AART|4RCR|5ASPD|7FEWX|8LIT|9aDMG
126	61225 12134	   	171.97	ACR|2VULN|2DMG|1AART|1ASPD	1BEXP|2LWND|3AART|4RCR|5ASPD|67VULN|8LIT|9aDMG
127	62221 62134	   	171.97	ACR|2VULN|2DMG|1AART|1ASPD	1BEXP|27VULN|3AART|4RCR|5LWND|6ASPD|8LIT|9aDMG
128	62222 21621	   	171.97	ACR|2VULN|2DMG|1AART|1ASPD	1BEXP|27VULN|3AART|4RCR|5ASPD|69RCVC|8aDMG
129	62222 16134	   	171.87	ACR|2VULN|2DMG|1AART|1ASPD	1BEXP|26VULN|3AART|4RCR|5ASPD|7LEGI|8LIT|9aDMG
130	62222 52134	   	171.87	ACR|2VULN|2DMG|1AART|1ASPD	1BEXP|27VULN|3AART|4RCR|5ASPD|6DUST|8LIT|9aDMG
131	31264 12822	   	171.66	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DUR|2LWND|3AART|4MBVNT|5ASPD|67aVULN|8DMG|9RCR
132	32261 72822	   	171.66	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DUR|27aVULN|3AART|4MBVNT|5LWND|6ASPD|8DMG|9RCR
