0	Index      	 *	Score 	Summary	Detail	
54	31144 32312	 * 	173.22	DCR|3DMG|1AART|2CDMG|1ZMB|1DUR	1DUR|29CDMG|3AART|4ZMB|5DLOT|678DMG|aRCR
55	41148 31413	   	172.92	DCR|3VULN|2DMG|1CDMG	1RCVC|2MBVNT|35aVULN|4aLHND|6RCR|7ERES|8CDMG|9aDMG|aBPWR
56	41148 37413	   	172.92	DCR|3VULN|2DMG|1CDMG	1RCVC|2MBVNT|35aVULN|4aLHND|6RCR|7TLV|8CDMG|9aDMG|aBPWR
57	23251 63111	   	172.85	ACR|3VULN|2AART|1DMG	15CGEN|258VULN|3RPLT|4RCR|5BPWR|67AART|9DMG|aFEWX
58	23251 63112	   	172.85	ACR|3VULN|2AART|1DMG	15CGEN|258VULN|3RPLT|4RCR|5BPWR|67AART|9DMG|aLWND
59	23251 63113	   	172.85	ACR|3VULN|2AART|1DMG	15aCGEN|258VULN|3RPLT|4RCR|5BPWR|67AART|9DMG
60	23251 63114	   	172.85	ACR|3VULN|2AART|1DMG	15CGEN|258VULN|3RPLT|4RCR|5BPWR|67AART|9DMG|aRMIN
61	11551 13323	 * 	172.75	DCR|2VULN|2DMG|2ZMB|1CDMG|1ASPD	1ERES|2aLHND|36DMG|4ASPD|5aVULN|7RCR|8CDMG|9aZMB|aBPWR
62	13553 22251	   	172.53	DCR|3DMG|1AART|1VULN|2ASPD	1ERES|2VULN|35aDMG|48ASPD|6CGEN|7RCR|9AART
63	13635 31216	   	172.33	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	147ERES|29VULN|3ASPD|59DUR|6RCR|89DMG|9BPWR|aCDMG
64	31144 32332	   	172.20	DCR|3DMG|1AART|1CDMG|2DUR|1ZMB	19DUR|2CDMG|3AART|4ZMB|5DLOT|678DMG|aRCR
65	31263 16315	   	172.13	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1DUR|27CDMG|35LWND|4VULN|6RCR|89DMG|aAART
66	31121 34536	   	172.12	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	17DUR|27CDMG|3AART|4BEXP|5CGEN|67VULN|7BPWR|8TLV|9DMG|aRCR
67	13522 13632	   	171.94	DCR|3VULN|2DMG|2DUR|1ASPD	1ERES|28aVULN|36DMG|49DUR|5ASPD|7RCR
68	31143 33414	 * 	171.59	DCR|2AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1DUR|28CDMG|37AART|4ZMB|5FEWX|6VULN|9DMG|aRCR
69	31163 33414	   	171.59	DCR|2AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1DUR|28CDMG|37AART|4FEWX|5VULN|6ZMB|9DMG|aRCR
70	31113 52114	   	171.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|3AART|47LHND|58VULN|6ZMB|9DMG|aRCR
71	31123 31114	   	171.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|3AART|47BEXP|58VULN|6ZMB|9DMG|aRCR
72	46123 22361	   	171.26	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|25VULN|3BASICY|4DUR|68DMG|7RCR|9BEXP|aAART
73	31324 15315	   	171.11	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	15DUR|2CDMG|3VULN|47BEXP|6RCR|89DMG|aAART
74	31561 11315	   	171.11	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	13DUR|2CDMG|4VULN|57FEWX|6RCR|89DMG|aAART
75	23525 13315	   	171.01	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1CGEN|2VULN|39DMG|47DUR|5CDMG|6RCR|8NUKE|aAART
76	13525 13315	   	170.91	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1ERES|2VULN|39DMG|47DUR|5CDMG|6RCR|8NUKE|aAART
77	23251 63421	   	170.84	ACR|2VULN|2AART|1DMG|1CDMG	159CGEN|25VULN|3RPLT|4RCR|5BPWR|67AART|8CDMG|aDMG
78	23525 13235	   	170.84	DCR|1AART|1VULN|1DMG|2CDMG|2DUR|1ZMB	1CGEN|2VULN|3DMG|47DUR|58CDMG|6RCR|9ZMB|aAART
79	23633 62422	   	170.81	DCR|3VULN|2DMG|1ZMB|1ASPD	1CGEN|26aVULN|3ASPD|4ERES|56DMG|6BPWR|7RCR|8DMSP|9ZMB
80	23251 63353	   	170.74	ACR|2VULN|2AART|1DMG|1CDMG	15CGEN|25VULN|3RPLT|4RCR|5BPWR|67AART|8TLV|9CDMG|aDMG
81	13525 13235	   	170.74	DCR|1AART|1VULN|1DMG|2CDMG|2DUR|1ZMB	1ERES|2VULN|3DMG|47DUR|58CDMG|6RCR|9ZMB|aAART
82	23251 63126	   	170.73	ACR|3VULN|2AART|1ZMB|1ASPD	15CGEN|258VULN|3RPLT|4RCR|5BPWR|67AART|9ASPD|aZMB
83	34222 41324	 * 	170.66	DCR|2VULN|2DMG|1AART|3DUR	124DUR|39LWND|59VULN|69DMG|7BELT|8AART|9BPWR|aRCR
84	31143 33214	   	170.57	DCR|2AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	18DUR|2CDMG|37AART|4ZMB|5FEWX|6VULN|9DMG|aRCR
