0	Index      	Bounty	 *	Score 	Summary	Detail	
68	42221 22813	2	   	254.87	DCR|3VULN|3DUR|1TLV|1AART	1TLV|2AART|358DUR|45aVULN|5BPWR|6LHND|7MBVNT|9RCR
69	42221 32813	2	   	254.87	DCR|3VULN|3DUR|1TLV|1AART	1TLV|2AART|358DUR|45aVULN|5BPWR|6LWND|7MBVNT|9RCR
70	42621 22813	3	   	254.87	DCR|3VULN|3DUR|1TLV|1AART	1TLV|2AART|358DUR|45aVULN|5BPWR|6LHND|7MBVNT|9RCR
71	42621 32813	3	   	254.87	DCR|3VULN|3DUR|1TLV|1AART	1TLV|2AART|358DUR|45aVULN|5BPWR|6LWND|7MBVNT|9RCR
72	42221 13315	2	   	254.77	DCR|3VULN|3DUR|1TLV|1AART	1TLV|2AART|357DUR|459VULN|5BPWR|68ERES|aRCR
73	42621 13315	3	   	254.77	DCR|3VULN|3DUR|1TLV|1AART	1TLV|2AART|357DUR|459VULN|5BPWR|68ERES|aRCR
74	24343 14231	2	   	254.72	DCR|3VULN|3LIT|1DMG|1TLV|1CDMG	136LIT|2DMG|4CDMG|579VULN|8TLV|aRCR
75	24331 23214	6	   	254.17	DCR|3VULN|2DMG|1CDMG|1AART	1LIT|23DMG|4CDMG|5RPLT|6RCR|789VULN|aAART
76	26312 35243	6	   	253.75	DCR|3VULN|2DMG|1TLV|2LIT	1aLIT|2TLV|3aDMG|4CGEN|5MBVNT|6ZMB|7RCR|89aVULN|aBPWR
77	26322 35243	6	   	253.75	DCR|3VULN|2DMG|1TLV|2LIT	1aLIT|2TLV|3aDMG|4MLV|5MBVNT|6ZMB|7RCR|89aVULN|aBPWR
78	26332 35243	6	   	253.65	DCR|3VULN|2DMG|1TLV|2LIT	1aLIT|2TLV|3aDMG|4ERES|5MBVNT|6ZMB|7RCR|89aVULN|aBPWR
79	24432 25111	8	   	253.55	DCR|3VULN|2DMG|1DUR|2LIT	18LIT|24DMG|3DUR|5MBVNT|69aVULN|7RCR
80	24432 25211	7	   	253.55	DCR|3VULN|2DMG|1DUR|2LIT	18LIT|24DMG|3DUR|5MBVNT|69aVULN|7RCR
81	24351 15111	8	   	253.55	DCR|3VULN|2DMG|1DUR|2LIT	18LIT|23DMG|4MBVNT|59aVULN|6DUR|7RCR
82	24351 15211	7	   	253.55	DCR|3VULN|2DMG|1DUR|2LIT	18LIT|23DMG|4MBVNT|59aVULN|6DUR|7RCR
83	21436 11231	7	   	253.51	DCR|3VULN|3DUR|1TLV	1LIT|2CGEN|356DUR|478VULN|9RCR|aTLV
84	21556 11231	7	   	253.51	DCR|3VULN|3DUR|1TLV	1LIT|2CGEN|378VULN|456DUR|9RCR|aTLV
85	24531 23211	8	   	253.50	DCR|4VULN|2DMG	1LIT|24DMG|359aVULN|6LWND|7LHND|8RCR
86	22556 11231	7	   	253.41	DCR|3VULN|3DUR|1TLV	1LIT|2ERES|378VULN|456DUR|9RCR|aTLV
87	24132 25411	8	   	253.40	DCR|4VULN|2DMG	1LIT|24DMG|3BEXP|5MBVNT|689aVULN|7RCR
88	24132 25441	9	   	253.40	DCR|4VULN|2DMG	1LIT|24DMG|3BEXP|5MBVNT|689aVULN|7RCR
89	24132 25446	10	   	253.40	DCR|4VULN|2DMG	1LIT|24DMG|3BEXP|5MBVNT|689aVULN|7RCR
90	24351 25411	8	   	253.40	DCR|4VULN|2DMG	1LIT|23DMG|4MBVNT|589aVULN|6FEWX|7RCR
91	24351 25441	9	   	253.40	DCR|4VULN|2DMG	1LIT|23DMG|4MBVNT|589aVULN|6FEWX|7RCR
92	24531 33211	8	   	253.40	DCR|4VULN|2DMG	1LIT|24DMG|359aVULN|6DUST|7LHND|8RCR
93	24531 42211	6	   	253.40	DCR|4VULN|2DMG	1LIT|24DMG|359aVULN|6CGEN|7RCR|8DUST
94	32228 41674	9	   	253.36	DCR|2VULN|3DMG|1TLV|1DUR|1AART	1aERES|2AART|3MBVNT|45aDMG|6DUR|7RCR|8TLV|9aVULN|aBPWR
95	32228 41684	8	   	253.36	DCR|2VULN|3DMG|1TLV|1DUR|1AART	1aERES|2AART|3MBVNT|45aDMG|6DUR|7RCR|8TLV|9aVULN|aBPWR
96	24211 12615	4	   	253.26	DCR|3VULN|3DMG|2LIT	1aLIT|25aDMG|345CGEN|5aBPWR|6DUST|7RCR|89aVULN
97	24222 12615	5	   	253.26	DCR|3VULN|3DMG|2LIT	1aLIT|24aDMG|345CGEN|4aBPWR|6DUST|7RCR|89aVULN
98	24531 16113	6	   	253.15	DCR|4VULN|2DMG|1SELL	1LIT|24DMG|358aVULN|6SELL|7RCR|9ERES
99	24355 23244	7	   	253.06	DCR|3VULN|3DMG|2LIT	19LIT|239DMG|4MBVNT|5ERES|6RCR|7LHND|89aVULN|9BPWR
100	24355 24244	6	   	253.06	DCR|3VULN|3DMG|2LIT	19LIT|239DMG|4MBVNT|5ERES|6RCR|7LHND|89aVULN|9BPWR
101	24336 16222	3	   	253.06	DCR|3VULN|3DMG|2LIT	14LIT|234DMG|4BPWR|56aVULN|7TBNT|8RCR|9RCVC
102	24325 13242	4	   	252.96	DCR|3VULN|3DMG|2LIT	14LIT|237DMG|5BBNT|69aVULN|8RCR
103	24326 13242	4	   	252.96	DCR|3VULN|3DMG|2LIT	14LIT|237DMG|59aVULN|6BBNT|8RCR
104	24351 12118	4	   	252.96	DCR|3VULN|3DMG|2LIT	17LIT|235DMG|4MBVNT|69aVULN|8RCR
105	24351 13242	3	   	252.96	DCR|3VULN|3DMG|2LIT	15LIT|237DMG|4TBNT|69aVULN|8RCR
106	26533 51223	8	   	252.52	DCR|3VULN|1DMG|1TLV|1DUR|2LIT	1aLIT|2TLV|36aVULN|4DMG|5DUR|7RMIN|8RCR|9aMLV|aBPWR
107	26533 51223	9	   	252.52	DCR|3VULN|1DMG|1TLV|1DUR|2LIT	1aLIT|2TLV|36aVULN|4DMG|5DUR|7RMIN|8RCR|9aCGEN|aBPWR
108	12133 66161	6	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|24DMG|3CDMG|567VULN|8RCR|9DUR|aFEWX
109	12133 66161	5	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|24DMG|3CDMG|567VULN|8RCR|9DUR|aFEWX
110	12133 66163	6	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|24DMG|3CDMG|567VULN|8RCR|9DUR|aMLV
111	12133 66163	5	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|24DMG|3CDMG|567VULN|8RCR|9DUR|aMLV
112	12461 32134	5	   	252.38	DCR|3VULN|2TLV|1DMG|1DUR|1ASPD	1aLHND|2DMG|39aVULN|4DUR|5ASPD|6RCR|7aTLV|8RMIN|aBPWR
113	12133 66162	6	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|24DMG|3CDMG|567VULN|8RCR|9DUR|aERES
114	12133 66162	5	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|24DMG|3CDMG|567VULN|8RCR|9DUR|aERES
115	53531 25222	1	   	252.35	DCR|3VULN|2DMG|1TLV|1CDMG	1CGEN|256VULN|3ERES|48DMG|7CDMG|9TLV|aRCR
116	12443 33234	4	   	252.25	DCR|3VULN|2DUR|1DMG|1TLV	1aLHND|2DMG|39aVULN|4TLV|57DUR|6RCR|8aFEWX|aBPWR
117	12462 33234	5	   	252.25	DCR|3VULN|2DUR|1DMG|1TLV	1aLHND|2DMG|39aVULN|47DUR|5TLV|6RCR|8aFEWX|aBPWR
118	32221 33336	2	   	252.17	DCR|3VULN|3DUR|1CDMG|1AART	1ERES|2AART|358DUR|459VULN|5BPWR|6CDMG|7DUST|aRCR
119	32621 33336	3	   	252.17	DCR|3VULN|3DUR|1CDMG|1AART	1ERES|2AART|358DUR|459VULN|5BPWR|6CDMG|7DUST|aRCR
120	25633 51211	8	   	252.16	DCR|4VULN|1DMG|1DUR	1LIT|269aVULN|3MLV|4DMG|5DUR|7RMIN|8RCR
121	53531 25133	1	   	252.16	DCR|4VULN|1DMG|1CDMG|1ASPD	1CGEN|2569VULN|3ERES|4DMG|7CDMG|8RCR|aASPD
122	12452 33334	5	   	252.15	DCR|3VULN|2DUR|1DMG|1TLV	18aLHND|2DMG|39aVULN|4DUST|5TLV|6RCR|7aDUR|aBPWR
