0	Index      	Bounty	 *	Score 	Summary	Detail	
102	13211 43631	4	   	259.04	DCR|4VULN|2DUR|1ASPD|1AART	15DUR|2FEWX|347aVULN|6RCR|8AART|9ASPD
103	13214 43631	5	   	259.04	DCR|4VULN|2DUR|1ASPD|1AART	15DUR|2FEWX|347aVULN|6RCR|8AART|9ASPD
104	13211 41315	4	 * 	258.68	DCR|3VULN|3DUR|2ASPD	15aDUR|2aFEWX|348VULN|6RCR|7LIT|9aASPD|aBPWR
105	13214 41315	5	   	258.68	DCR|3VULN|3DUR|2ASPD	15aDUR|2aFEWX|348VULN|6RCR|7LIT|9aASPD|aBPWR
106	31211 52313	4	   	258.44	DCR|4VULN|2DUR|1DMG	1LEGI|2FEWX|346aVULN|56DUR|6BPWR|7DMG|8RCVC|9RCR
107	31214 52313	5	   	258.44	DCR|4VULN|2DUR|1DMG	1LEGI|2FEWX|346aVULN|56DUR|6BPWR|7DMG|8RCVC|9RCR
108	31266 52313	4	   	258.44	DCR|4VULN|2DUR|1DMG	1LEGI|2FEWX|356aVULN|46DUR|6BPWR|7DMG|8RCVC|9RCR
109	31266 52313	3	   	258.44	DCR|4VULN|2DUR|1DMG	1LEGI|2FEWX|356aVULN|46DUR|6BPWR|7DMG|8RCVC|9RCR
110	13216 11215	8	   	258.44	DCR|4VULN|2DUR|1DMG	1aDUR|2FEWX|3468VULN|5DMG|7BEXP|9RCR
111	13216 12215	8	   	258.44	DCR|4VULN|2DUR|1DMG	1aDUR|2FEWX|3468VULN|5DMG|7LHND|9RCR
112	13216 16215	8	   	258.44	DCR|4VULN|2DUR|1DMG	1aDUR|2FEWX|3468VULN|5DMG|7LWND|9RCR
113	16216 11215	8	   	258.34	DCR|4VULN|2DUR|1DMG	1aDUR|2DUST|3468VULN|5DMG|7BEXP|9RCR
114	16216 12215	8	   	258.34	DCR|4VULN|2DUR|1DMG	1aDUR|2DUST|3468VULN|5DMG|7LHND|9RCR
115	23211 52313	4	   	258.34	DCR|4VULN|2DUR|1DMG	1DUST|2FEWX|346aVULN|58DUR|7DMG|9RCR
116	23214 52313	5	   	258.34	DCR|4VULN|2DUR|1DMG	1DUST|2FEWX|346aVULN|58DUR|7DMG|9RCR
117	31211 53413	4	   	257.91	DCR|5VULN|2DUR	1LEGI|2FEWX|3467aVULN|56DUR|6BPWR|8ZMB|9RCR
118	31214 53413	5	   	257.91	DCR|5VULN|2DUR	1LEGI|2FEWX|3467aVULN|56DUR|6BPWR|8ZMB|9RCR
119	11214 43513	5	   	257.81	DCR|5VULN|2DUR	15DUR|2LHND|3479aVULN|6RCR|8BBNT
120	13211 43513	4	   	257.81	DCR|5VULN|2DUR	15DUR|2FEWX|3479aVULN|6RCR|8BBNT
121	13214 43513	5	   	257.81	DCR|5VULN|2DUR	15DUR|2FEWX|3479aVULN|6RCR|8BBNT
122	16211 43513	4	   	257.71	DCR|5VULN|2DUR	15DUR|2DUST|3479aVULN|6RCR|8BBNT
123	12212 14122	6	   	257.55	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	17DUR|2RPLT|39VULN|47ASPD|5AART|67DMG|7BPWR|8RCR|aCGEN
124	12212 14125	6	   	257.55	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	17DUR|2RPLT|39VULN|47ASPD|5AART|67DMG|7BPWR|8RCR|aLWND
125	13216 11214	8	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2FEWX|3468VULN|5DMG|7BEXP|9RCR|aCDMG
126	13216 12133	9	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2FEWX|346aVULN|5DMG|7LHND|8CDMG|9RCR
127	13216 12214	8	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2FEWX|3468VULN|5DMG|7LHND|9RCR|aCDMG
128	13216 16214	8	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2FEWX|3468VULN|5DMG|7LWND|9RCR|aCDMG
129	12212 14124	6	   	257.45	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	17DUR|2RPLT|39VULN|47ASPD|5AART|67DMG|7BPWR|8RCR|aERES
130	12211 42111	6	   	257.41	DCR|2VULN|2DMG|3ASPD|2DUR	1aDUR|2RPLT|36VULN|45aASPD|7aDMG|8RCVC|9RCR|aBPWR
131	12211 42511	6	   	257.41	DCR|2VULN|2DMG|3ASPD|2DUR	1aDUR|2RPLT|36VULN|45aASPD|7aDMG|8DMSP|9RCR|aBPWR
132	12211 43231	7	   	257.41	DCR|2VULN|2DMG|3ASPD|2DUR	1aDUR|2RPLT|36VULN|45aASPD|7RCVC|8RCR|9aDMG|aBPWR
