0	Index      	Bounty	 *	Score 	Summary	Detail	
61	63331 77343	6	   	241.64	DCR|3VULN|2DUR|1TLV|1NUKE|1AART	18ZMB|2AART|3MBVNT|4NUKE|58DUR|6RCR|78aVULN|8BPWR|9TLV
62	11652 26332	1	   	241.46	ACR|4VULN|1DMG|1TLV|1DUR|1CDMG	1RCR|2TLV|3579VULN|4CGEN|6CDMG|8DMG|aDUR
63	14133 46332	1	   	241.46	ACR|4VULN|1DMG|1TLV|1DUR|1CDMG	1RCR|2379VULN|4CGEN|5CDMG|6TLV|8DMG|aDUR
64	11653 33631	2	   	241.45	ACR|3VULN|3DUR|3ASPD|1CDMG	1RCR|29aASPD|39aVULN|4CGEN|5RPLT|6CDMG|7DMSP|89aDUR|9aBPWR
65	23232 33212	5	   	241.37	DCR|3VULN|3LIT|1DMG|1TLV	137aLHND|257LIT|457VULN|57BPWR|6RCR|8TLV|9DMG
66	23232 33213	5	   	241.37	DCR|3VULN|3LIT|1DMG|1TLV	137LHND|257LIT|457VULN|57BPWR|6RCR|8TLV|9DMG|aBEXP
67	23232 33214	5	   	241.37	DCR|3VULN|3LIT|1DMG|1TLV	137LHND|257LIT|457VULN|57BPWR|6RCR|8TLV|9DMG|aZMB
68	23232 33215	5	   	241.37	DCR|3VULN|3LIT|1DMG|1TLV	137LHND|257LIT|457VULN|57BPWR|6RCR|8TLV|9DMG|aFEWX
69	23232 33216	5	   	241.37	DCR|3VULN|3LIT|1DMG|1TLV	137LHND|257LIT|457VULN|57BPWR|6RCR|8TLV|9DMG|aRCVC
70	23232 33211	5	   	241.27	DCR|3VULN|3LIT|1DMG|1TLV|1NUKE	137LHND|257LIT|457VULN|57BPWR|6RCR|8TLV|9DMG|aNUKE
71	23232 34321	5	   	241.17	DCR|3VULN|3LIT|1DMG|1DUR	13LHND|259LIT|457VULN|5BPWR|6RCR|8DUR|aDMG
72	23232 34513	5	 * 	241.13	DCR|3VULN|2ASPD|1DMG|2LIT	13LHND|25LIT|457VULN|5BPWR|6RCR|8aASPD|9DMG
73	11652 22734	2	 * 	241.06	ACR|3VULN|2DUR|2ASPD|1DMG|1TLV	1RCR|29ASPD|359VULN|4CGEN|6MBVNT|7TLV|89DUR|9BPWR|aDMG
74	11263 12513	3	   	240.62	ACR|4VULN|3DUR|2ASPD	1RCR|29ASPD|3BEXP|489DUR|5BBNT|679aVULN|9BPWR
75	11563 12513	2	   	240.62	ACR|4VULN|3DUR|2ASPD	1RCR|29ASPD|3BEXP|489DUR|5BBNT|679aVULN|9BPWR
76	23125 21364	7	   	240.60	DCR|4VULN|1CDMG|1ASPD	16LHND|2LIT|3ASPD|4RPLT|568aVULN|6BPWR|7CDMG|9RCR
77	23323 64232	4	   	240.54	DCR|3VULN|2AART|1TLV|1CDMG	1LHND|2LIT|34AART|56aVULN|7CDMG|8TLV|9RCR
78	23323 64263	4	   	240.54	DCR|3VULN|2AART|1TLV|1CDMG	1LHND|2LIT|34AART|569VULN|7CDMG|8TLV|aRCR
79	23122 32364	4	   	240.50	DCR|4VULN|1CDMG|1ASPD	1LHND|2LIT|3ASPD|4RPLT|5CDMG|678aVULN|9RCR
80	23123 52364	4	   	240.50	DCR|4VULN|1CDMG|1ASPD	1LHND|2LIT|3ASPD|4RPLT|578aVULN|6CDMG|9RCR
81	53122 32364	4	   	240.50	DCR|4VULN|1CDMG|1ASPD	1LWND|2LIT|3ASPD|4RPLT|5CDMG|678aVULN|9RCR
82	52121 32552	2	 * 	240.32	DCR|2VULN|2DMG|2DUR|1CDMG	19LWND|2CDMG|39DMG|4RPLT|5FEWX|6aDUR|79VULN|8RCR|9BPWR
83	61652 31131	2	   	240.29	DCR|3VULN|2DUR|1TLV	1ZMB|28DUR|35aVULN|4CGEN|6LIT|7TLV|9RCR
84	14112 62311	1	   	240.25	ACR|4VULN|2DMG|1DUR|1ASPD	1RCR|2359VULN|4TBNT|6DUR|79LWND|89DMG|9BPWR|aASPD
85	14612 62311	1	   	240.25	ACR|4VULN|2DMG|1DUR|1ASPD	1RCR|2359VULN|39BPWR|4TBNT|6DUR|79LWND|89DMG|aASPD
86	15212 62311	1	   	240.25	ACR|4VULN|2DMG|1DUR|1ASPD	1RCR|2BBNT|3459VULN|6DUR|79LWND|89DMG|9BPWR|aASPD
87	61542 31131	5	   	240.19	DCR|3VULN|2DUR|1TLV	1ZMB|28DUR|3ERES|45aVULN|6LIT|7TLV|9RCR
