0	Index      	Bounty	 *	Score 	Summary	Detail	
40	14431 34223	10	   	255.85	DCR|3VULN|3DUR|2DMG	1RMIN|28aVULN|37aDUR|4ZMB|5CGEN|6RCR|9aDMG|aBPWR
41	16531 34223	10	   	255.85	DCR|3VULN|3DUR|2DMG	1RMIN|27aDUR|38aVULN|4ZMB|5CGEN|6RCR|9aDMG|aBPWR
42	14413 33125	4	   	255.75	DCR|3VULN|3DUR|2DMG	1RMIN|268VULN|348DUR|58DMG|7BBNT|8BPWR|9CGEN|aRCR
43	16143 33125	2	   	255.75	DCR|3VULN|3DUR|2DMG	1RMIN|248DUR|368VULN|58DMG|7BBNT|8BPWR|9CGEN|aRCR
44	16423 33125	3	   	255.75	DCR|3VULN|3DUR|2DMG	1RMIN|238DUR|468VULN|58DMG|7BBNT|8BPWR|9CGEN|aRCR
45	16513 33125	4	   	255.75	DCR|3VULN|3DUR|2DMG	1RMIN|248DUR|368VULN|58DMG|7BBNT|8BPWR|9CGEN|aRCR
46	63326 32235	2	   	255.75	DCR|3VULN|3DUR|2DMG	18LHND|246VULN|38DMG|5BBNT|789DUR|8BPWR|aRCR
47	35323 36361	1	   	255.75	DCR|3VULN|3DUR|2DMG	1RCVC|2RMIN|37aDUR|467VULN|57DMG|7BPWR|8ERES|9RCR
48	35323 36361	2	   	255.75	DCR|3VULN|3DUR|2DMG	1RCVC|2RMIN|37aDUR|467VULN|57DMG|7BPWR|8ERES|9RCR
49	16126 32262	1	   	255.30	DCR|3VULN|2TLV|2DUR|2ASPD	1RMIN|28TLV|3aASPD|468VULN|5BBNT|78DUR|8BPWR|9RCR
50	14121 63262	4	 * 	254.18	DCR|3VULN|2DMG|2TLV	1RMIN|258VULN|3LEGI|48TLV|68DMG|7TBNT|8BPWR|9RCR|aASPD
51	14122 63262	5	   	254.18	DCR|3VULN|2DMG|2TLV	1RMIN|258VULN|3LEGI|48TLV|68DMG|7TBNT|8BPWR|9RCR|aASPD
