0	Index      	 *	Score 	Summary	Detail	
83	34262 12133	   	190.65	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2AART|3RCR|49aVULN|5DMG|6ZMB|7SNIHEL|8LWND
84	34262 12233	   	190.65	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2AART|3RCR|49aVULN|5DMG|6ZMB|7SNIHEL|8FEWX
85	34262 12633	   	190.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2AART|3RCR|49aVULN|5DMG|6ZMB|7SNIHEL|8DUST
86	54448 47441	   	190.53	ACR|3VULN|2DMG|1AART	1MBVNT|2AART|3RCR|47DMG|57ERES|678VULN|7BPWR|9BEXP|aDUR
87	32431 31151	   	190.39	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|23aVULN|4DUR|5RCR|6AART|7ERES|8DMG|9ZMB
88	54441 31367	   	189.93	ACR|2VULN|2DMG|1AART|2ZMB	1MBVNT|2AART|3RCR|49DMG|56MLV|79VULN|89ZMB|9BPWR|aDUR
89	58221 24532	   	189.44	ACR|3VULN|2DMG|1AART|1CDMG	1MBVNT|2aDMG|3LWND|468VULN|5RCR|7AART|9CDMG
90	32316 35243	   	189.43	DCR|4VULN|2DMG|2CDMG	19CDMG|279aVULN|3FEWX|4LIT|5LEGI|6RCR|89DMG|9BPWR
91	58313 32841	   	189.03	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|29DMG|39VULN|4RCR|5FEWX|6CGEN|79CDMG|8AART|9BPWR|aASPD
92	54423 14651	   	188.75	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	1MBVNT|2AART|3RCR|47FEWX|57VULN|67ASPD|7BPWR|8CDMG|9ZMB|aDMG
93	54414 22457	   	188.72	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2AART|3RCR|4RMIN|59LHND|6DUR|79DMG|89VULN|9BPWR|aCDMG
94	54423 12811	   	188.52	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2AART|3RCR|4FEWX|59VULN|6ASPD|7aDMG|8CDMG
95	54441 45532	   	188.52	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2AART|3RCR|4aDMG|5MLV|68VULN|7ASPD|9CDMG
96	54444 14811	   	188.52	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2AART|3RCR|4aDMG|5BEXP|69VULN|7ASPD|8CDMG
97	54443 12536	   	188.52	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2AART|3RCR|47DMG|5LWND|68VULN|9CDMG|aASPD
98	54445 14411	   	188.42	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2AART|3RCR|4aDMG|5DUST|69VULN|7ASPD|8CDMG
99	58221 21351	   	188.29	ACR|4VULN|2DMG|1AART	1MBVNT|29DMG|3LWND|4689VULN|5RCR|79CGEN|9BPWR|aAART
100	34262 25111	   	188.25	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	17CDMG|2AART|3RCR|4VULN|58DMG|6DUST|9ZMB|aDUR
101	54472 35242	   	188.10	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2AART|3RCR|49CDMG|59DMG|6CGEN|7LHND|89VULN|9BPWR|aBEXP
102	54472 35244	   	188.10	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2AART|3RCR|49CDMG|59DMG|6CGEN|7LHND|89VULN|9BPWR|aRMIN
103	51221 25351	   	188.09	ACR|4VULN|2DMG|1AART	1MBVNT|29ERES|3LWND|4689VULN|5RCR|79DMG|9BPWR|aAART
104	58221 22351	   	188.09	ACR|4VULN|2DMG|1AART	1MBVNT|29DMG|3LWND|4689VULN|5RCR|79TLV|9BPWR|aAART
105	54472 35243	   	188.00	ACR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2AART|3RCR|49CDMG|59DMG|6CGEN|7LHND|89VULN|9BPWR|aERES
106	34212 21442	   	187.90	ACR|2VULN|2DMG|1AART|2CDMG	1aCDMG|2AART|3RCR|4FEWX|5aDMG|6DUST|7DLOT|8ERES|9aVULN|aBPWR
107	34262 25131	   	187.90	ACR|2VULN|2DMG|1AART|2CDMG	17CDMG|2AART|3RCR|4aVULN|58DMG|6DUST|9FEWX
108	54441 41361	   	187.85	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1MBVNT|2AART|3RCR|49DMG|5MLV|69VULN|79CDMG|8SELL|9BPWR|aRPLT
109	54441 41363	   	187.85	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1MBVNT|2AART|3RCR|49DMG|5MLV|69VULN|79CDMG|8SELL|9BPWR|aLHND
110	54441 41364	   	187.85	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1MBVNT|2AART|3RCR|49DMG|5MLV|69VULN|79CDMG|8SELL|9BPWR|aLWND
111	54441 41367	   	187.85	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1MBVNT|2AART|3RCR|49DMG|5MLV|69VULN|79CDMG|8SELL|9BPWR|aRCVC
112	32631 31116	   	187.83	ACR|2VULN|2DMG|1AART|2CDMG	1aCDMG|2aVULN|3DMSP|4DUR|5RCR|6AART|7ERES|8aDMG|9BELT|aBPWR
113	54441 41362	   	187.75	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1MBVNT|2AART|3RCR|49DMG|5MLV|69VULN|79CDMG|8SELL|9BPWR|aDUST
114	54448 41361	   	187.75	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1MBVNT|2AART|3RCR|49DMG|5ERES|69VULN|79CDMG|8SELL|9BPWR|aRPLT
115	54448 41363	   	187.75	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1MBVNT|2AART|3RCR|49DMG|5ERES|69VULN|79CDMG|8SELL|9BPWR|aLHND
116	54448 41364	   	187.75	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1MBVNT|2AART|3RCR|49DMG|5ERES|69VULN|79CDMG|8SELL|9BPWR|aLWND
117	58321 32448	   	187.67	DCR|3VULN|2DMG|1AART|1ZMB	1MBVNT|2aDMG|346VULN|56LIT|6BPWR|7RCR|8ZMB|9AART
118	54448 41362	   	187.65	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1MBVNT|2AART|3RCR|49DMG|5ERES|69VULN|79CDMG|8SELL|9BPWR|aDUST
