0	Index      	 *	Score 	Summary	Detail	
79	22633 11653	   	182.09	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|3RCR|4FEWX|589VULN|67AART|aRPLT
80	22623 12233	   	182.07	ACR|2VULN|1AART|1DMG|2ZMB|2DUR|1ASPD	1aDUR|2DMG|3RCR|4LEGI|5aVULN|6AART|7TLV|8ASPD|9aZMB|aBPWR
81	22623 15233	   	182.07	ACR|2VULN|1AART|1DMG|2ZMB|2DUR|1ASPD	1aDUR|2DMG|3RCR|4LEGI|5aVULN|6AART|7ERES|8ASPD|9aZMB|aBPWR
82	22623 14226	   	181.99	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|3RCR|4LEGI|58aVULN|69AART|7BEXP
83	22613 11356	   	181.99	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|3RCR|4BEXP|59aVULN|67AART|8DUST
84	22613 11636	   	181.99	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|3RCR|4BEXP|58aVULN|67AART|9DUST
85	22633 11356	   	181.99	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|3RCR|4FEWX|59aVULN|67AART|8DUST
86	22633 11621	   	181.99	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|3RCR|4FEWX|58aVULN|67AART|9BASHEA
87	22633 16264	   	181.99	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|3RCR|4FEWX|589VULN|6aAART|7MBVNT
88	22623 16222	   	181.89	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|3RCR|4LEGI|58aVULN|69AART|7MBVNT
89	22623 16244	   	181.89	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2DMG|3RCR|4LEGI|589VULN|6aAART|7MBVNT
90	22613 15422	   	181.88	ACR|2VULN|2DMG|1AART|3DUR	17aDUR|2aDMG|3RCR|47BEXP|57VULN|6AART|7aBPWR|8aBASICY|9BELT
91	22232 13153	 * 	181.82	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2DMG|35AART|4MLV|6RCR|7ASPD|8ZMB|9CDMG|aVULN
92	22613 13132	   	181.64	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3RCR|4BEXP|59aVULN|6AART|7ZMB|8RCVC
93	22613 13336	   	181.64	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3RCR|4BEXP|59aVULN|6AART|7ZMB|8FEWX
