0	Index      	 *	Score 	Summary	Detail	
326	62262 24132	   	173.05	ACR|3VULN|1AART|1DMG|2ZMB	14ERES|2BELT|346VULN|4BPWR|5RCR|7AART|8aZMB|9DMG
327	22133 32256	   	173.01	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1DUR|23DMG|4AART|5RPLT|6RCR|7SELL|8ERES|9aVULN
328	22133 32632	   	173.01	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1DUR|23DMG|4AART|5RPLT|6RCR|7SELL|8DUST|9aVULN
329	61233 15226	   	172.98	DCR|3VULN|1AART|1DMG|1ZMB	1ERES|269VULN|3RCVC|4AART|5RPLT|7RCR|8DMG|aZMB
330	22115 13651	 * 	172.93	ACR|3DMG|1VULN|2ASPD|1CDMG|2DUR	19DUR|239DMG|4LIT|5RCR|6RCVC|7VULN|89ASPD|9BPWR|aCDMG
331	22633 14262	   	172.93	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUR|2DMG|3RCR|4FEWX|58VULN|6AART|7BEXP|9ASPD|aZMB
332	22623 14262	   	172.83	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUR|2DMG|3RCR|4LEGI|58VULN|6AART|7BEXP|9ASPD|aZMB
333	22633 16272	   	172.83	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUR|2DMG|3RCR|4FEWX|58VULN|6AART|7MBVNT|9ASPD|aZMB
334	22633 16472	   	172.83	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1DUR|28DMG|3RCR|4FEWX|5VULN|6AART|7MBVNT|9ASPD|aZMB
335	22131 15532	   	172.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1DUR|238DMG|4AART|5VULN|6FEWX|7LIT|9ZMB|aRCR
336	22612 36242	   	172.73	ACR|2DMG|1AART|1VULN|2ASPD|2DUR	19DUR|29DMG|3RCR|4BEXP|5RMIN|6DUST|79ASPD|8AART|9BPWR|aVULN
337	22632 36242	   	172.73	ACR|2DMG|1AART|1VULN|2ASPD|2DUR	19DUR|29DMG|3RCR|4FEWX|5RMIN|6DUST|79ASPD|8AART|9BPWR|aVULN
338	22623 16272	   	172.73	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUR|2DMG|3RCR|4LEGI|58VULN|6AART|7MBVNT|9ASPD|aZMB
339	22623 16472	   	172.73	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUR|28DMG|3RCR|4LEGI|5VULN|6AART|7MBVNT|9ASPD|aZMB
340	22623 12253	   	172.73	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUR|2DMG|3RCR|4LEGI|59VULN|6AART|7TLV|8ASPD|aZMB
341	22623 12263	   	172.73	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUR|29DMG|3RCR|4LEGI|5VULN|6AART|7TLV|8ASPD|aZMB
342	22623 15253	   	172.73	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUR|2DMG|3RCR|4LEGI|59VULN|6AART|7ERES|8ASPD|aZMB
343	22623 15263	   	172.73	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1DUR|29DMG|3RCR|4LEGI|5VULN|6AART|7ERES|8ASPD|aZMB
344	22616 16123	   	172.67	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3RCR|4BEXP|5LHND|6AART|7aVULN|8DUST|9aCGEN|aBPWR
345	22621 53135	   	172.63	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	17DUR|2DMG|3RCR|4LEGI|5MLV|69VULN|8AART|aCDMG
346	22616 12333	   	172.57	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3RCR|4BEXP|5LHND|6AART|7aERES|8FEWX|9aVULN|aBPWR
347	22633 14243	   	172.57	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3RCR|4FEWX|58VULN|6AART|7BEXP|9LWND
348	22636 12333	   	172.57	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3RCR|4FEWX|5LHND|6AART|7aERES|8BEXP|9aVULN|aBPWR
349	22132 13152	   	172.49	DCR|2DMG|1AART|1CDMG|2DUR|1ZMB|1ASPD	1aDUR|23DMG|4AART|5TLV|6RCR|7ASPD|8ZMB|9CDMG
350	61133 32616	   	172.48	ACR|2VULN|2DMG|1AART|1CDMG	1ERES|27VULN|3aDMG|4MGNLIT|5RCR|6CDMG|8TLV|9AART
351	22623 14243	   	172.47	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3RCR|4LEGI|58VULN|6AART|7BEXP|9LWND
352	22613 16343	   	172.47	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3RCR|4BEXP|57VULN|6AART|8DUST|9LWND
353	22633 14143	   	172.47	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3RCR|4FEWX|59VULN|6AART|7BEXP|8DUST
354	22633 14233	   	172.47	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3RCR|4FEWX|58VULN|6AART|7BEXP|9MBVNT
355	22633 16253	   	172.47	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3RCR|4FEWX|58VULN|6AART|7MBVNT|9LWND
356	22633 16422	   	172.47	ACR|2VULN|2DMG|1AART|1DUR	1DUR|28DMG|3RCR|4FEWX|5aVULN|6AART|7MBVNT|9DMSP
357	22633 16447	   	172.47	ACR|2VULN|2DMG|1AART|1DUR	1DUR|28DMG|3RCR|4FEWX|5aVULN|6AART|7MBVNT|9RMIN
358	22633 16461	   	172.47	ACR|2VULN|2DMG|1AART|1DUR	1DUR|28DMG|3RCR|4FEWX|59VULN|6AART|7MBVNT|aRPLT
359	22132 16522	   	172.41	DCR|2AART|2DMG|1VULN|2DUR	17DUR|23DMG|48AART|5TLV|6RCR|9DMSP|aVULN
360	22623 14143	   	172.37	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3RCR|4LEGI|59VULN|6AART|7BEXP|8DUST
361	22623 16253	   	172.37	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3RCR|4LEGI|58VULN|6AART|7MBVNT|9LWND
362	22623 16441	   	172.37	ACR|2VULN|2DMG|1AART|1DUR	1DUR|28DMG|3RCR|4LEGI|59VULN|6AART|7MBVNT|aRPLT
363	22623 16445	   	172.37	ACR|2VULN|2DMG|1AART|1DUR	1DUR|28DMG|3RCR|4LEGI|59VULN|6AART|7MBVNT|aRCVC
364	22623 16446	   	172.37	ACR|2VULN|2DMG|1AART|1DUR	1DUR|28DMG|3RCR|4LEGI|59VULN|6AART|7MBVNT|aRMIN
365	22623 16448	   	172.37	ACR|2VULN|2DMG|1AART|1DUR	1DUR|28DMG|3RCR|4LEGI|59VULN|6AART|7MBVNT|aCGEN
366	22613 16333	   	172.37	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3RCR|4BEXP|57VULN|6AART|8DUST|9MBVNT
367	22633 16153	   	172.37	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3RCR|4FEWX|59VULN|6AART|7MBVNT|8DUST
368	22212 16426	   	172.31	DCR|2DMG|1AART|1VULN|3DUR|1ASPD	147DUR|29DMG|3AART|5TLV|6RCR|8VULN|aASPD
369	22212 13332	   	172.31	DCR|2DMG|1AART|1VULN|3DUR|1ASPD	148DUR|29DMG|3AART|5TLV|6RCR|7ASPD|aVULN
370	22212 16632	   	172.31	DCR|2DMG|1AART|1VULN|3DUR|1ASPD	147DUR|29DMG|3AART|5TLV|6RCR|8ASPD|aVULN
371	22242 34353	 * 	172.30	DCR|3DMG|1AART|2ZMB|2DUR	1aDUR|25aDMG|3AART|4RPLT|6RCR|7BEXP|8MLV|9aZMB|aBPWR
372	22623 16153	   	172.27	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3RCR|4LEGI|59VULN|6AART|7MBVNT|8DUST
373	22242 35353	   	172.20	DCR|3DMG|1AART|2ZMB|2DUR	1aDUR|25aDMG|3AART|4RPLT|6RCR|7DUST|8MLV|9aZMB|aBPWR
374	22242 36253	   	172.20	DCR|3DMG|1AART|2ZMB|2DUR	1aDUR|25aDMG|3AART|4RPLT|6RCR|7ERES|8FEWX|9aZMB|aBPWR
375	22242 36353	   	172.10	DCR|3DMG|1AART|2ZMB|2DUR	1aDUR|25aDMG|3AART|4RPLT|6RCR|7ERES|8DUST|9aZMB|aBPWR
376	22633 33335	 * 	172.09	ACR|3VULN|1DMG|1CDMG|1FLTHEA|1DUR|1SELL	1DUR|2DMG|3RCR|4FEWX|578VULN|6SELL|9FLTHEA|aCDMG
377	22232 11165	   	172.08	DCR|3AART|2DMG|1VULN|1DUR	1DUR|29DMG|358AART|4MLV|6RCR|7LWND|aVULN
