0	Index      	 *	Score 	Summary	Detail	
107	13131 32536	   	164.48	DCR|2DMG|2AART|1VULN|1ZMB	1VULN|2ZMB|3LHND|46DUST|5aDMG|79AART|8RCR
108	13131 52535	   	164.48	DCR|2DMG|2AART|1VULN|1ZMB	1VULN|2ZMB|3LHND|4DUST|56DMG|79AART|8RCR|aLEGI
109	11224 41334	   	164.36	DCR|2VULN|2DMG|1CDMG|1ZMB	19VULN|2DUST|3BELT|49LHND|5MLV|6RCR|7CDMG|89DMG|9BPWR|aZMB
110	13111 42343	   	164.28	DCR|3ZMB|1AART|1DMG|1VULN|1CDMG	1VULN|268ZMB|3LHND|4FEWX|5DMG|7AART|9RCR|aCDMG
111	11215 41334	   	164.26	DCR|2VULN|2DMG|1CDMG|1ZMB	19VULN|29DUST|3BELT|4RMIN|5LWND|6RCR|7CDMG|89DMG|9BPWR|aZMB
112	36312 52631	 * 	164.26	DCR|2DMG|3ZMB|1VULN|1CDMG	15BELT|279ZMB|3CDMG|49LHND|6RCR|89DMG|9BPWR|aVULN
113	36322 52631	   	164.06	DCR|2DMG|3ZMB|1VULN|1CDMG	1BELT|279ZMB|3CDMG|49DUST|5RCVC|6RCR|89DMG|9BPWR|aVULN
114	36334 61333	 * 	164.02	DCR|2DMG|1VULN|2ZMB|2ASPD|1CDMG|1DUR	1BELT|28ZMB|3CDMG|48ASPD|5LHND|6DUR|78DMG|8BPWR|9RCR|aVULN
115	14341 41444	   	164.01	DCR|3VULN|2DMG|1CDMG	179VULN|2FEWX|3MBVNT|45DMG|6CGEN|8RCR|aCDMG
116	13331 63513	   	164.01	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	145VULN|2ZMB|3LWND|6LIT|7DUR|8AART|9CDMG|aRCR
117	13131 52542	   	163.92	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	1VULN|2aZMB|3LHND|4DUST|56DMG|7AART|8RCR|9DUR
118	36333 51313	   	163.88	DCR|2DMG|1VULN|2CDMG|2ZMB|1ASPD	1BELT|28ZMB|38CDMG|4ASPD|5DUST|6RCR|78DMG|8BPWR|9LHND|aVULN
119	36333 51331	   	163.88	DCR|2DMG|1VULN|2CDMG|2ZMB|1ASPD	1BELT|28ZMB|38CDMG|4ASPD|5DUST|6RCR|78DMG|8BPWR|9VULN|aLHND
120	36333 51332	   	163.88	DCR|2DMG|1VULN|2CDMG|2ZMB|1ASPD	1BELT|28ZMB|38CDMG|4ASPD|5DUST|6RCR|78DMG|8BPWR|9VULN|aCGEN
121	36333 51353	   	163.88	DCR|2DMG|1VULN|2CDMG|2ZMB|1ASPD	1BELT|28ZMB|38CDMG|4ASPD|5DUST|6RCR|78DMG|8BPWR|9RCVC|aVULN
122	36333 51334	   	163.64	DCR|2DMG|1VULN|2CDMG|2ZMB|1ASPD|1SELL	1BELT|28ZMB|38CDMG|4ASPD|5DUST|6RCR|78DMG|8BPWR|9VULN|aSELL
123	11216 16235	   	163.62	DCR|3VULN|2DMG|1ZMB|1SELL	169VULN|29DUST|3BELT|4RMIN|5SELL|7RCR|89DMG|9BPWR|aZMB
124	13364 13352	 * 	163.32	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1VULN|2ZMB|3LWND|4AART|5RCVC|6CDMG|7aDUR|8RCR|9DMG
125	61311 36111	   	163.21	DCR|3VULN|1AART|1CDMG|1ASPD	1LSRICY|2RMIN|3AART|4LIT|5ASPD|6CDMG|7RCR|89aVULN
126	11321 65235	   	162.82	DCR|3VULN|1AART|1DMG|1DUR	169VULN|2DUST|3MBVNT|4CGEN|5DMG|7DUR|8RCR|aAART
127	62513 35111	 * 	162.80	ACR|2VULN|3ZMB|1AART|2DUR	19LSRICY|29DUR|3LIT|4aVULN|5RCR|679ZMB|8AART|9BPWR
128	14341 53453	   	162.80	DCR|3DMG|2VULN|2DUR	1aVULN|27FEWX|3MBVNT|45aDMG|6aDUR|8RCR|9RPLT|aBPWR
129	14341 54453	   	162.80	DCR|3DMG|2VULN|2DUR	1aVULN|2FEWX|3MBVNT|45aDMG|6aDUR|7RCVC|8RCR|9RPLT|aBPWR
130	14341 82453	   	162.80	DCR|3DMG|2VULN|2DUR	1aVULN|26FEWX|3MBVNT|45aDMG|7aDUR|8RCR|9RPLT|aBPWR
131	15341 54453	   	162.80	DCR|3DMG|2VULN|2DUR	1aVULN|27BEXP|3MBVNT|45aDMG|6aDUR|8RCR|9RPLT|aBPWR
132	15341 72453	   	162.80	DCR|3DMG|2VULN|2DUR	1aVULN|26BEXP|3MBVNT|45aDMG|7aDUR|8RCR|9RPLT|aBPWR
133	11633 52511	   	162.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	14VULN|2DUST|3ERES|5DUR|6DMG|7AART|8RCR|9LIT|aCDMG
134	11346 77433	   	162.59	DCR|2VULN|1AART|2CDMG|1DMG	19VULN|2DUST|3MBVNT|46CDMG|5DMG|7RCR|8MGNSTR|aAART
135	14341 41185	   	162.45	DCR|2VULN|2DMG|1AART|1DUR	17VULN|2FEWX|3MBVNT|45DMG|6CGEN|8DUR|9RCR|aAART
136	61362 11112	 * 	162.39	ACR|2VULN|2DMG|1AART|1SELL	1aLSRICY|2RMIN|3AART|4SELL|5RCR|6ERES|7aVULN|8MBVNT|9aDMG|aBPWR
137	14341 11185	   	162.35	DCR|2VULN|2DMG|1AART|1DUR	17VULN|2FEWX|3MBVNT|45DMG|6ERES|8DUR|9RCR|aAART
138	14341 31185	   	162.35	DCR|2VULN|2DMG|1AART|1DUR	17VULN|2FEWX|3MBVNT|45DMG|6TLV|8DUR|9RCR|aAART
139	11261 64231	   	162.22	DCR|3VULN|3CDMG|1AART	167VULN|2DUST|3BELT|47FEWX|567CDMG|67BPWR|8RCR|9RMIN|aAART
140	13223 52452	   	162.21	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	19VULN|2ZMB|3ASPD|4CGEN|5DUR|6DMG|7AART|8DUST|aRCR
141	35611 31121	   	162.11	DCR|2VULN|2DMG|1AART	1BELT|2CGEN|3AART|49VULN|5aDMG|6SNIHEL|7LIT|8RCR
142	14321 52471	   	161.88	DCR|3VULN|1AART|1DMG	19aVULN|2FEWX|3MBVNT|4ERES|5DMG|6RCR|7CGEN|8AART
143	13111 42314	   	161.88	DCR|3ZMB|1AART|1DMG|1VULN|1CDMG	1VULN|268ZMB|3LHND|4FEWX|5DMG|7AART|9CDMG|aRCR
144	14211 31526	   	161.88	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2FEWX|3BELT|4RMIN|5AART|6RCR|7BEXP|8CDMG|aDMG
145	36312 34631	   	161.86	DCR|2DMG|3ZMB|1VULN|1CDMG	15BELT|269ZMB|3CDMG|49LHND|7RCR|89DMG|9BPWR|aVULN
146	13131 42314	   	161.78	DCR|3ZMB|1AART|1DMG|1VULN|1CDMG	1VULN|268ZMB|3LHND|4DUST|5DMG|7AART|9CDMG|aRCR
147	11211 31526	   	161.78	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2DUST|3BELT|4RMIN|5AART|6RCR|7BEXP|8CDMG|aDMG
148	11211 35526	   	161.78	DCR|2VULN|1AART|1DMG|1CDMG	19VULN|2DUST|3BELT|4RMIN|5AART|6RCR|7FEWX|8CDMG|aDMG
149	11346 67233	   	161.66	DCR|2VULN|2DMG|1CDMG|1ZMB	1aVULN|2DUST|3MBVNT|4CDMG|56DMG|7RCR|8ZMB|9LWND
150	11346 67243	   	161.66	DCR|2VULN|2DMG|1CDMG|1ZMB	1aVULN|2DUST|3MBVNT|4CDMG|56DMG|7RCR|8ZMB|9FEWX
151	36322 34631	   	161.66	DCR|2DMG|3ZMB|1VULN|1CDMG	1BELT|269ZMB|3CDMG|49DUST|5RCVC|7RCR|89DMG|9BPWR|aVULN
152	14343 48721	 * 	161.51	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1VULN|2FEWX|3MBVNT|47DMG|5DUR|6BELT|8RCR|9AART|aFLTHEA
153	11346 48453	   	161.51	DCR|3DMG|2VULN|1CDMG	18VULN|2DUST|3MBVNT|4CDMG|57aDMG|6BELT|9RCR
154	11346 64453	   	161.51	DCR|3DMG|2VULN|1CDMG	18VULN|2DUST|3MBVNT|4CDMG|56aDMG|7BELT|9RCR
155	13321 55252	   	161.47	DCR|3DMG|2VULN|1ZMB	19VULN|2ZMB|3LWND|4LHND|56aDMG|7BEXP|8RCR
156	23111 51252	   	161.47	DCR|3DMG|2VULN|1ZMB	1LHND|2ZMB|3LWND|4FEWX|56aDMG|79VULN|8RCR
157	13331 24246	 * 	161.38	DCR|3VULN|1DMG|2ZMB|1CDMG	145VULN|29ZMB|3LWND|6BELT|7CDMG|8RCR|aDMG
158	14362 28241	   	161.38	DCR|3VULN|1AART|2CDMG	18aVULN|28FEWX|3MBVNT|4BEXP|5TLV|6RCR|78CDMG|8BPWR|9AART
159	15372 28241	   	161.38	DCR|3VULN|1AART|2CDMG	18aVULN|28BEXP|3MBVNT|4FEWX|5TLV|6RCR|78CDMG|8BPWR|9AART
160	13221 26263	   	161.37	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	15VULN|2ZMB|3ASPD|4CGEN|6BELT|7RCR|8LHND|9AART|aDMG
