0	Index      	 *	Score 	Summary	Detail	
84	43333 31661	 * 	161.72	DCR|3VULN|1AART|1DMG|1DUR	156VULN|2ERES|3DUR|4RPLT|7MLV|8AART|9RCR|aDMG
85	43333 32661	   	161.62	DCR|3VULN|1AART|1DMG|1DUR	156VULN|2ERES|3DUR|4RPLT|7TLV|8AART|9RCR|aDMG
86	32122 41336	 * 	161.26	DCR|2VULN|2AART|1CDMG|1ZMB	1RMIN|2LWND|3ZMB|4LHND|5aVULN|68AART|7RCR|9CDMG
87	23352 32153	   	161.01	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LWND|2ERES|3DUR|4ASPD|57VULN|6DMG|8ZMB|9AART|aRCR
88	61352 32153	   	161.01	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ERES|2LHND|3DUR|4ASPD|57VULN|6DMG|8ZMB|9AART|aRCR
89	62352 32153	   	161.01	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ERES|2FEWX|3DUR|4ASPD|57VULN|6DMG|8ZMB|9AART|aRCR
90	63352 32153	   	161.01	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ERES|2LWND|3DUR|4ASPD|57VULN|6DMG|8ZMB|9AART|aRCR
91	32622 41122	   	160.88	DCR|3DMG|1AART|1VULN	1RMIN|2LWND|38aDMG|4LHND|5VULN|6AART|7RCR|9LSRICY
92	32622 41112	   	160.78	DCR|3DMG|1AART|1VULN	1RMIN|2LWND|38aDMG|4LHND|5VULN|6AART|7RCR|9CANHEL
93	46231 16131	   	160.68	DCR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1VULN|2DUR|3DMG|48ZMB|56MLV|7RCR|9CDMG|aAART
94	26232 36522	   	160.65	DCR|2VULN|2DMG|2DUR|1ZMB	18aLWND|28DUR|36DMG|4ZMB|58VULN|7RCR|8BPWR|9CGEN
95	26232 36523	   	160.65	DCR|2VULN|2DMG|2DUR|1ZMB	18LWND|28DUR|36DMG|4ZMB|58VULN|7RCR|8BPWR|9CGEN|aRPLT
96	31655 33231	 * 	160.59	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RMIN|24DMG|3BEXP|5RCR|6BELT|7AART|8ZMB|9DUR|aVULN
97	26241 33243	   	160.55	DCR|2VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1LWND|2DUR|3DMG|4aVULN|5CDMG|6RCR|7FEWX|8ASPD|9ZMB
98	26232 36136	   	160.55	DCR|2VULN|2DMG|2DUR|1ZMB	1LWND|2aDUR|36DMG|4ZMB|5aVULN|7RCR|8DUST|9aLHND|aBPWR
99	26232 36521	   	160.55	DCR|2VULN|2DMG|2DUR|1ZMB	18LWND|28DUR|36DMG|4ZMB|58VULN|7RCR|8BPWR|9CGEN|aDUST
100	42222 32622	   	160.42	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1SELL	18VULN|2LHND|3DUST|4DUR|5DMG|6SELL|7RCR|9ZMB|aAART
101	46223 32622	   	160.42	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1SELL	18VULN|2DUR|3DMG|4DUST|5LHND|6SELL|7RCR|9ZMB|aAART
102	26232 36511	   	160.40	DCR|2VULN|2DMG|2DUR|1ZMB|1SELL	18LWND|28DUR|36DMG|4ZMB|58VULN|7RCR|8BPWR|9SELL|aCGEN
103	26241 33632	   	160.40	DCR|2VULN|2DMG|1CDMG|1DUR	19aLWND|2DUR|39DMG|48VULN|5CDMG|6RCR|79FEWX|9BPWR
104	26241 33633	   	160.40	DCR|2VULN|2DMG|1CDMG|1DUR	19LWND|2DUR|39DMG|48VULN|5CDMG|6RCR|79FEWX|9BPWR|aBEXP
105	26241 34311	   	160.40	DCR|2VULN|2DMG|1CDMG|1DUR	18LWND|2DUR|38DMG|4aVULN|5CDMG|6RCR|78CGEN|8BPWR|9RMIN
106	26241 34331	   	160.40	DCR|2VULN|2DMG|1CDMG|1DUR	18LWND|2DUR|38DMG|4aVULN|5CDMG|6RCR|78CGEN|8BPWR|9MLV
107	26232 36513	   	160.30	DCR|2VULN|2DMG|2DUR|1ZMB|1SELL	18LWND|28DUR|36DMG|4ZMB|58VULN|7RCR|8BPWR|9SELL|aLEGI
108	42222 12451	   	160.30	DCR|3VULN|2DMG|2DUR	178VULN|28LHND|3aDUST|46DUR|58DMG|8BPWR|9RCR
109	26241 32421	   	160.20	DCR|2VULN|2DMG|1CDMG|1DUR	1LWND|2DUR|38DMG|49VULN|5CDMG|6RCR|7RMIN|aCGEN
110	26241 32423	   	160.20	DCR|2VULN|2DMG|1CDMG|1DUR	1LWND|2DUR|38DMG|49VULN|5CDMG|6RCR|7RMIN|aLHND
111	26221 33641	   	160.17	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LWND|2DUR|3DMG|4DUST|5CDMG|6RCR|7FEWX|8VULN|9aAART
112	26233 36214	   	160.16	DCR|3DMG|1VULN|1ZMB|1DUR|1ASPD	1LWND|2DUR|369DMG|4ZMB|5LHND|7RCR|8VULN|aASPD
113	26221 33613	   	160.10	DCR|2VULN|2DMG|1CDMG|1DUR	1LWND|2DUR|39DMG|4DUST|5CDMG|6RCR|7FEWX|8aVULN
114	26241 31411	   	160.10	DCR|2VULN|2DMG|1CDMG|1DUR	1LWND|2DUR|38DMG|4aVULN|5CDMG|6RCR|7ERES|9RMIN
115	26241 31431	   	160.10	DCR|2VULN|2DMG|1CDMG|1DUR	1LWND|2DUR|38DMG|4aVULN|5CDMG|6RCR|7ERES|9MLV
116	26232 36114	   	160.06	DCR|3DMG|1VULN|1ZMB|1DUR|1ASPD	1LWND|2DUR|369DMG|4ZMB|5VULN|7RCR|8DUST|aASPD
117	42221 24151	 * 	159.70	DCR|3VULN|2AART|1DUR	18aVULN|2LHND|3DUST|4DUR|59AART|6LWND|7RCR
118	26232 13364	   	159.62	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1LWND|29DUR|3DMG|4ZMB|5VULN|6CDMG|7ERES|8RCR|aAART
119	42262 24331	   	159.61	DCR|2VULN|2DMG|1FLTHEA|1CDMG	1aVULN|2LHND|3DUST|4FLTHEA|5DMSP|6CDMG|78DMG|9RCR
120	31655 22311	 * 	159.53	ACR|2VULN|2DMG|1AART	1RMIN|24DMG|3BEXP|5RCR|6TLV|7LIT|8AART|9aVULN
121	42261 24331	   	159.51	DCR|2VULN|2DMG|1CDMG|1FLTHEA	1aVULN|2LHND|35DUST|4FLTHEA|6CDMG|78DMG|9RCR
122	43132 46333	   	159.36	DCR|3VULN|1AART|1ZMB|1ASPD	158VULN|2ERES|3ZMB|4LWND|6RCVC|7RCR|9AART|aASPD
123	26241 42333	   	159.31	DCR|2VULN|2DMG|2CDMG|1DUR	1LWND|2DUR|36DMG|47VULN|5aCDMG|8LSRICY|9RCR
124	32122 41144	   	159.23	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RMIN|2LWND|3ZMB|4LHND|5VULN|6AART|7RCR|8DMG|9DUR|aCDMG
125	46221 34333	   	159.21	DCR|2VULN|2DMG|2CDMG|1DUR	16VULN|2DUR|37DMG|4DUST|5aCDMG|8LSRICY|9RCR
126	46221 42333	   	159.21	DCR|2VULN|2DMG|2CDMG|1DUR	17VULN|2DUR|36DMG|4DUST|5aCDMG|8LSRICY|9RCR
127	66322 61311	 * 	159.17	DCR|1AART|1VULN|2CDMG|1FLTHEA|1DUR|1ASPD	1ERES|29CDMG|3AART|4LWND|5ASPD|6RCR|7DUR|8FLTHEA|aVULN
128	26241 31124	   	159.13	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|2DUR|3DMG|4VULN|5CDMG|6RCR|7ERES|8BEXP|9ZMB|aAART
129	26241 31324	   	159.13	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|2DUR|3DMG|4VULN|5CDMG|6RCR|7ERES|8FEWX|9ZMB|aAART
130	32622 41132	   	158.88	DCR|2DMG|1AART|1VULN|1CDMG	1RMIN|2LWND|38DMG|4LHND|5VULN|6AART|7RCR|9CDMG|aFEWX
131	32622 41131	   	158.78	DCR|2DMG|1AART|1VULN|1CDMG	1RMIN|2LWND|38DMG|4LHND|5VULN|6AART|7RCR|9CDMG|aNUKE
132	32622 41133	   	158.78	DCR|2DMG|1AART|1VULN|1CDMG	1RMIN|2LWND|38DMG|4LHND|5VULN|6AART|7RCR|9CDMG|aMBVNT
133	46231 16231	   	158.73	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1VULN|2DUR|3DMG|4ZMB|56MLV|7RCR|8RCVC|9CDMG|aAART
134	31422 11412	   	158.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|28DMG|3DUR|4LHND|5VULN|6CDMG|7BEXP|9RCR|aAART
135	31432 11416	   	158.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|28DMG|3DUR|4LWND|5VULN|6CDMG|7BEXP|9RCR|aAART
136	31622 12412	   	158.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|28DMG|3BEXP|4LHND|5VULN|6CDMG|7DUR|9RCR|aAART
137	31632 12416	   	158.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|28DMG|3BEXP|4LWND|5VULN|6CDMG|7DUR|9RCR|aAART
138	34622 11412	   	158.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|2DUR|38DMG|4LHND|5VULN|6CDMG|7BEXP|9RCR|aAART
139	31422 14412	   	158.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|28DMG|3DUR|4LHND|5VULN|6CDMG|7DUST|9RCR|aAART
140	31462 35112	   	158.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|26DMG|3DUR|4BEXP|5VULN|7CDMG|8LEGI|9RCR|aAART
141	31642 35112	   	158.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|26DMG|3BEXP|4DUR|5VULN|7CDMG|8LEGI|9RCR|aAART
142	42223 12612	   	158.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	15VULN|2LHND|3DUST|4DUR|6CDMG|7CGEN|8DMG|9RCR|aAART
143	42223 14612	   	158.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	15VULN|2LHND|3DUST|4DUR|6CDMG|7RMIN|8DMG|9RCR|aAART
144	46221 13412	   	158.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2DUR|38DMG|4DUST|5CDMG|6LHND|7MLV|9RCR|aAART
145	46221 33216	   	158.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16VULN|2DUR|3DMG|4DUST|5CDMG|7CGEN|8FEWX|9RCR|aAART
146	23341 13616	   	158.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2ERES|3DUR|47VULN|5CDMG|6LHND|8DMG|9RCR|aAART
147	42411 23612	   	158.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	17VULN|2LHND|3ERES|4DUR|5CDMG|6BEXP|8DMG|9RCR|aAART
148	43361 13612	   	158.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	17VULN|2ERES|3DUR|4BEXP|5CDMG|6LHND|8DMG|9RCR|aAART
