0	Index      	 *	Score 	Summary	Detail	
50	36131 33536	 * 	175.77	DCR|3DMG|2VULN|1AART	139ERES|289DMG|4MBVNT|59VULN|6DLOT|7RCR|9BPWR|aAART
51	31231 36562	   	174.55	DCR|3VULN|2AART|1CDMG|1ASPD	1ERES|2ASPD|3aAART|489VULN|5CDMG|6LWND|7RCR
52	31216 11141	 * 	174.55	DCR|2AART|2DMG|2CDMG|1ASPD|1DUR	1ERES|2ASPD|38AART|4aDMG|57CDMG|6RCR|9DUR
53	31213 35316	   	174.45	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1ERES|2ASPD|3AART|49DMG|5FEWX|6DUR|7RCR|8VULN|aCDMG
54	31211 23465	   	174.31	DCR|3DMG|2AART|1ZMB|1ASPD	1ERES|2ASPD|3aAART|478DMG|5ZMB|6RCR|9BELT
55	12433 16513	 * 	174.27	ACR|2VULN|2DMG|2ASPD|1CDMG|1DUR	1BELT|28ASPD|3RCR|48VULN|5CGEN|6DUR|78DMG|8BPWR|9DLOT|aCDMG
56	31211 26413	   	174.21	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3AART|48DMG|5ZMB|6RCR|7DUR|9CGEN|aVULN
57	31211 26443	   	174.21	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3AART|48DMG|5ZMB|6RCR|7DUR|9RMIN|aVULN
58	31211 26461	   	174.21	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3AART|48DMG|5ZMB|6RCR|7DUR|9RCVC|aVULN
59	31211 26523	   	174.21	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3AART|49DMG|5ZMB|6RCR|7DUR|8MLV|aVULN
60	31211 22552	   	174.21	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3AART|4DMG|5ZMB|6RCR|7RPLT|89VULN|aDUR
61	26316 15312	   	174.18	DCR|3DMG|1AART|1VULN|1ZMB	1FEWX|2AART|39aDMG|4ERES|5ZMB|6LWND|7RCR|8VULN
62	31211 25252	   	174.11	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ERES|2ASPD|3AART|4DMG|5ZMB|6RCR|7LSRREG|89VULN|aDUR
63	36234 22141	   	173.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2DMG|3AART|4ZMB|5CGEN|6RCR|7aVULN|8LWND|9CDMG
64	36234 22241	   	173.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2DMG|3AART|4ZMB|5CGEN|6RCR|7aVULN|8BEXP|9CDMG
65	36236 13241	   	173.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2DMG|3AART|4ZMB|5CDMG|6RCR|7LIT|8BEXP|9aVULN
66	31214 25521	   	173.95	DCR|2VULN|2DMG|1AART|1ASPD	17ERES|2ASPD|3AART|47DMG|578CGEN|6RCR|7BPWR|9aVULN
67	31214 22411	   	173.85	DCR|2VULN|2DMG|1AART|1ASPD	1ERES|2ASPD|3AART|48DMG|59CGEN|6RCR|7aVULN
68	31214 22461	   	173.85	DCR|2VULN|2DMG|1AART|1ASPD	1ERES|2ASPD|3AART|48DMG|5CGEN|6RCR|7aVULN|9RCVC
69	31214 22526	   	173.85	DCR|2VULN|2DMG|1AART|1ASPD	1ERES|2ASPD|3AART|49DMG|5CGEN|6RCR|7aVULN|8MLV
70	31214 24521	   	173.85	DCR|2VULN|2DMG|1AART|1ASPD	1ERES|2ASPD|3AART|47DMG|58CGEN|6RCR|9aVULN
71	31214 21421	   	173.85	DCR|2VULN|2DMG|1AART|1ASPD	1ERES|2ASPD|3AART|48DMG|5CGEN|6RCR|7DMSP|9aVULN
72	31211 25256	   	173.78	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	1ERES|2aASPD|3AART|4DMG|5ZMB|6RCR|7LSRREG|89VULN
73	31214 22431	   	173.75	DCR|2VULN|2DMG|1AART|1ASPD	19ERES|2ASPD|3AART|48DMG|5CGEN|6RCR|7aVULN
