0	Index      	 *	Score 	Summary	Detail	
42	33252 12163	   	275.29	ACR|DCR|2DMG|1VULN|1TLV|1MLV	1FEWX|2VULN|3aRCR|4AEFRZ|57DMG|6BBNT|8TLV|9MLV
43	63252 12163	   	275.29	ACR|DCR|2DMG|1VULN|1TLV|1MLV	1LHND|2VULN|3aRCR|4AEFRZ|57DMG|6BBNT|8TLV|9MLV
44	22541 33134	   	274.32	DCR|2VULN|2MLV|2ASPD|1DMG|1AAC|2SELL	12SELL|36VULN|4AAC|56MLV|6BPWR|7DMG|8RCR|9aASPD
45	31134 35153	   	273.58	DCR|DCR|1VULN|1TLV|1AAC	12FEWX|2BPWR|36AEBURN|4TLV|5AAC|7DUR|8VULN|9aRCR
46	22541 33136	   	273.38	DCR|2VULN|2MLV|1DMG|1AAC|1ASPD|1CDMG|2SELL	12SELL|36VULN|4AAC|56MLV|6BPWR|7DMG|8RCR|9ASPD|aCDMG
47	33115 21214	   	272.39	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1FEWX|2VULN|3BBNT|4MLV|5ASPD|6CANSTR|7aRCR|8CDMG|9AEPOI
48	33115 21234	   	272.39	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1FEWX|2VULN|3BBNT|4MLV|5ASPD|6CANSTR|7aRCR|8CDMG|9AEFBLL
49	63115 21214	   	272.39	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1LHND|2VULN|3BBNT|4MLV|5ASPD|6CANSTR|7aRCR|8CDMG|9AEPOI
50	63115 21234	   	272.39	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1LHND|2VULN|3BBNT|4MLV|5ASPD|6CANSTR|7aRCR|8CDMG|9AEFBLL
51	43451 33121	   	271.46	DCR|2VULN|2MLV|2ASPD|1DMG|1CDMG|1MSE	12ASPD|26BPWR|3RPLT|46VULN|56MLV|7DMG|8RCR|9CDMG|aMSE
52	43451 33122	   	271.46	DCR|2VULN|2MLV|2ASPD|1DMG|1CDMG	12ASPD|26BPWR|3RPLT|46VULN|56MLV|7DMG|8RCR|9CDMG|aDLOT
53	43451 33123	   	271.46	DCR|2VULN|2MLV|2ASPD|1DMG|1CDMG	12ASPD|26BPWR|3RPLT|46VULN|56MLV|7DMG|8RCR|9CDMG|aMDPS
54	33152 62363	 * 	271.38	ACR|DCR|2VULN|2DMG|1MLV	1FEWX|24VULN|3BBNT|5aRCR|6CGEN|78DMG|9MLV
55	33225 62363	   	271.38	ACR|DCR|2VULN|2DMG|1MLV	1FEWX|25VULN|3aRCR|4BBNT|6CGEN|78DMG|9MLV
56	63226 32363	   	271.38	ACR|DCR|2VULN|2DMG|1MLV	1LHND|27VULN|3aRCR|4BBNT|5CGEN|68DMG|9MLV
57	31531 25153	   	271.06	DCR|DCR|2TLV|1VULN	12FEWX|2BPWR|3DMSP|46TLV|5ZMB|7DUR|8VULN|9aRCR
58	43451 33132	   	271.04	DCR|2VULN|2MLV|3ASPD|1DMG	129ASPD|26BPWR|3RPLT|46VULN|56MLV|7DMG|8RCR|aBEXP
59	11431 25153	   	270.96	DCR|DCR|2TLV|1VULN	1AEBURN|23LHND|46TLV|5ZMB|7DUR|8VULN|9aRCR
60	12531 25153	   	270.96	DCR|DCR|2TLV|1VULN	1AEBURN|2FEWX|3DMSP|46TLV|5ZMB|7DUR|8VULN|9aRCR
61	15132 25153	   	270.96	DCR|DCR|2TLV|1VULN	1AEBURN|26TLV|3FEWX|4ZMB|5DMSP|7DUR|8VULN|9aRCR
62	31131 25153	   	270.96	DCR|DCR|2TLV|1VULN	12FEWX|2BPWR|3AEBURN|46TLV|5ZMB|7DUR|8VULN|9aRCR
63	31131 26653	   	270.96	DCR|DCR|2TLV|1VULN	12FEWX|2BPWR|3AEBURN|46TLV|5ZMB|7VULN|8DUR|9aRCR
64	61131 25153	   	270.96	DCR|DCR|2TLV|1VULN	12LHND|2BPWR|3AEBURN|46TLV|5ZMB|7DUR|8VULN|9aRCR
65	11131 25153	   	270.86	DCR|DCR|2TLV|1VULN	13AEBURN|2LHND|46TLV|5ZMB|7DUR|8VULN|9aRCR
66	12131 25153	   	270.86	DCR|DCR|2TLV|1VULN	13AEBURN|2FEWX|46TLV|5ZMB|7DUR|8VULN|9aRCR
67	12131 26653	   	270.86	DCR|DCR|2TLV|1VULN	13AEBURN|2FEWX|46TLV|5ZMB|7VULN|8DUR|9aRCR
68	51131 25153	   	270.86	DCR|DCR|2TLV|1VULN	1AEFBLL|2LHND|3AEBURN|46TLV|5ZMB|7DUR|8VULN|9aRCR
69	52131 25153	   	270.86	DCR|DCR|2TLV|1VULN	1AEFBLL|2FEWX|3AEBURN|46TLV|5ZMB|7DUR|8VULN|9aRCR
70	13131 25153	   	270.76	DCR|DCR|2TLV|1VULN	13AEBURN|2LEGI|46TLV|5ZMB|7DUR|8VULN|9aRCR
71	53131 25153	   	270.76	DCR|DCR|2TLV|1VULN	1AEFBLL|2LEGI|3AEBURN|46TLV|5ZMB|7DUR|8VULN|9aRCR
