0	Index      	 *	Score 	Summary	Detail	
77	22352 36251	   	187.17	ACR|2DMG|2BEXP|2VULN|1ASPD	18BEXP|2DUST|38DMG|49VULN|5RCR|6ASPD|78MLV|8BPWR|aCGEN
78	51363 36131	   	187.13	ACR|1BASARM|1BEXP|1AART|1CDMG	1CDMG|2FEWX|3RCR|4LWND|5BEXP|6VULN|7AART|8MLV|9AME|aBASARM
79	21352 35251	   	187.07	ACR|2DMG|2BEXP|2VULN|1ASPD	18BEXP|2FEWX|38DMG|49VULN|5RCR|6ASPD|78TLV|8BPWR|aCGEN
80	21352 35253	   	187.07	ACR|2DMG|2BEXP|2VULN|1ASPD	18BEXP|2FEWX|38DMG|49VULN|5RCR|6ASPD|78TLV|8BPWR|aLWND
81	22352 33223	   	187.07	ACR|2DMG|2BEXP|2VULN|1ASPD	18BEXP|29DUST|38DMG|4aVULN|5RCR|6ASPD|78CGEN|8BPWR
82	22352 36223	   	187.07	ACR|2DMG|2BEXP|2VULN|1ASPD	18BEXP|29DUST|38DMG|4aVULN|5RCR|6ASPD|78MLV|8BPWR
83	22352 36252	   	187.07	ACR|2DMG|2BEXP|2VULN|1ASPD	18BEXP|2aDUST|38DMG|49VULN|5RCR|6ASPD|78MLV|8BPWR
84	51313 36131	   	187.03	ACR|1BASARM|1AART|1BEXP|1CDMG	1CDMG|2FEWX|3RCR|4MBVNT|5BEXP|6VULN|7AART|8MLV|9AME|aBASARM
85	51313 23581	   	187.03	ACR|1BASARM|1BEXP|1AART|1CDMG	1CDMG|2FEWX|3RCR|4MBVNT|5BEXP|6AME|7CGEN|8VULN|9AART|aBASARM
86	21352 35252	   	186.97	ACR|2DMG|2BEXP|2VULN|1ASPD	18BEXP|2FEWX|38DMG|49VULN|5RCR|6ASPD|78TLV|8BPWR|aDUST
87	22352 35251	   	186.97	ACR|2DMG|2BEXP|2VULN|1ASPD	18BEXP|2DUST|38DMG|49VULN|5RCR|6ASPD|78TLV|8BPWR|aCGEN
88	51313 36631	   	186.93	ACR|1BASARM|1AART|1BEXP|1CDMG	1CDMG|2FEWX|3RCR|4MBVNT|5BEXP|6VULN|7AART|8TLV|9AME|aBASARM
89	22352 35223	   	186.87	ACR|2DMG|2BEXP|2VULN|1ASPD	18BEXP|29DUST|38DMG|4aVULN|5RCR|6ASPD|78TLV|8BPWR
90	22352 35252	   	186.87	ACR|2DMG|2BEXP|2VULN|1ASPD	18BEXP|2aDUST|38DMG|49VULN|5RCR|6ASPD|78TLV|8BPWR
91	22352 31165	   	186.87	ACR|2DMG|2BEXP|2VULN|1ASPD	1aBEXP|27DUST|39DMG|48VULN|5RCR|6ASPD
92	33551 53111	   	186.75	ACR|3ASPD|1AART|1BEXP|1AAC	1LHND|2AAC|3RCR|4VULN|567ASPD|8LWND|9BEXP|aAART
