0	Index      	 *	Score 	Summary	Detail	
88	31361 65311	 * 	203.12	ACR|3VULN|3ASPD|1MDPS|1AART|3DUR	1AART|289DUR|39aVULN|4RCR|59aASPD|6BELT|7MDPS|9aBPWR
89	12432 33443	   	203.06	DCR|2VULN|2AART|1MDPS|1CDMG|1ZMB	1FEWX|28AART|3CDMG|4ZMB|5LWND|67VULN|9RCR|aMDPS
90	12323 63224	 * 	202.96	DCR|3VULN|2DMG|1MDPS|1AART	1FEWX|2AART|35aVULN|4MDPS|6RCR|7VENFST|89DMG
91	36323 63224	   	202.96	DCR|3VULN|2DMG|1MDPS|1AART	1AART|2FEWX|35aVULN|4MDPS|6RCR|7VENFST|89DMG
92	34121 33112	   	202.80	DCR|2AART|2DMG|1VULN|2DUR|1ZMB	14AART|2RMIN|36DUR|5ZMB|7RCR|8aDMG|9VULN
93	34121 33124	   	202.80	DCR|2AART|2DMG|1VULN|2DUR|1ZMB	14AART|2RMIN|36DUR|5ZMB|7RCR|89DMG|aVULN
94	53525 33112	   	202.80	DCR|2AART|2DMG|1VULN|2DUR|1ZMB	1ZMB|26DUR|34AART|5RMIN|7RCR|8aDMG|9VULN
95	31323 16613	 * 	202.78	DCR|4VULN|2AART|1MDPS|2DUR|1AAC	19AART|26DUR|3567VULN|4MDPS|6BPWR|8AAC|aRCR
96	53521 32112	   	202.78	DCR|2AART|2DMG|1VULN|2ZMB|1DUR	15ZMB|2DUR|34AART|6RCR|7CGEN|8aDMG|9VULN
97	53521 32124	   	202.78	DCR|2AART|2DMG|1VULN|2ZMB|1DUR	15ZMB|2DUR|34AART|6RCR|7CGEN|89DMG|aVULN
98	12453 33633	   	202.71	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	17FEWX|2AART|3CDMG|48VULN|5BEXP|6RCR|9ASPD|aMDPS
99	53522 63112	   	202.70	DCR|2AART|2DMG|1VULN|2DUR|1ZMB	1ZMB|25DUR|34AART|6ERES|7RCR|8aDMG|9VULN
