0	Index      	 *	Score 	Summary	Detail	
49	31315 23433	 * 	206.96	ACR|2ASPD|2DMG|2AART|1CDMG	1CDMG|2BELT|39DMG|4RCR|5LWND|6aAART|78ASPD
50	31615 23433	   	206.96	ACR|2ASPD|2DMG|2AART|1CDMG	1CDMG|2BELT|37ASPD|4RCR|5LWND|6aAART|89DMG
51	31316 26334	 * 	206.90	ACR|3DMG|2VULN|1AART|1CDMG	1CDMG|2BELT|35aDMG|4RCR|6LWND|7AART|89VULN
52	31613 23241	   	206.72	ACR|2ASPD|2AART|1VULN|1CDMG|1BEXP	1CDMG|29BELT|37ASPD|4RCR|5BEXP|68AART|aVULN
53	26355 22311	 * 	206.59	ACR|2VULN|2ASPD|2BEXP|1AART|1AAC	1AAC|28ASPD|3LIT|48VULN|5RCR|6AART|78DUR|8BPWR|9aBEXP
54	31313 23333	   	206.27	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1CDMG|2BELT|3DMG|4RCR|5BEXP|6AART|7ASPD|8aVULN|9SPLARM
55	31615 23362	 * 	205.92	ACR|3ASPD|1VULN|1AART|1CDMG|1BEXP	1CDMG|2BELT|379ASPD|4RCR|5LWND|6AART|8VULN|aBEXP
56	31316 61412	   	205.82	ACR|3DMG|1VULN|1AART|1BEXP|1CDMG	1CDMG|2BELT|358DMG|4RCR|6AART|7DUST|9VULN|aBEXP
57	31611 23362	   	205.82	ACR|3ASPD|1VULN|1AART|1CDMG|1BEXP	1CDMG|2BELT|379ASPD|4RCR|5LEGI|6AART|8VULN|aBEXP
58	31313 25152	   	205.72	ACR|2DMG|2AART|1VULN|1BEXP|1CDMG	1CDMG|2BELT|38DMG|4RCR|5BEXP|69AART|7RPLT|aVULN
59	26335 35122	 * 	205.72	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AAC	1AAC|29ASPD|3LIT|49DUST|5RCR|6BASARM|7VULN|89LWND|9BPWR|aBEXP
60	31313 32133	   	205.27	ACR|2VULN|1ASPD|1DMG|1AART|1CDMG|1BEXP	1CDMG|2BELT|3DMG|4RCR|5BEXP|6MSLTOX|7AART|8ASPD|9aVULN
61	31316 62532	   	205.12	ACR|3DMG|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|359DMG|4RCR|6AART|7ASPD|8AEFBLL|aBEXP
62	31313 21424	   	205.12	ACR|3DMG|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|39aDMG|4RCR|5BEXP|6AART|7ERES|8ASPD
63	31313 23624	   	205.12	ACR|3DMG|1ASPD|1AART|1BEXP|1CDMG	1CDMG|2BELT|39aDMG|4RCR|5BEXP|6AART|7ASPD|8TLV
64	31315 23131	   	205.02	ACR|2DMG|2AART|1ASPD|1CDMG|1BEXP	1CDMG|2BELT|39DMG|4RCR|5LWND|68AART|7ASPD|aBEXP
65	31613 23254	   	205.02	ACR|2ASPD|2AART|1DMG|1CDMG|1BEXP	1CDMG|2BELT|37ASPD|4RCR|5BEXP|68AART|9LHND|aDMG
66	31316 26412	   	204.92	ACR|3DMG|1VULN|1AART|1CDMG|1BEXP	1CDMG|2BELT|358DMG|4RCR|6LWND|7AART|9VULN|aBEXP
67	31613 23224	   	204.92	ACR|2ASPD|2AART|1DMG|1CDMG|1BEXP	1CDMG|2BELT|37ASPD|4RCR|5BEXP|68AART|9LEGI|aDMG
68	31313 23412	 * 	204.40	ACR|2ASPD|2BEXP|1DMG|1AART|1CDMG	1CDMG|29BELT|3DMG|4RCR|5aBEXP|6AART|78ASPD
