0	Index      	 *	Score 	Summary	Detail	
120	21363 63114	 * 	185.73	DCR|3DMG|2AART|1VULN|1ZMB	156DMG|24AART|3BEXP|7RCR|8FEWX|9ZMB|aVULN
121	21662 33252	   	185.73	ACR|3DMG|2VULN|1AART|1ASPD	136DMG|2AART|3BPWR|4ERES|5RCR|7ASPD|8CGEN|9aVULN
122	21632 43531	   	185.68	ACR|2AART|2DMG|2VULN|1ZMB	13DMG|28AART|3BPWR|4ZMB|5RCR|6DMSP|79VULN|aLWND
123	21632 43532	   	185.58	ACR|2AART|2VULN|2DMG|1ZMB	13DMG|28AART|3BPWR|4ZMB|5RCR|6DMSP|79VULN|aERES
124	21632 63126	   	185.58	ACR|2AART|2VULN|2DMG|1ZMB	13DMG|2aAART|3BPWR|4ZMB|5RCR|6DUST|7FEWX|89VULN
125	21443 23412	   	185.53	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	145DMG|2AART|3VULN|6CDMG|7BELT|8RCR|9ZMB|aRPLT
126	21443 23413	   	185.53	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	145DMG|2AART|3VULN|6CDMG|7BELT|8RCR|9ZMB|aFEWX
127	21632 12626	   	185.48	ACR|2AART|2VULN|2DMG|1ZMB	13DMG|2aAART|3BPWR|4ZMB|5RCR|6TLV|79VULN|8DUST
128	21412 23255	   	185.41	DCR|3DMG|2VULN|1AART|1ASPD	16aDMG|2AART|39VULN|4ASPD|5LWND|7FEWX|8RCR
129	21631 43311	   	185.26	DCR|2AART|2DMG|2VULN|1ZMB	13DMG|26AART|3BPWR|4ZMB|57VULN|8RCR|9DMSP|aLWND
130	21631 43314	   	185.26	DCR|2AART|2VULN|2DMG|1ZMB	13DMG|26AART|3BPWR|4ZMB|57VULN|8RCR|9DMSP|aFEWX
131	21631 43315	   	185.26	DCR|2AART|2VULN|2DMG|1ZMB	13DMG|26AART|3BPWR|4ZMB|57VULN|8RCR|9DMSP|aBEXP
132	21631 43316	   	185.26	DCR|2AART|2VULN|2DMG|1ZMB	13DMG|26AART|3BPWR|4ZMB|57VULN|8RCR|9DMSP|aLIT
133	21631 43351	   	185.26	DCR|2AART|2DMG|2VULN|1ZMB	13DMG|26AART|3BPWR|4ZMB|57VULN|8RCR|9CGEN|aFEWX
134	21631 43353	   	185.26	DCR|2AART|2DMG|2VULN|1ZMB	13DMG|26AART|3BPWR|4ZMB|57VULN|8RCR|9aCGEN
135	21631 43361	   	185.26	DCR|2AART|2DMG|2VULN|1ZMB	13DMG|26AART|3BPWR|4ZMB|57VULN|8RCR|9FEWX|aLHND
136	21631 43312	   	185.16	DCR|2AART|2VULN|2DMG|1ZMB	13DMG|26AART|3BPWR|4ZMB|57VULN|8RCR|9DMSP|aERES
137	21631 43321	   	185.16	DCR|2AART|2VULN|2DMG|1ZMB	13DMG|26AART|3BPWR|4ZMB|57VULN|8RCR|9ERES|aFEWX
138	21631 43323	   	185.16	DCR|2AART|2VULN|2DMG|1ZMB	13DMG|26AART|3BPWR|4ZMB|57VULN|8RCR|9ERES|aCGEN
139	21631 43325	   	185.16	DCR|2AART|2VULN|2DMG|1ZMB	13DMG|26AART|3BPWR|4ZMB|57VULN|8RCR|9ERES|aLHND
140	21631 43352	   	185.16	DCR|2AART|2DMG|2VULN|1ZMB	13DMG|26AART|3BPWR|4ZMB|57VULN|8RCR|9CGEN|aDUST
141	21631 53226	   	185.16	DCR|2AART|2VULN|2DMG|1ZMB	13DMG|2aAART|3BPWR|4ZMB|59VULN|6DUST|7FEWX|8RCR
142	21631 43322	   	185.06	DCR|2AART|2VULN|2DMG|1ZMB	13DMG|26AART|3BPWR|4ZMB|57VULN|8RCR|9ERES|aDUST
143	21631 43324	   	185.06	DCR|2AART|2VULN|2DMG|1ZMB	13DMG|26AART|3BPWR|4ZMB|57VULN|8RCR|9ERES|aTLV
144	21631 31323	   	184.67	DCR|3DMG|2VULN|1AART|1ZMB	136DMG|2AART|3BPWR|4ZMB|58VULN|79LIT|aRCR
145	61631 31236	 * 	184.67	DCR|3VULN|3ZMB|1AART|2CDMG	136ZMB|2AART|369BPWR|4RPLT|569VULN|79LHND|89CDMG|aRCR
146	21632 31266	   	184.53	ACR|3DMG|1AART|1VULN|2DUR|1ZMB	136DMG|2AART|3BPWR|4ZMB|5RCR|7LIT|89DUR|aVULN
147	11112 13235	   	184.40	DCR|3DMG|2AART|1VULN|1ASPD|1DUR	1BEXP|2VULN|3DUR|4ASPD|59AART|67aDMG|8RCR
148	13212 13235	   	184.40	DCR|3DMG|2AART|1VULN|1ASPD|1DUR	1BEXP|2DUR|3VULN|4ASPD|59AART|67aDMG|8RCR
