0	Index      	Bounty	 *	Score 	Summary	Detail	
65	23315 13622	3	   	273.86	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	18DMG|2LWND|38ASPD|4CDMG|5DUR|68aVULN|7RMIN|8BPWR|9RCR
66	25312 13622	3	   	273.86	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	18DMG|2DUR|38ASPD|4CDMG|5LWND|68aVULN|7RMIN|8BPWR|9RCR
67	23315 12321	3	   	273.76	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	18DMG|2LWND|38ASPD|4CDMG|5DUR|68aVULN|7BBNT|8BPWR|9RCR
68	25312 12321	3	   	273.76	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	18DMG|2DUR|38ASPD|4CDMG|5LWND|68aVULN|7BBNT|8BPWR|9RCR
69	25311 13622	3	   	273.76	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	18DMG|2DUR|38ASPD|4CDMG|5DUST|68aVULN|7RMIN|8BPWR|9RCR
70	22126 23164	10	   	273.75	DCR|4VULN|1DMG|1DUR|1TLV|1CDMG	1DMG|2BEXP|3457VULN|6DUR|8TLV|9CDMG|aRCR
71	23126 23164	10	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1DMG|2LWND|3457VULN|6DUR|8TLV|9CDMG|aRCR
72	25311 12321	3	   	273.66	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	18DMG|2DUR|38ASPD|4CDMG|5DUST|68aVULN|7BBNT|8BPWR|9RCR
73	25122 14153	4	   	273.05	DCR|5VULN|1DMG|1DUR	1DMG|2DUR|3469aVULN|5AART|7RCR|8LHND
74	25122 14353	4	   	273.05	DCR|5VULN|1DMG|1DUR	1DMG|2DUR|3469aVULN|5AART|7RCR|8BEXP
75	25332 46113	6	   	270.87	DCR|2VULN|3DUR|2DMG|2CDMG|1ASPD	19DMG|245DUR|3ASPD|69CDMG|7RCR|89VULN|9BPWR|aLWND
76	25332 46112	6	   	270.77	DCR|2VULN|3DUR|2DMG|2CDMG|1ASPD	19DMG|245DUR|3ASPD|69CDMG|7RCR|89VULN|9BPWR|aTBNT
77	25123 16412	10	   	270.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	18DMG|2DUR|348VULN|58LIT|6RCR|7RPLT|8BPWR|9LWND|aTLV
78	25122 33622	3	   	269.97	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	18DMG|2DUR|38aVULN|4ASPD|5LHND|68CDMG|7RMIN|8BPWR|9RCR
